case_id,src_style,tgt_style,best_overall,best_style_specificity,best_structure,best_artifact_control,confidence_1_to_5,LBM-Knee_e13_style_specificity,LBM-Knee_e13_structure_preservation,LBM-Knee_e13_artifact_control,LBM-Knee_e13_note,Seedream_repaired750_style_specificity,Seedream_repaired750_structure_preservation,Seedream_repaired750_artifact_control,Seedream_repaired750_note,DualPathFresh_e09_style_specificity,DualPathFresh_e09_structure_preservation,DualPathFresh_e09_artifact_control,DualPathFresh_e09_note
Impressionism__nicolae-vermont_rotterdam-port-1928__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,"Very faint, washed-out style; lacks Renaissance texture and color depth. Structure is preserved but overly blurred. Heavy vignetting and edge artifacts degrade quality.",5,5,5,"Excellent match to Early Renaissance palette and brushwork. Structure of ships, water, and skyline is well-preserved. Minimal artifacts; clean edges and natural blending.",3,4,3,Moderate style transfer with some Renaissance tones but lacks richness. Structure is mostly intact but slightly soft. Some smudging and uneven texture in sky/water areas.
Rococo__canaletto_london-the-thames-and-the-city-of-london-from-the-terrace-of-richmond-house__to__Impressionism,Rococo,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low color saturation and muted tones; lacks impressionist brushwork. Structure is preserved but appears washed out. Heavy artifacts in sky and water areas.,5,5,5,"Excellent impressionist style with vibrant colors, visible brushstrokes, and atmospheric lighting. Structure is well-preserved with accurate spatial layout. Minimal artifacts; clean transitions and natural blending.",3,4,3,"Moderate impressionist feel with some color variation, but overly bright and hazy sky reduces realism. Structure is mostly intact. Noticeable overexposure and smudging artifacts in upper regions."
Minimalism__robert-morris_box-with-the-sound-of-its-own-making-1961__to__Ukiyo_e,Minimalism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Very low style transfer; appears mostly desaturated with minimal Ukiyo-e influence. Structure preserved but lacks artistic texture or line work.,5,5,5,"Excellent Ukiyo-e style integration: visible wood grain texture mimics traditional block-print shading, background gradient evokes wash painting, and structure is perfectly preserved with no artifacts.",3,4,2,"Moderate style attempt with soft gradients and faint background elements, but suffers from noticeable blur and smudging artifacts, especially around edges and reflections."
Minimalism__brice-marden_joined-2011__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,4,3,Minimal style transfer; mostly preserves source with faint brushwork hints. Structure intact but lacks impressionistic texture or color vibrancy.,5,5,5,"Strong impressionist rendering with visible brush strokes, warm palette, and atmospheric lighting. Source structure perfectly preserved without distortion or artifacts.",3,4,2,"Some impressionistic blur and color wash applied, but over-smoothed and washed out. Artifacts include haloing and loss of edge definition around the canvas."
Ukiyo_e__kitagawa-utamaro_yama-uba-and-kintaro-1__to__Ukiyo_e,Ukiyo_e,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,"Faint, washed-out style; lacks bold lines and color contrast of Ukiyo-e. Structure preserved but style is too subtle.",5,5,5,"Excellent Ukiyo-e emulation: strong outlines, warm palette, textured background, and faithful composition. Minimal artifacts.",3,4,2,Moderate style transfer with visible smudging and halo artifacts around edges. Style present but inconsistent and noisy.
Early_Renaissance__fra-angelico_coronation-of-the-virgin-detail-1435-1__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very blurry and washed-out; style is vague and lacks Early Renaissance clarity or texture. Structure is preserved but degraded by blur. Heavy artifacts from over-smoothing.,5,5,5,"Excellent match to Early Renaissance style: crisp lines, appropriate color palette, and painterly texture without distortion. Structure is perfectly preserved. No visible artifacts.",3,4,3,Moderate style transfer with some Renaissance-like tones but lacks fine detail and texture fidelity. Structure is mostly intact but slightly softened. Minor smudging and low contrast reduce quality.
Rococo__pietro-longhi_the-tooth-extractor__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low style transfer; image appears faded and washed out with minimal Rococo influence. Structure is somewhat preserved but lacks clarity. Heavy artifacts and blurring degrade quality.,5,5,5,"Excellent Rococo style transfer with ornate framing, soft pastel tones, and decorative elements matching the target. Structure is well-preserved with clear figures and composition. No visible artifacts; clean and polished output.",3,4,3,"Moderate Rococo styling with some decorative elements and color shifts, but less refined than Seedream. Structure is mostly intact but slightly softened. Some haze and smudging present, reducing sharpness."
Minimalism__frank-stella_gezira-from-black-series-ii-1967__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Fails to capture minimalism; introduces noisy gray texture and loses clean geometry. Structure partially preserved but degraded by artifacts.,5,5,5,"Perfectly preserves source structure while applying a clean, high-contrast black-and-white minimal style. No artifacts; matches target aesthetic precisely.",3,4,3,"Retains structure well but applies a muted, textured gray style that lacks the crispness of minimalism. Slight softening and noise reduce fidelity."
Early_Renaissance__filippo-lippi_adoration-of-the-magi-detail-2__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,Seedream_repaired750,4,3,5,3,Preserves source structure well but lacks Early Renaissance color palette and texture; appears washed out and painterly without stylistic fidelity.,5,4,5,"Strongly captures Early Renaissance aesthetic with warm tones, aged parchment look, and compositional harmony; minor structural distortion due to circular framing.",2,4,2,"Fails to convey Early Renaissance style; overly blurred, smudged, and lacks detail or period-appropriate rendering; artifacts degrade visual quality significantly."
Early_Renaissance__domenico-ghirlandaio_st-stephen-st-jacobo-st-peter__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low style transfer; output resembles source with minor color shifts. Structure preserved but lacks Renaissance stylistic elements. Heavy artifacts and ghosting present.,5,5,5,"Excellent Early Renaissance style match: warm palette, soft modeling, architectural framing consistent with target. Structure perfectly preserved. No visible artifacts.",3,4,3,"Moderate style transfer — some Renaissance tones and lighting applied, but less cohesive than Seedream. Structure mostly intact. Minor smudging and color bleeding around edges."
Ukiyo_e__utagawa-kunisada_the-actor__to__Impressionism,Ukiyo_e,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very faint impressionistic washes; structure is preserved but style is weak and blurry. Low contrast and muted colors reduce stylistic impact.,5,5,5,Excellent impressionist brushwork and color blending while perfectly preserving the original composition and details. No visible artifacts.,3,4,3,Moderate impressionist effect with some smudging and loss of fine detail. Structure is mostly intact but edges are softened excessively.
Ukiyo_e__kitagawa-utamaro_yama-uba-and-kintaro-1__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,"Preserves structure well but applies a muted, sketchy style that lacks Early Renaissance richness and detail.",5,5,5,"Excellent match to Early Renaissance style with rich colors, soft lighting, and detailed textures while preserving source composition perfectly.",3,4,2,"Shows some Renaissance influence but suffers from noticeable artifacts and over-smoothing, reducing overall quality."
Minimalism__john-mclaughlin_number-4__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,LBM-Knee_e13,4,2,5,5,Preserves structure perfectly but lacks any impressionistic texture or brushwork; appears as a smooth gradient.,5,4,4,Strong impressionistic texture and color fidelity; slight softening of edges but maintains overall layout well.,3,3,2,Shows some texture but is overly blurred and noisy; structure is compromised with indistinct boundaries.
Impressionism__winston-churchill_distant-view-of-the-pyramids-1921-1(1)__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,3,Very faint Ukiyo-e influence; structure preserved but style is nearly absent.,5,5,5,"Strong Ukiyo_e aesthetic with clean lines, vibrant color blocking, and excellent structural fidelity.",3,4,2,Moderate style transfer with visible smudging and artifacts; structure mostly intact but lacks crispness.
Impressionism__pierre-auguste-renoir_still-life-with-apples-and-pomegranates-1901__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,"Very blurry and washed-out; minimalism not evident, structure preserved but details lost.",5,5,5,"Excellent minimalism: bold flat colors, clean geometry, strong structure, no artifacts.",2,3,3,"Similar to LBM — soft, painterly, lacks minimalism; structure partially preserved but hazy."
Minimalism__imi-knoebel_weiss-und-schwarz-4-2009__to__Impressionism,Minimalism,Impressionism,DualPathFresh_e09,DualPathFresh_e09,Seedream_repaired750,Seedream_repaired750,4,2,3,3,Very weak impressionistic texture; mostly flat gradients. Structure preserved but lacks stylistic fidelity.,3,5,5,Excellent structure and artifact control. Style is present but subtle — more like a soft filter than full impressionism.,5,4,4,Strongest impressionistic brushwork and color blending. Slight softening of edges but overall best style transfer.
Early_Renaissance__leonardo-da-vinci_studies-of-a-bewalking__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Preserves structure well but lacks Rococo styling; appears as a faded sketch with no ornamental or color elements.,5,5,5,"Excellent Rococo style transfer with ornate borders, soft pastel colors, and elegant rendering while preserving the original animal pose and anatomy.",2,4,3,Minimal style application; mostly retains source sketch appearance with slight texture changes but no Rococo characteristics.
Minimalism__robert-morris_box-with-the-sound-of-its-own-making-1961__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed out; loses texture and form, failing to convey minimalism’s clarity.",5,5,5,"Perfectly preserves structure while applying clean, flat color blocks and sharp edges — true minimalism.",3,4,3,"Retains shape but introduces soft gradients and haze, diluting the crispness expected in minimalism."
Minimalism__agnes-martin_happy-valley-1967__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,1,1,Output is nearly blank; no style or structure preserved.,5,5,5,Excellent Early Renaissance style transfer with full structural fidelity and minimal artifacts.,2,2,2,Heavy blur and noise obscure both style and structure; poor artifact control.
Minimalism__sean-scully_untitled-1973__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,3,Very faint impressionistic texture; structure preserved but style is weak and washed out.,5,5,5,Strong impressionist brushwork with clear color variation; structure well preserved; minimal artifacts.,3,4,4,Moderate impressionist effect; structure mostly intact; slight over-smoothing and minor haloing.
Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,2,1,Severely degraded; output is nearly unrecognizable with extreme blurring and loss of all structure and style fidelity.,5,5,5,"Excellent minimalism: clean vector-like shapes, flat colors, simplified details, and strong structural integrity with no artifacts.",2,3,2,Partial style transfer with some simplification but retains too much texture and noise; structure is blurred and artifacts are visible.
Rococo__antoine-watteau_head-of-a-man__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very faint Rococo influence; structure is preserved but overly washed out with heavy vignetting and low contrast.,5,5,5,Excellent Rococo style transfer with ornate framing and soft pastel tones; source structure is perfectly preserved with high fidelity.,3,3,3,Moderate style transfer with some Rococo color palette but lacks detail; structure is visible but slightly blurred and noisy.
Early_Renaissance__antonello-da-messina_painter-self-portrait__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Preserves structure well but lacks Ukiyo-e color and texture; appears as a grayscale sketch with minimal stylistic adaptation.,5,5,5,"Excellent Ukiyo-e style transfer with appropriate color palette, soft gradients, and traditional aesthetic; structure preserved cleanly with no visible artifacts.",3,4,2,Shows some Ukiyo-e influence in coloring but suffers from over-saturation and haloing artifacts around edges; structure mostly intact but visually noisy.
Minimalism__judy-chicago_morning-fan-1971__to__Ukiyo_e,Minimalism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,3,Minimal style transfer; mostly preserves source structure with faint color washes. No Ukiyo_e characteristics.,5,5,5,"Excellent Ukiyo_e style application with clear woodblock texture, bold outlines, and appropriate color blocking. Structure perfectly preserved. No visible artifacts.",3,4,2,"Some color blending suggests attempt at style, but lacks defining Ukiyo_e features. Structure mostly intact but suffers from heavy blur and smearing artifacts."
Minimalism__john-mclaughlin_number-4__to__Ukiyo_e,Minimalism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,3,"Very faint, washed-out style transfer; lacks Ukiyo-e color and line quality. Structure preserved but style is nearly absent.",5,5,5,Excellent Ukiyo-e style with rich colors and defined lines. Perfectly preserves source structure and has no visible artifacts.,3,4,2,Some Ukiyo-e color tones present but overly blurred and smudged. Structure mostly preserved but heavy blur introduces significant artifacts.
Rococo__antoine-watteau_head-of-a-man__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Fails to apply minimalism; output is overly blurred and lacks stylistic intent. Structure is preserved but degraded by noise.,5,5,5,Excellent minimalism via geometric abstraction and clean lines. Faithfully preserves source structure with no artifacts.,2,3,2,"Similar to LBM — fails to impose minimalism, resulting in a washed-out, indistinct image with structural loss and smearing artifacts."
Minimalism__imi-knoebel_weiss-und-schwarz-4-2009__to__Minimalism,Minimalism,Minimalism,DualPathFresh_e09,DualPathFresh_e09,Seedream_repaired750,DualPathFresh_e09,4,2,3,2,Overly blurred and washed out; loses contrast and geometric clarity. Fails to convey minimalism effectively.,3,5,4,Excellent structural fidelity with clean edges and correct layout. Style is somewhat rigid but still minimalistic.,5,4,5,"Best balance: softens edges appropriately for minimalism while preserving structure and avoiding artifacts. Clean, airy aesthetic matches target style."
Impressionism__eugene-boudin_trouville-the-fish-market-1884__to__Impressionism,Impressionism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low style fidelity; appears washed out and lacks Impressionist brushwork. Structure is somewhat preserved but blurred. Heavy artifacts and loss of detail.,5,5,5,Excellent Impressionist style with visible brushstrokes and color palette matching target. Perfect structure preservation. No visible artifacts.,3,4,3,Moderate style transfer; some Impressionist feel but overly smudged and hazy. Structure is mostly preserved but softened. Noticeable smearing artifacts.
Impressionism__alfred-sisley_the-banks-of-the-oise-1878__to__Impressionism,Impressionism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,3,"Very washed out, lacks impressionist brushwork and color richness; structure is preserved but style is weak.",5,5,5,"Excellent impressionist style with visible brushstrokes, vibrant colors, and well-preserved structure; minimal artifacts.",3,4,2,Some impressionist feel but overly blurred and hazy; structure is somewhat preserved but artifacts reduce clarity.
Ukiyo_e__tsukioka-yoshitoshi_not_detected_242419__to__Ukiyo_e,Ukiyo_e,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Weak Ukiyo-e style; colors are muted and lack traditional pigment vibrancy. Structure is preserved but edges are soft. Noticeable blurring and loss of fine detail.,5,5,5,"Excellent Ukiyo-e style transfer with accurate color palette, line work, and texture. Structure is perfectly preserved. No visible artifacts; clean and faithful to source content.",3,4,3,Moderate style transfer; some Ukiyo-e elements present but washed out. Structure is mostly preserved but slightly distorted. Mild artifacts and uneven texture application.
Rococo__carl-ludwig-johann-christineck_portrait-of-paul-of-russia-dressed-as-chevalier-of-the-order-of-st-andrew-1760__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Excessive blurring and loss of detail; style is vague and lacks minimalism's clarity.,5,5,5,"Clean, stylized vector-like rendering with strong adherence to minimalism; preserves key structural elements without artifacts.",3,3,3,Moderate style transfer with some softness and blur; structure is partially preserved but lacks crispness.
Ukiyo_e__ogata-gekko_nihon-hana-zue-1896__to__Impressionism,Ukiyo_e,Impressionism,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,LBM-Knee_e13,4,2,5,5,Preserves source structure perfectly but fails to apply Impressionist style; output is nearly identical to source with minimal stylistic change.,5,4,4,"Strongly applies Impressionist brushwork and color palette; slight softening of edges and minor color bleeding, but overall excellent style transfer with good structural fidelity.",3,3,3,Moderate Impressionist effect with visible brush strokes and color shifts; some structural distortion and mild artifacts around figures and background elements.
Ukiyo_e__utagawa-kuniyoshi_woman-seated-under-a-cherry-blossoms__to__Impressionism,Ukiyo_e,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Preserves structure well but lacks Impressionist brushwork and color; appears washed out and flat.,5,5,5,"Excellent Impressionist style with visible brushstrokes, vibrant colors, and atmospheric lighting while perfectly preserving the original composition and details.",3,3,2,"Shows some stylistic intent but suffers from heavy blurring, loss of detail, and structural distortion, especially in the figure and background."
Early_Renaissance__pisanello_stork-1430__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,"Minimal style transfer; bird retains original form but lacks Impressionist texture or color. Structure preserved well, but no stylistic adaptation.",5,5,5,"Excellent Impressionist rendering with visible brushwork, warm palette, and soft edges while preserving the bird’s anatomy and pose. Clean output with no artifacts.",3,4,4,"Moderate style application — some textural variation and muted tones suggest Impressionism, but less vibrant or expressive than Seedream. Structure intact, minor smoothing artifacts."
Impressionism__rudolf-schweitzer-cumpana_str-du-n-atena__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very faint, washed-out output; minimal Ukiyo-e style transfer, mostly retains source impressionism with heavy blur and low contrast.",5,5,5,"Excellent Ukiyo-e style transfer with bold outlines, flat color blocks, and traditional composition; structure well preserved; no visible artifacts.",3,4,3,"Moderate Ukiyo-e influence with some line work and color blocking, but overly soft and painterly; structure mostly intact; slight smudging artifacts."
Minimalism__joan-hernandez-pijuan_nuvol-rosa-2-1990__to__Ukiyo_e,Minimalism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,3,"Very faint, washed-out color with minimal Ukiyo-e character; structure preserved but lacks stylistic depth.",5,5,5,"Strongest Ukiyo-e aesthetic: warm gradient background, clean oval structure, subtle texture mimicking woodblock print; no visible artifacts.",3,4,2,"Moderate style attempt but suffers from blotchy, uneven texture and smudged edges around the oval — reduces artifact control."
Ukiyo_e__utagawa-kunisada_not_detected_240381(1)__to__Minimalism,Ukiyo_e,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Fails to apply minimalism; output is a blurred, low-contrast version of the source with no stylistic reduction or simplification.",5,5,5,"Perfectly captures minimalism by reducing the complex source to clean, flat-color silhouettes and simplified forms while preserving all key structural elements and text.",2,3,2,"Similar to LBM, it fails to apply the target style, resulting in a hazy, degraded version of the original image without achieving the desired minimalist aesthetic."
Rococo__giovanni-domenico-tiepolo_the-new-world-1797__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very washed-out, lacks Ukiyo-e color and line quality; structure is somewhat preserved but overly blurred.",5,5,5,"Excellent match to Ukiyo-e style with bold lines, flat colors, and compositional fidelity; minimal artifacts.",3,4,3,Moderate style transfer with some Ukiyo-e elements but inconsistent coloring and slight smudging; structure mostly intact.
Ukiyo_e__hiroshige_oiso-toraga-ame-shower-1835__to__Ukiyo_e,Ukiyo_e,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,Seedream_repaired750,4,3,5,3,"Strong structural fidelity but muted, inconsistent Ukiyo-e styling; visible smudging and color bleeding reduce style specificity and artifact control.",5,4,5,"Excellent Ukiyo-e aesthetic with appropriate line work, color palette, and texture; minor softening of fine details but overall clean and stylistically coherent.",4,4,3,"Good style adoption with clear Ukiyo-e motifs, but suffers from noticeable blur and edge artifacts, especially in background elements and tree trunks."
Rococo__dmitry-levitzky_maria-feodorovna__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,2,"Very blurry and washed out; minimal Ukiyo-e style transfer, heavy haze obscures details.",5,5,5,"Excellent Ukiyo-e style with bold outlines, flat color regions, and stylized shading; structure perfectly preserved; no visible artifacts.",3,4,3,"Some Ukiyo-e influence in line work and color, but overly hazy and smudged; structure mostly intact but degraded by blur artifacts."
Minimalism__ronald-davis_zig-zag-times-two-1966__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,"Fails to apply minimalism; output is a washed-out, low-contrast version of the source with no stylistic reference from B. Structure is preserved but lacks intent.",5,5,5,"Perfectly captures the minimalist aesthetic of the reference (clean, flat, solid color) while flawlessly preserving the source geometry and shadow. No artifacts.",1,2,1,"Completely fails to transfer style or structure. The output is a blurry, indistinct mess that resembles neither the source nor the target style."
Impressionism__childe-hassam_evening-champs-elysees-aka-pres-du-louvre__to__Impressionism,Impressionism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,3,4,3,Moderate impressionistic blur and color blending; structure mostly preserved but lacks stylistic intensity; some smudging artifacts.,5,5,5,Strong Impressionist style with visible brushwork and warm autumn tones; excellent structural fidelity and minimal artifacts.,2,3,2,Overly blurred and washed-out; loses detail and stylistic nuance; significant haloing and loss of edge definition.
Impressionism__claude-monet_palazzo-contarini-2__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,"Faint, washed-out output with minimal stylistic shift; structure is preserved but lacks clarity and artistic intent.",5,5,5,"Clean, geometric minimalism with strong color blocking and clear architectural structure; no artifacts or noise.",3,4,4,"Soft, painterly blur reduces detail; structure is recognizable but style is ambiguous and lacks crisp minimalism."
Rococo__antoine-pesne_carl-heinrich-graun__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed out; minimalism not clearly expressed, structure partially preserved but obscured by haze.",5,5,5,Clean geometric abstraction with flat colors and sharp edges; faithfully preserves pose and composition while fully embracing minimalism.,2,3,2,Similar to LBM — overly diffuse and low-contrast; fails to convey minimalism distinctly and introduces visual noise/blur artifacts.
Rococo__thomas-gainsborough_a-peasant-girl-with-dog-and-jug-1785__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very faint Rococo influence; structure is blurred and indistinct; heavy vignetting and low contrast reduce clarity.,5,5,5,"Excellent Rococo styling with ornate frame, soft pastel palette, and delicate brushwork; source structure perfectly preserved; no visible artifacts.",3,4,3,Moderate Rococo feel with some color softening; structure mostly intact but slightly washed out; noticeable smudging and haze in background.
Early_Renaissance__antonello-da-messina_painter-self-portrait__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out rendering; minimal stylistic transfer and low contrast. Structure is partially preserved but lacks clarity. High artifact presence due to noise and blur.",5,5,5,"Excellent minimalism: clean lines, flat color, simplified forms. Structure fully preserved with high fidelity. No visible artifacts; crisp and professional output.",3,4,3,Moderate stylistic abstraction with some loss of detail. Structure mostly intact but slightly distorted. Artifacts include smudging and inconsistent line weight.
Minimalism__tony-smith_die-1968__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,"Cube structure preserved but color and texture completely lost; appears frosted/white instead of brown, failing minimalism’s clean material fidelity.",5,5,5,"Perfectly preserves cube geometry, wood floor, and wall; maintains minimal aesthetic with accurate color, lighting, and no artifacts.",2,3,2,"Severe blurring and smearing distort cube edges and surface texture; loses material identity and introduces heavy artifacts, violating minimalism’s clarity."
Early_Renaissance__carlo-crivelli_piet-1__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very faint Ukiyo-e influence; structure preserved but style is washed out and lacks characteristic line work or color blocking.,5,5,5,"Excellent Ukiyo-e style transfer with bold outlines, flat color areas, and traditional composition. Structure perfectly preserved with no artifacts.",3,4,3,"Moderate Ukiyo-e style with some color and line hints, but overly soft and blurry. Structure mostly preserved but lacks crispness; minor smudging artifacts."
Minimalism__richard-tuttle_relative-to-our-society-1990__to__Minimalism,Minimalism,Minimalism,DualPathFresh_e09,Seedream_repaired750,DualPathFresh_e09,DualPathFresh_e09,4,2,3,3,Minimalist style is weak; structure preserved but with soft blur and low contrast. Some artifacts from over-smoothing.,5,2,4,Strong minimalism via geometric abstraction and flat color blocks. Structure is heavily distorted but intentionally stylized. Few artifacts.,4,5,5,"Excellent balance: preserves source structure while applying clean, minimal aesthetic with subtle lighting and no visible artifacts."
Rococo__giovanni-domenico-tiepolo_christ-s-fall-on-the-way-to-calvary-1772__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly washed-out and hazy; lacks Renaissance color depth and detail. Structure is somewhat preserved but obscured by heavy blur/artifacts.,5,5,5,"Excellent match to Early Renaissance style: rich colors, clear brushwork, anatomical detail, and compositional fidelity. Minimal artifacts.",3,4,3,"Good structure and some stylistic elements, but slightly over-saturated and lacks the nuanced texture of true Renaissance painting. Minor smudging in highlights."
Early_Renaissance__fra-angelico_bosco-ai-frati-altarpiece__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Faint impressionistic washes applied but lack color vibrancy and brushwork; structure mostly preserved but figures appear washed out and indistinct.,5,5,5,"Excellent Impressionist rendering with visible brushstrokes, rich color palette, and faithful preservation of original composition and figure details; minimal artifacts.",3,4,4,Moderate Impressionist style with some softening and color shifts; structure largely intact but slight blurring and loss of fine detail in faces and drapery.
Rococo__canaletto_london-the-thames-and-the-city-of-london-from-the-terrace-of-richmond-house__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Minimal style transfer; mostly preserves source grayscale with slight texture overlay. Structure intact but lacks Renaissance color, lighting, or composition cues. Artifacts from uneven blending.",5,5,5,"Excellent Early Renaissance style: warm palette, chiaroscuro, architectural detail, and human figures match target reference. Source structure (harbor scene) preserved with high fidelity. No visible artifacts.",3,4,3,"Moderate style application — some color and texture added but inconsistent. Structure largely preserved. Noticeable smudging and edge artifacts, especially around horizon and buildings."
