case_id,src_style,tgt_style,best_overall,best_style_specificity,best_structure,best_artifact_control,confidence_1_to_5,LBM-PS-v2_e13_style_specificity,LBM-PS-v2_e13_structure_preservation,LBM-PS-v2_e13_artifact_control,LBM-PS-v2_e13_note,Seedream_repaired750_style_specificity,Seedream_repaired750_structure_preservation,Seedream_repaired750_artifact_control,Seedream_repaired750_note,SaMST_e15_style_specificity,SaMST_e15_structure_preservation,SaMST_e15_artifact_control,SaMST_e15_note
Early_Renaissance__paolo-uccello_scene-adoration-of-the-three-kings-1440__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,2,2,Overly abstracted; loses both Renaissance style and source structure.,5,5,5,Strong Early Renaissance style with clear structure and minimal artifacts.,3,3,3,Partial style transfer; some structural and artifact issues present.
Early_Renaissance__paolo-uccello_scene-adoration-of-the-three-kings-1440__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,Overly blurred and abstract; loses all structural detail and stylistic coherence.,5,5,5,"Excellent Impressionist brushwork, clear composition, and minimal artifacts.",3,4,3,Stylized but overly graphic; some color distortion and minor structural warping.
Early_Renaissance__paolo-uccello_scene-adoration-of-the-three-kings-1440__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,3,"Overly blurred, loses all structural and stylistic intent; minimalism not achieved.",5,5,5,"Clean geometric framing, simplified forms, bold colors — strong minimalism with full structure retention.",3,4,2,"Retains structure but introduces noisy line artifacts; style is ambiguous, not clearly minimalist."
Early_Renaissance__paolo-uccello_scene-adoration-of-the-three-kings-1440__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,2,1,Extremely blurry and indistinct; no clear Rococo elements or structural fidelity.,5,5,5,"Strong Rococo aesthetic with ornate frame, soft colors, and clear composition matching target style while preserving source structure.",3,4,3,Retains structure but applies a more naive or folk-art style; lacks refined Rococo elegance and has minor artifacts.
Early_Renaissance__paolo-uccello_scene-adoration-of-the-three-kings-1440__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,1,1,Extremely blurry and indistinct; no discernible Ukiyo-e features or structure.,5,5,5,"Strong Ukiyo-e aesthetic with clear composition, bold outlines, flat color planes, and minimal artifacts.",4,4,4,Good Ukiyo-e style and structure but slightly less crisp than D; minor softness in edges.
Early_Renaissance__piero-della-francesca_portrait-of-a-boy__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,2,1,Extremely blurry and indistinct; fails to convey Early Renaissance style or preserve structure.,5,5,5,Excellent match to Early Renaissance portraiture style; clean structure and minimal artifacts.,4,4,3,Good stylistic rendering but overexposed highlights and slight texture artifacts reduce fidelity.
Early_Renaissance__piero-della-francesca_portrait-of-a-boy__to__Impressionism,Early_Renaissance,Impressionism,SaMST_e15,SaMST_e15,Seedream_repaired750,Seedream_repaired750,4,2,2,1,Overly blurred and indistinct; loses both style and structure.,4,5,5,Strong Impressionist brushwork with excellent structural fidelity and minimal artifacts.,5,3,3,Highly stylized with vivid color blocks; some structural distortion and edge artifacts present.
Early_Renaissance__piero-della-francesca_portrait-of-a-boy__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Overly blurred and abstract; loses facial structure and minimalism intent.,5,5,5,"Clean lines, flat color blocks, and simplified form perfectly match minimalism while preserving source structure.",3,4,3,Sketchy texture introduces noise; partially achieves minimalism but lacks clean abstraction.
Early_Renaissance__piero-della-francesca_portrait-of-a-boy__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,LBM-PS-v2_e13,Seedream_repaired750,4,2,5,3,Very faithful to source structure but lacks Rococo ornamentation; overly blurred and indistinct.,5,4,5,Strong Rococo framing and decorative motifs; preserves key structural elements with clean rendering.,3,4,4,Moderate Rococo texture and color; some loss of fine detail and slight over-processing.
Early_Renaissance__piero-della-francesca_portrait-of-a-boy__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,2,2,Overly blurred and lacks clear Ukiyo-e stylistic markers; structure is lost in haze.,5,5,5,"Strong Ukiyo-e aesthetic with clean lines, flat color blocks, and preserved silhouette; minimal artifacts.",4,4,3,Good stylization with textured patterns but introduces noise and slight distortion around edges.
Early_Renaissance__pietro-perugino_giovanni-colombini__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Overly blurred and washed out; loses Renaissance detail and structure.,5,5,5,"Excellent match to Early Renaissance style, preserves source structure cleanly, no visible artifacts.",4,4,4,Good style transfer but slightly over-saturated and less refined than D.
Early_Renaissance__pietro-perugino_giovanni-colombini__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,Overly abstracted; loses all structural and stylistic coherence.,5,5,5,"Excellent Impressionist brushwork while preserving figure, pose, and background details.",4,4,4,Good style transfer with minor color shifts and slight loss of fine detail.
Early_Renaissance__pietro-perugino_giovanni-colombini__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,"Overly blurred, loses all structure and style intent; appears as noise rather than minimalism.",5,5,5,"Clean geometric simplification, preserves figure composition, uses flat color blocks — ideal minimalism.",3,3,2,Textured overlay obscures form; partial structure retained but artifacts from pattern interfere with clarity.
Early_Renaissance__pietro-perugino_giovanni-colombini__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,1,1,Extremely blurry and abstract; loses all structural detail and Rococo elegance; heavy artifacts.,5,5,5,"Excellent Rococo styling with ornate frames, soft lighting, and decorative elements; preserves original pose and composition cleanly.",4,4,4,Good Rococo influence with frame and color palette; slight over-saturation and minor texture artifacts but still coherent.
Early_Renaissance__pietro-perugino_giovanni-colombini__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,1,1,Completely lost both style and structure; appears as abstract clouds with no discernible subject or Ukiyo-e traits.,5,5,5,"Excellent Ukiyo-e style transfer with clear line work, flat color planes, and compositional fidelity to source; minimal artifacts.",3,4,4,Retains structure well but style is inconsistent — some areas resemble Ukiyo-e while others look painterly or blurred; minor artifacts in shading.
Early_Renaissance__pisanello_stork-1430__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,3,"Very faint, washed-out style; structure preserved but lacks Renaissance detail or color.",5,5,5,"Excellent Early Renaissance style transfer with rich colors, clear brushwork, and full structural fidelity.",4,4,3,Strong stylistic rendering with some texture artifacts and slight over-saturation; structure mostly intact.
Early_Renaissance__pisanello_stork-1430__to__Impressionism,Early_Renaissance,Impressionism,SaMST_e15,SaMST_e15,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Very faint impressionistic wash; structure blurred but recognizable; heavy smudging and low contrast reduce clarity.,3,5,5,Clean preservation of bird anatomy and pose; subtle brushwork hints at impressionism without distortion; minimal artifacts.,5,3,3,Strongest impressionist palette and texture; slight color bleeding and edge softening introduce minor artifacts; structure still clear.
Early_Renaissance__pisanello_stork-1430__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,4,Overly blurred and washed out; minimalism achieved but at cost of clarity and detail.,5,5,5,"Clean lines, flat colors, simplified forms — ideal minimalism with full structural fidelity and no artifacts.",3,4,3,Sketchy texture introduces noise; structure preserved but style feels more illustrative than minimalist.
Early_Renaissance__pisanello_stork-1430__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,"Very blurry and indistinct; Rococo elements barely visible, structure partially preserved but heavily degraded.",5,5,5,"Excellent Rococo styling with ornate floral motifs, soft pastel tones, and elegant framing; bird structure perfectly preserved; no artifacts.",3,4,3,"Some Rococo flavor in background texture and color, but overly dark and muddy; structure mostly intact but lacks refinement; minor smudging artifacts."
Early_Renaissance__pisanello_stork-1430__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,SaMST_e15,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Very blurry and washed out; lacks Ukiyo-e line work and color blocking. Structure is preserved but heavily degraded by blur.,4,5,5,Excellent preservation of the bird’s anatomy and pose. Clean lines and appropriate color palette mimic Ukiyo-e without introducing noise or distortion.,5,3,3,"Strongest Ukiyo-e aesthetic with bold colors and stylized shading, but introduces slight structural warping in the neck and legs, and minor texture artifacts on the background."
Early_Renaissance__sandro-botticelli_trinity(1)__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,2,2,Highly abstracted; loses both Renaissance style and structural clarity.,5,5,5,Faithfully renders Early Renaissance style with crisp composition and minimal artifacts.,4,4,4,"Strong style and structure, but slight color saturation and edge softness reduce precision."
Early_Renaissance__sandro-botticelli_trinity(1)__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,2,2,Highly blurred and abstracted; loses both Rococo elegance and structural clarity.,5,5,5,"Faithfully renders Rococo ornamental framing, soft pastel tones, and precise figure composition with minimal artifacts.",3,4,3,"Retains structure well but applies a muted, aged palette that dilutes Rococo’s characteristic lightness and ornamentation."
Early_Renaissance__sandro-botticelli_trinity(1)__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,SaMST_e15,SaMST_e15,SaMST_e15,SaMST_e15,5,1,1,1,Completely lost structure and style; appears as abstract noise with no discernible content or Ukiyo-e traits.,3,4,3,"Retains main composition and figures but applies a flat, posterized style with limited Ukiyo-e texture or line work; some color bleeding and edge artifacts.",5,5,4,"Strong Ukiyo-e aesthetic with bold outlines, flat color blocks, and stylized forms; preserves source structure well with minimal artifacts."
Impressionism__alfred-sisley_riverbank-at-veneux-1881__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,1,2,1,Extremely blurry and abstract; no discernible style or structure from source or target.,5,5,5,"Excellent Early Renaissance style with clear figures, drapery, and architectural elements; perfectly preserves source landscape structure with minimal artifacts.",3,4,3,Moderate style transfer with some Renaissance-like tones but lacks figure detail; structure preserved well but with noticeable smudging and color bleeding.
Impressionism__alfred-sisley_riverbank-at-veneux-1881__to__Impressionism,Impressionism,Impressionism,SaMST_e15,SaMST_e15,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Overly blurred and abstract; loses both style clarity and structural detail.,4,5,5,Strong Impressionist brushwork with excellent preservation of original composition and minimal artifacts.,5,4,4,"Vivid, expressive Impressionist palette and texture; slight color bleeding but retains strong structure."
Impressionism__alfred-sisley_riverbank-at-veneux-1881__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,3,Overly abstracted; loses all structural and stylistic fidelity to minimalism.,5,5,5,"Clean geometric forms, flat color blocks, and simplified composition perfectly embody minimalism while preserving source structure.",3,2,2,Textural noise and grid artifacts detract from minimalism; structure is partially preserved but obscured.
Impressionism__alfred-sisley_riverbank-at-veneux-1881__to__Rococo,Impressionism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,2,2,Overly blurred and abstract; loses both Rococo elegance and source structure.,5,5,5,Strong Rococo framing and soft pastel tones; preserves landscape structure cleanly with minimal artifacts.,3,4,3,Moderate Rococo feel but muddy textures and slight structural distortion; some noise in sky and trees.
Impressionism__alfred-sisley_riverbank-at-veneux-1881__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,1,1,1,Completely lost structure and style; appears as abstract noise.,5,5,5,"Excellent Ukiyo-e style with clear woodblock texture, strong structure retention, and minimal artifacts.",3,4,3,Moderate style transfer with some graininess; structure mostly preserved but less refined than D.
Impressionism__alfred-sisley_the-banks-of-the-oise-1878__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,Extremely blurred and abstract; loses all structural detail and fails to convey Early Renaissance style.,5,5,5,"Excellent preservation of source structure with clear Early Renaissance stylistic elements: soft modeling, atmospheric perspective, and painterly texture without artifacts.",4,4,3,"Strong stylistic rendering with some dramatic lighting, but slight over-saturation and minor smudging reduce artifact control compared to D."
Impressionism__alfred-sisley_the-banks-of-the-oise-1878__to__Impressionism,Impressionism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,1,1,1,Panel C is nearly blank/blurry; no discernible style or structure.,5,5,5,"Strong Impressionist brushwork, clear structure from source, minimal artifacts.",4,4,4,"Good Impressionist style and structure, but slightly more color distortion than D."
Impressionism__alfred-sisley_the-banks-of-the-oise-1878__to__Minimalism,Impressionism,Minimalism,SaMST_e15,SaMST_e15,Seedream_repaired750,SaMST_e15,4,2,1,1,Overly blurred; loses all structure and style intent.,3,5,4,"Preserves structure well but applies cartoonish style, not minimalism.",5,3,5,"Clean, textured minimalism with no artifacts; structure softened but recognizable."
Impressionism__alfred-sisley_the-banks-of-the-oise-1878__to__Rococo,Impressionism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,Extremely blurry and abstract; loses all structural detail and Rococo stylistic cues.,5,5,5,"Excellent Rococo rendering with soft brushwork, ornate framing, and faithful preservation of source composition and details.",3,4,3,"Retains structure but applies a dark, stormy style inconsistent with Rococo; some smudging and loss of fine detail."
Impressionism__alfred-sisley_the-banks-of-the-oise-1878__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,1,1,1,Completely lost structure and style; appears as abstract blur with no discernible content or Ukiyo-e traits.,5,5,5,"Strong Ukiyo-e aesthetic with bold outlines, flat color planes, and stylized textures; preserves source composition and landscape elements cleanly.",3,4,3,"Retains structure well but applies a painterly, impressionistic texture rather than true Ukiyo-e; some noise and uneven blending reduce artifact control."
Impressionism__antoine-blanchard_place-de-la-madeleine-hiver__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,Overly blurred and abstract; loses all structural detail and fails to convey Early Renaissance style.,5,5,5,Excellent preservation of scene structure with clear stylistic rendering matching Early Renaissance painterly qualities and color palette.,4,4,4,"Good stylistic match and structure retention, but slightly less refined in texture and edge definition compared to D."
Impressionism__antoine-blanchard_place-de-la-madeleine-hiver__to__Impressionism,Impressionism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,"Overly blurred, loses all structural detail and stylistic nuance; appears as noise rather than impressionistic rendering.",5,5,5,Excellent impressionistic brushwork with clear preservation of scene structure and minimal artifacts; best balance of style and fidelity.,4,3,3,Strong color and texture but slightly over-saturated and some structural distortion; good style but less controlled than D.
Impressionism__antoine-blanchard_place-de-la-madeleine-hiver__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,4,"Overly blurred, loses structural detail; minimalism not clearly expressed.",5,5,5,"Clean lines, preserved architecture, strong minimalist aesthetic with no artifacts.",4,3,3,Stylized line art conveys minimalism but distorts structure and introduces noise.
Impressionism__antoine-blanchard_place-de-la-madeleine-hiver__to__Rococo,Impressionism,Rococo,Seedream_repaired750,Seedream_repaired750,LBM-PS-v2_e13,Seedream_repaired750,4,2,5,3,Preserves source structure well but lacks Rococo stylistic elements; appears as a blurred or abstracted version.,5,4,5,"Strong Rococo aesthetic with ornate framing, soft pastel tones, and decorative motifs; maintains scene coherence with minimal artifacts.",3,4,4,Shows some Rococo influence in color and texture but less defined than D; minor smudging and loss of fine detail.
Impressionism__antoine-blanchard_place-de-la-madeleine-hiver__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Overly blurred and lacks clear Ukiyo-e stylistic markers; structure is preserved but style is weak and noisy.,5,5,4,Strong Ukiyo-e aesthetic with visible brushwork and color palette; structure well preserved; minor artifacts in texture.,4,4,3,Good stylistic resemblance to Ukiyo-e with some painterly effects; structure mostly intact; slight smudging and loss of fine detail.
Impressionism__armand-guillaumin_valley-in-pontgibaud-1890__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,2,2,Overly abstracted; loses both style and structure.,5,5,5,Strong Early Renaissance palette and brushwork; preserves source composition cleanly.,4,4,4,"Good style and structure, but slightly more stylized rendering than D."
Impressionism__armand-guillaumin_valley-in-pontgibaud-1890__to__Impressionism,Impressionism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,1,1,Overly abstracted; loses source structure and lacks coherent Impressionist brushwork.,5,5,5,"Strong Impressionist style with visible brushstrokes, color harmony, and full preservation of source composition and details.",4,4,4,Good Impressionist feel but slightly less refined brushwork and minor color saturation artifacts compared to D.
Impressionism__armand-guillaumin_valley-in-pontgibaud-1890__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,2,Overly blurred and abstract; loses all structural detail and minimalism intent.,5,5,5,"Clean geometric shapes, flat colors, and simplified forms perfectly embody minimalism while preserving source structure.",3,3,3,Textured line-art style is minimalist but introduces noise and reduces clarity; structure partially preserved.
Impressionism__armand-guillaumin_valley-in-pontgibaud-1890__to__Rococo,Impressionism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,2,1,Overly abstracted; loses both Rococo elegance and source structure; heavy blur and noise.,5,5,5,"Strong Rococo painterly texture with soft glazes, ornamental framing, and preserved landscape composition; minimal artifacts.",4,4,4,Good Rococo color palette and brushwork; slight over-saturation and minor edge smearing but overall coherent.
Impressionism__armand-guillaumin_valley-in-pontgibaud-1890__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,"Very blurry, lacks Ukiyo-e line work and color blocking; structure is barely recognizable.",5,5,5,"Strong Ukiyo-e aesthetic with bold outlines, flat color planes, and stylized trees; structure perfectly preserved; no artifacts.",4,4,4,Good Ukiyo-e influence with simplified forms and earthy tones; slight loss of fine detail in foliage; minor smudging but overall clean.
Impressionism__augustus-john_proven-al-landscape__to__Early_Renaissance,Impressionism,Early_Renaissance,SaMST_e15,SaMST_e15,LBM-PS-v2_e13,SaMST_e15,4,2,5,3,Preserves structure well but lacks Renaissance stylistic traits; heavy blur and smudging reduce clarity.,3,4,3,Moderate style transfer with some Renaissance color tones; structure mostly intact but slightly softened.,5,4,5,Strong Early Renaissance palette and brushwork; clean edges and minimal artifacts; slight softening in sky.
Impressionism__augustus-john_proven-al-landscape__to__Impressionism,Impressionism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,1,1,Overly abstracted; loses all structural detail and fails to convey Impressionist brushwork or color harmony.,5,5,5,"Excellent Impressionist rendering with visible brushstrokes, vibrant palette, and faithful preservation of source composition and forms.",4,4,4,Strong Impressionist style with good color and texture; minor over-saturation and slight loss of fine structural edges compared to D.
Impressionism__augustus-john_proven-al-landscape__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,2,3,Overly blurred and abstract; loses both style and structure.,5,5,5,Clean geometric minimalism with clear structural fidelity and no artifacts.,3,3,4,Textured minimalism; retains some structure but introduces noise-like artifacts.
Impressionism__augustus-john_proven-al-landscape__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,1,1,1,"Completely lost structure and style; appears as a blurred, indistinct wash with no discernible Ukiyo-e features or source content.",5,5,5,"Excellent Ukiyo-e style transfer with clear linework, flat color planes, and stylized clouds/trees; perfectly preserves source composition and tree placement with minimal artifacts.",3,4,3,Shows some Ukiyo-e influence in line quality and cloud rendering but lacks the crispness and flatness of true Ukiyo-e; structure is mostly preserved but with slight distortion in tree forms and sky texture.
Impressionism__camille-pissarro_the-gardener-afternoon-sun-eragny-1899__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Overly blurred and abstract; loses both Renaissance style cues and source structure.,5,5,5,"Strong Early Renaissance painterly texture, clear figure/landscape structure, minimal artifacts.",4,4,4,Good style and structure but slightly softer edges and minor smudging near figure.
Impressionism__camille-pissarro_the-gardener-afternoon-sun-eragny-1899__to__Impressionism,Impressionism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,Overly abstracted; loses all structural detail and style is indistinct.,5,5,5,"Excellent Impressionist brushwork, preserves source structure cleanly, no artifacts.",4,4,4,"Good style and structure, but slightly less refined brushwork than D."
Impressionism__camille-pissarro_the-gardener-afternoon-sun-eragny-1899__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,"Overly blurred, loses all structural and stylistic clarity; minimalism not achieved.",5,5,5,"Clean geometric shapes, flat colors, simplified forms — strong minimalism with full structure retention.",3,2,2,Textured noise dominates; minimalism implied but poorly executed with high artifacts and lost structure.
Impressionism__camille-pissarro_the-gardener-afternoon-sun-eragny-1899__to__Rococo,Impressionism,Rococo,Seedream_repaired750,Seedream_repaired750,LBM-PS-v2_e13,Seedream_repaired750,4,2,5,3,Highly blurred; structure preserved but Rococo style nearly absent.,5,4,5,Strong Rococo aesthetic with soft pastels and ornate framing; minor edge artifacts.,3,4,4,Moderate Rococo influence; retains structure but lacks stylistic refinement.
Impressionism__camille-pissarro_the-gardener-afternoon-sun-eragny-1899__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,1,1,1,Extremely blurry; no discernible style or structure.,5,5,5,"Strong Ukiyo-e aesthetic with clean lines, stylized forms, and preserved composition.",3,4,4,"Retains structure but applies only a mild painterly filter, lacking distinct Ukiyo-e traits."
Impressionism__childe-hassam_evening-champs-elysees-aka-pres-du-louvre__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,2,1,Overly blurred and abstract; loses both style and structure.,5,5,5,Excellent Early Renaissance style with clear structure and minimal artifacts.,4,4,3,Good style and structure but slight color distortion and minor artifacts.
Impressionism__childe-hassam_evening-champs-elysees-aka-pres-du-louvre__to__Impressionism,Impressionism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Overly blurred and washed out; loses both style detail and structural clarity.,5,5,5,"Strong Impressionist brushwork, faithful to source composition, clean output with no artifacts.",4,4,4,Good style and structure but slightly less refined than D; minor color saturation issues.
Impressionism__childe-hassam_evening-champs-elysees-aka-pres-du-louvre__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,2,"Overly blurred, loses all structural and stylistic intent; minimalism not achieved.",5,4,5,"Clean geometric simplification, strong color blocking, preserves key figures and scene layout with no artifacts.",3,2,3,"Textured noise dominates; structure is obscured, style is ambiguous and inconsistent with minimalism."
Impressionism__childe-hassam_evening-champs-elysees-aka-pres-du-louvre__to__Rococo,Impressionism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,2,1,Extremely blurry and abstract; loses nearly all structural detail and Rococo characteristics.,5,5,5,"Strong Rococo aesthetic with ornate framing, soft pastel tones, and clear preservation of original composition and figures.",3,4,4,Moderate Rococo influence with some decorative elements; structure mostly preserved but less stylized than D.
Impressionism__childe-hassam_evening-champs-elysees-aka-pres-du-louvre__to__Ukiyo_e,Impressionism,Ukiyo_e,SaMST_e15,SaMST_e15,SaMST_e15,SaMST_e15,4,2,3,2,Overly blurred and washed out; loses both style and structure.,3,4,3,Moderate Ukiyo-e feel but lacks bold lines and flat color; some softness in details.,5,5,5,"Strong Ukiyo_e characteristics: bold outlines, flat color blocks, stylized forms; preserves source structure cleanly with minimal artifacts."
Impressionism__childe-hassam_september-moonrise__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Overly blurred and abstract; loses landscape structure and Renaissance stylistic cues.,5,5,5,Strong Early Renaissance palette and composition; preserves source structure cleanly with minimal artifacts.,3,4,3,Adds stylized figures and texture but introduces unnatural elements and slight structural distortion.
Impressionism__childe-hassam_september-moonrise__to__Impressionism,Impressionism,Impressionism,Seedream_repaired750,SaMST_e15,Seedream_repaired750,Seedream_repaired750,4,2,1,1,Overly blurred and abstract; loses all structural detail and stylistic coherence.,4,5,5,Strong Impressionist brushwork with clear preservation of source structure and minimal artifacts.,5,3,4,Highly stylized with vivid color blocks; structure is somewhat distorted but artifacts are controlled.
Impressionism__childe-hassam_september-moonrise__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,3,Overly blurred; loses all structural and stylistic intent.,5,5,5,Clean minimalism with preserved composition and no artifacts.,3,2,4,Textured abstraction introduces noise; structure partially lost.
Impressionism__childe-hassam_september-moonrise__to__Rococo,Impressionism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,Overly blurred and abstract; loses both Rococo elegance and source structure.,5,5,5,Exemplary Rococo framing and ornamental detail; perfectly preserves landscape structure with no artifacts.,3,3,2,Some Rococo texture but overly dark and muddy; structure partially lost with visible smearing artifacts.
Impressionism__childe-hassam_september-moonrise__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,"Overly blurred, loses all structural detail and Ukiyo-e characteristics; appears as noise or watercolor wash.",5,5,5,"Strong Ukiyo-e aesthetic with flat color planes, bold outlines, and stylized forms; preserves source composition perfectly; no visible artifacts.",3,3,2,Shows some Ukiyo-e texture and color blocking but introduces heavy grain/noise; structure is partially preserved but degraded by artifacts.
Impressionism__claude-monet_bordighera-the-house-of-gardener__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,Overly abstracted; loses all structural and stylistic coherence.,5,5,5,Excellent Early Renaissance style transfer with preserved structure and minimal artifacts.,3,4,3,Moderate style fidelity; some color distortion and minor structural softening.
