case_id,src_style,tgt_style,best_overall,best_style_specificity,best_structure,best_artifact_control,confidence_1_to_5,QEdgePattn_e01_style_specificity,QEdgePattn_e01_structure_preservation,QEdgePattn_e01_artifact_control,QEdgePattn_e01_note,DualPath_e01_style_specificity,DualPath_e01_structure_preservation,DualPath_e01_artifact_control,DualPath_e01_note,Seedream_repaired750_style_specificity,Seedream_repaired750_structure_preservation,Seedream_repaired750_artifact_control,Seedream_repaired750_note
Minimalism__agnes-martin_happy-valley-1967__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,1,1,Completely blank output; no style or structure transferred.,1,1,1,Completely blank output; no style or structure transferred.,5,5,5,Excellent Early Renaissance style transfer with clear architectural and figure composition preserved. No visible artifacts.
Minimalism__sean-scully_untitled-1973__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,QEdgePattn_e01,Seedream_repaired750,4,3,5,4,Strong structural fidelity with clean edges; moderate impressionistic texture but lacks brushstroke variation and color blending typical of Impressionism.,3,4,3,Slightly softer than QEdgePattn but introduces minor smudging and less defined geometry; style application is inconsistent across regions.,5,4,5,"Best captures Impressionist qualities — visible brushwork, luminous color transitions, and atmospheric softness — while maintaining acceptable structural integrity and minimal artifacts."
Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,2,1,"Severely degraded by foggy haze; minimalism not achieved, structure blurred, heavy artifacts.",1,2,1,"Identical to C; same foggy degradation, no stylistic fidelity, poor artifact control.",5,5,5,Clean vector-style minimalism; preserves facial structure and crown shape; zero artifacts; strong stylistic match.
Rococo__antoine-watteau_head-of-a-man__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,QEdgePattn_e01,Seedream_repaired750,4,2,5,4,Preserves source structure well but lacks Rococo stylistic elements; appears as a faded sketch with minimal style transfer.,2,5,4,Similar to QEdgePattn_e01 — strong structural fidelity but negligible Rococo styling; nearly identical output to C.,5,3,5,"Strongly captures Rococo aesthetics (ornate frame, pastel tones, decorative collar) while maintaining recognizable facial structure; minor distortion in neck/shoulder area but overall high quality."
Early_Renaissance__antonello-da-messina_painter-self-portrait__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,QEdgePattn_e01,Seedream_repaired750,5,2,5,4,Preserves structure well but fails to apply Ukiyo-e style; remains grayscale line art.,2,5,4,Similar to QEdgePattn_e01; excellent structure but no stylistic transfer.,5,4,5,Successfully applies Ukiyo-e color palette and texture while preserving most structural details with minimal artifacts.
Minimalism__judy-chicago_morning-fan-1971__to__Ukiyo_e,Minimalism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very blurry, low contrast; fails to capture Ukiyo-e linework or texture. Structure is preserved but heavily degraded by blur artifacts.",2,3,2,Similar to QEdgePattn — overly smooth and washed out. Lacks the crisp ink lines and woodblock texture of Ukiyo-e. Minor color shifts but no structural fidelity.,5,5,5,"Excellent match to Ukiyo-e style: retains grid structure, applies appropriate color gradients and subtle textures mimicking woodblock printing. No visible artifacts; clean edges and consistent tone mapping."
Minimalism__john-mclaughlin_number-4__to__Ukiyo_e,Minimalism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,2,1,Completely failed to apply style; output is a blurry beige wash with no Ukiyo-e characteristics.,1,2,1,"Similar to QEdgePattn, failed to transfer style, resulting in a blurry, indistinct beige image.",5,5,5,Perfectly transferred the Ukiyo-e style while maintaining the exact structure and color palette of the source image.
Rococo__antoine-watteau_head-of-a-man__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,"Faint, washed-out output with minimal stylistic deviation from source; lacks clear minimalism or geometric abstraction.",2,3,3,"Similar to QEdgePattn — overly soft and indistinct, failing to impose any recognizable minimal style.",5,4,5,Strongly applies minimalism via clean geometric planes and bold outlines; preserves facial structure well with no visible artifacts.
Minimalism__imi-knoebel_weiss-und-schwarz-4-2009__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly blurred and washed out; loses sharp edges and contrast essential to minimalism. Structure is recognizable but degraded by haze.,2,3,2,Similar to QEdgePattn — soft focus and low contrast reduce stylistic fidelity. Geometric layout preserved but lacks crispness.,5,5,5,"Perfectly captures minimalism: clean lines, high contrast, flat colors, no artifacts. Structure is sharply preserved with accurate geometry and alignment."
Impressionism__eugene-boudin_trouville-the-fish-market-1884__to__Impressionism,Impressionism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very blurry and washed-out; impressionistic texture is weak and indistinct. Structure is preserved but obscured by haze. Heavy artifacts from over-smoothing.,3,4,3,Better than QEdgePattn_e01 with more visible brushwork and color variation. Structure is well preserved. Some smudging and loss of fine detail in figures.,5,5,5,"Excellent impressionistic style with vibrant colors, clear brushstroke texture, and faithful reproduction of source structure. Minimal artifacts; best overall result."
Impressionism__alfred-sisley_the-banks-of-the-oise-1878__to__Impressionism,Impressionism,Impressionism,Seedream_repaired750,Seedream_repaired750,DualPath_e01,DualPath_e01,4,2,3,3,Very low style transfer; appears mostly unprocessed with slight texture overlay. Structure preserved but lacks impressionist brushwork or color palette.,3,5,5,Good structural fidelity and clean output. Style is present but muted — soft washes and light texture suggest impressionism without strong brushstroke definition.,5,4,4,"Strongest impressionist style: visible impasto-like strokes, warm palette, and atmospheric blending. Minor structural softening in foreground elements, but overall best stylistic match."
Ukiyo_e__tsukioka-yoshitoshi_not_detected_242419__to__Ukiyo_e,Ukiyo_e,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very blurry and washed-out; style is barely recognizable as Ukiyo-e; structure is preserved but degraded by noise.,2,3,2,Nearly identical to QEdgePattn_e01; suffers from same blurriness and lack of stylistic fidelity.,5,5,5,"Excellent Ukiyo-e style transfer with clear linework, appropriate color palette, and faithful preservation of source structure and details."
Rococo__carl-ludwig-johann-christineck_portrait-of-paul-of-russia-dressed-as-chevalier-of-the-order-of-st-andrew-1760__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and hazy; minimalism not achieved, structure lost in diffusion-like noise.",2,3,2,"Similar to QEdgePattn — foggy, low contrast, fails to convey minimalism or preserve detail cleanly.",5,5,5,Clean vector-style simplification with flat colors and bold outlines; perfectly captures minimalism while preserving key structural elements of the portrait.
Ukiyo_e__ogata-gekko_nihon-hana-zue-1896__to__Impressionism,Ukiyo_e,Impressionism,Seedream_repaired750,Seedream_repaired750,QEdgePattn_e01,Seedream_repaired750,4,2,5,4,Preserves source structure well but fails to apply Impressionist style; output is nearly identical to source with minimal stylistic transfer.,2,5,4,Similar to QEdgePattn_e01 — strong structure retention but negligible Impressionist styling; appears as a faded or washed-out version of source.,5,4,5,Strongly applies Impressionist brushwork and color palette while preserving key compositional elements; minor softening of edges but no major artifacts.
Ukiyo_e__utagawa-kuniyoshi_woman-seated-under-a-cherry-blossoms__to__Impressionism,Ukiyo_e,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low style transfer; image remains nearly identical to source with no impressionistic texture or color shift. Structure preserved but no stylistic adaptation.,2,3,2,Identical to QEdgePattn_e01 — no visible style transfer applied. Fails to impose Impressionist characteristics despite being a different method.,5,5,5,"Successfully applies Impressionist style: soft brushwork, muted palette, atmospheric blending, and textured background while preserving original composition and subject. No artifacts or structural distortion."
Early_Renaissance__pisanello_stork-1430__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,QEdgePattn_e01,Seedream_repaired750,4,2,5,4,Preserves structure perfectly but fails to apply Impressionist style; output is nearly identical to source.,2,5,4,"Similar to QEdgePattn; excellent structure and low artifacts, but no stylistic transfer applied.",4,4,5,"Successfully applies a painterly, Impressionist-like texture and color palette while maintaining good structural integrity and minimal artifacts."
Impressionism__rudolf-schweitzer-cumpana_str-du-n-atena__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very weak Ukiyo-e style; appears as a washed-out impressionist blur. Structure is partially preserved but heavily degraded by noise and smearing. Poor artifact control with significant color bleeding and loss of detail.,2,3,2,"Similar to QEdgePattn_e01 — minimal Ukiyo-e characteristics, mostly retains source’s painterly texture. Structure is somewhat intact but lacks crispness. Artifacts include smudged edges and inconsistent color application.",5,5,5,"Excellent Ukiyo-e style transfer: bold outlines, flat color blocks, stylized forms, and compositional framing match the target reference. Structure is perfectly preserved with clean edges and accurate spatial relationships. No visible artifacts; output is clean and coherent."
Minimalism__joan-hernandez-pijuan_nuvol-rosa-2-1990__to__Ukiyo_e,Minimalism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,"Very faint, washed-out texture; minimal Ukiyo-e character. Structure preserved but lacks stylistic depth and shows blotchy artifacts.",2,3,2,"Similar to QEdgePattn — overly diffuse, low contrast, and lacks defined Ukiyo-e motifs. Structure intact but style is weak and noisy.",4,5,4,Strongest Ukiyo-e feel with subtle gradient washes and paper-like texture. Ellipse structure cleanly preserved. Minor edge smudging but overall cleanest output.
Ukiyo_e__utagawa-kunisada_not_detected_240381(1)__to__Minimalism,Ukiyo_e,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Fails to apply minimalism; output is a faded, low-contrast version of the source with no stylistic reduction or simplification.",2,3,2,Same as QEdgePattn_e01 — no meaningful style transfer; retains source complexity without applying minimalism.,5,4,5,"Successfully applies minimalism: reduces detail, uses flat colors, clean lines, and simplified forms while preserving key compositional elements and adding stylistic text/graphics consistent with the target reference."
Rococo__giovanni-domenico-tiepolo_the-new-world-1797__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very blurry and washed-out; lacks Ukiyo-e linearity and color blocking. Structure is partially preserved but heavily degraded by diffusion artifacts.,2,3,2,"Nearly identical to QEdgePattn_e01 — same blurriness, low contrast, and poor stylistic fidelity. Fails to capture Ukiyo-e aesthetics.",5,5,5,"Excellent Ukiyo-e style transfer: bold outlines, flat color regions, traditional composition, and visible brushwork texture. Structure fully preserved with no artifacts."
Ukiyo_e__hiroshige_oiso-toraga-ame-shower-1835__to__Ukiyo_e,Ukiyo_e,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,3,4,3,Moderate Ukiyo-e style with visible brushstroke artifacts and slight color bleeding; structure mostly preserved but edges are soft.,3,4,3,Similar to QEdgePattn_e01; slightly more consistent coloring but still exhibits smudging and loss of fine detail in figures.,5,5,5,"Excellent Ukiyo-e aesthetic with clean lines, appropriate color palette, and minimal artifacts; structure and details well preserved."
Rococo__dmitry-levitzky_maria-feodorovna__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Heavy foggy blur obscures style and structure; minimal Ukiyo-e characteristics.,2,3,2,"Similar to QEdgePattn — overly soft, smudged output with no clear Ukiyo-e line work or color blocking.",5,5,5,"Strong Ukiyo-e aesthetic: bold outlines, flat color regions, stylized hair and dress, clean edges, faithful to source pose and composition."
Minimalism__ronald-davis_zig-zag-times-two-1966__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Severely blurred; minimalism not preserved, structure lost, heavy artifacts.",2,3,2,"Similar to QEdgePattn — blurry, lacks stylistic fidelity, poor artifact control.",5,5,5,"Perfectly preserves source geometry and applies clean, minimal aesthetic with no artifacts."
Impressionism__childe-hassam_evening-champs-elysees-aka-pres-du-louvre__to__Impressionism,Impressionism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very blurry, low contrast; impressionistic texture is weak and muddy. Structure is preserved but lacks clarity. Heavy artifacts from over-smoothing.",3,4,3,Better than QEdgePattn_e01 with more visible brushstroke-like texture. Structure is well preserved. Some haze and loss of fine detail reduce style specificity.,5,5,5,"Excellent impressionist style with vibrant, textured brushwork matching the target reference. Structure is perfectly preserved. No visible artifacts; clean and coherent output."
Impressionism__claude-monet_palazzo-contarini-2__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,DualPath_e01,4,2,3,3,"Faint, washed-out output with minimal stylistic shift; structure preserved but style specificity is very low.",2,4,5,"Clean, artifact-free rendering with good structural fidelity, but lacks strong minimalist styling — appears too similar to source.",5,4,4,Strong minimalist aesthetic with bold color blocking and simplified forms; minor artifacts in water reflection but overall excellent style transfer and structure retention.
Rococo__antoine-pesne_carl-heinrich-graun__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,2,1,"Severely blurred and washed out; minimalism not captured, structure lost, heavy artifacts.",1,2,1,"Nearly identical to QEdgePattn_e01 — same blur, loss of detail, no stylistic fidelity.",5,4,5,Clean geometric abstraction with flat colors and simplified forms; preserves pose and composition well; no visible artifacts.
Rococo__thomas-gainsborough_a-peasant-girl-with-dog-and-jug-1785__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,QEdgePattn_e01,Seedream_repaired750,4,2,5,3,Preserves source structure well but applies a generic soft-focus filter; lacks Rococo-specific ornamental or color traits.,2,5,3,Nearly identical to QEdgePattn_e01; same structural fidelity and lack of stylistic specificity.,5,4,5,"Strongly captures Rococo aesthetics via pastel palette, ornate frame, and dreamy atmosphere; minor structural softening but no artifacts."
Early_Renaissance__antonello-da-messina_painter-self-portrait__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly desaturated and washed-out; loses stylistic intent of minimalism while retaining structure but introducing noise-like artifacts.,2,3,2,"Similar to QEdgePattn — faint, low-contrast output with minimal stylistic fidelity and visible degradation in detail.",5,5,5,"Clean, bold lines with flat color blocks and simplified forms — perfectly captures minimalism while preserving source structure and avoiding artifacts."
Minimalism__tony-smith_die-1968__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,2,1,Severely blurred and washed out; loses all texture and color fidelity. Fails to preserve structure or convey minimalism effectively.,1,2,1,"Same as QEdgePattn — heavy blur, loss of detail, poor artifact control. Does not reflect target style or source content.",5,5,5,"Perfectly preserves cube geometry, wood floor, and wall background. Color and lighting match source while adhering to minimalist aesthetic. No artifacts."
Early_Renaissance__carlo-crivelli_piet-1__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out style transfer; lacks Ukiyo-e color and line clarity; structure preserved but visually indistinct.",2,3,2,"Similar to QEdgePattn — minimal stylistic shift, no strong Ukiyo-e traits, slight blur or smearing artifacts.",5,5,5,"Strong Ukiyo-e aesthetic: bold outlines, flat color blocks, decorative patterns, and compositional framing match target reference closely; source structure well preserved with minimal distortion."
Minimalism__richard-tuttle_relative-to-our-society-1990__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,DualPath_e01,Seedream_repaired750,4,2,4,3,"Faint, washed-out style transfer; minimal abstraction but lacks clear minimalist structure or color palette. Some ghosting artifacts.",3,5,4,Preserves object structure well with soft blur and muted tones — partially captures minimalism through simplification. Minor haloing around edges.,5,3,5,"Strong minimalist aesthetic via geometric abstraction, flat colors, and clean lines. Structure is stylized but recognizable. No visible artifacts."
Rococo__giovanni-domenico-tiepolo_christ-s-fall-on-the-way-to-calvary-1772__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly blurred and hazy; loses Renaissance texture and detail. Structure is preserved but style is weak and indistinct.,2,3,2,"Similar to QEdgePattn — smudged, low contrast, lacks stylistic fidelity. Minor improvement in color but still poor artifact control.",5,5,5,"Excellent preservation of source structure with strong Early Renaissance stylistic traits: chiaroscuro, anatomical detail, warm palette, and painterly texture. Minimal artifacts."
Early_Renaissance__fra-angelico_bosco-ai-frati-altarpiece__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,DualPath_e01,Seedream_repaired750,4,2,4,3,Minimal style transfer; output closely resembles source with slight softening. Lacks impressionistic brushwork or color treatment.,3,5,4,Good structural fidelity and moderate impressionistic texture. Some smudging in background but overall coherent style application.,5,4,5,Strong impressionistic rendering with visible brushstroke-like textures and color blending. Structure well preserved with minimal artifacts. Best balance of style and content.
Rococo__canaletto_london-the-thames-and-the-city-of-london-from-the-terrace-of-richmond-house__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,QEdgePattn_e01,Seedream_repaired750,4,2,5,3,Preserves structure well but lacks Renaissance style; appears as a faded sketch with minimal color or texture.,2,4,3,Similar to QEdgePattn_e01; slightly smoother but still fails to apply Early Renaissance style effectively.,5,3,5,Strongly applies Early Renaissance style with rich colors and architectural detail; some structural distortion in perspective.
Minimalism__joan-hernandez-pijuan_nuvol-rosa-2-1990__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,QEdgePattn_e01,Seedream_repaired750,4,2,5,3,Preserves oval structure well but applies minimal stylistic texture; appears overly smooth and lacks Renaissance painterly qualities.,2,5,3,Similar to QEdgePattn — strong structural fidelity but weak style transfer; slight edge artifacts visible around oval.,4,4,5,Best balance: introduces subtle aged parchment texture and warm tones reminiscent of Early Renaissance frescoes; oval preserved cleanly with no major artifacts.
Impressionism__claude-monet_palazzo-contarini-2__to__Rococo,Impressionism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,Very blurry and washed-out; lacks Rococo ornamentation or color richness. Structure is preserved but degraded by heavy smoothing.,2,3,3,"Similar to QEdgePattn — overly diffuse, no clear Rococo motifs. Structure intact but visually indistinct.",5,5,5,Excellent Rococo framing with ornate gold borders and decorative motifs. Source structure perfectly preserved. No artifacts.
Impressionism__william-merritt-chase_gray-day-on-the-lagoon-a-passenger-boat-venice__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,DualPath_e01,Seedream_repaired750,4,2,3,2,Fails to apply minimalism; retains painterly texture and color. Structure is preserved but style is absent.,2,4,3,"Preserves structure well but applies a washed-out, hazy filter rather than true minimalism. Lacks geometric abstraction.",5,4,5,Successfully applies minimalism through flat colors and geometric shapes. Structure is recognizable and artifacts are minimal.
Ukiyo_e__katsushika-hokusai_woman-looking-at-herself-in-a-mirror__to__Impressionism,Ukiyo_e,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Fails to apply Impressionist style; output resembles a faded or degraded version of the source with no brushwork or color variation. Structure is preserved but visually degraded.,2,3,2,Identical to QEdgePattn_e01 — no stylistic transformation applied. Appears as a washed-out copy of the source image with no Impressionist characteristics.,5,5,5,"Successfully applies Impressionist style with visible brushstrokes, color blending, and atmospheric effects while preserving the original composition and subject. Clean output with no artifacts."
Minimalism__robert-mangold_ellow-black-zone-painting-iv-1996__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,QEdgePattn_e01,QEdgePattn_e01,4,2,5,5,"Preserves source structure perfectly with no artifacts, but applies almost no Rococo style—appears as a plain gradient with minimal texture or ornamentation.",2,5,5,"Identical to QEdgePattn_e01 in output; excellent structure and artifact control, but fails to inject any discernible Rococo stylistic elements.",5,3,3,"Strongly captures Rococo aesthetics with ornate gold filigree, floral motifs, and rich color palette. Structure is somewhat distorted (curved top, added decorative borders), and minor blending artifacts visible at edges, but overall most stylistically faithful."
Ukiyo_e__ogata-gekko_print-from-series-women-s-customs-and-manners-1895-1__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,QEdgePattn_e01,QEdgePattn_e01,4,3,5,5,Excellent structure and artifact control; style is muted and lacks Rococo ornamentation.,3,5,5,Nearly identical to QEdgePattn_e01; strong structure and clean output but weak Rococo styling.,5,4,3,Strong Rococo style with ornate frame and pastel palette; minor structural softening and slight color bleed.
Ukiyo_e__utagawa-kunisada_not_detected_240353__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly blurred and washed-out; loses both style and structural detail. Heavy artifacts and loss of texture.,2,3,2,"Similar to QEdgePattn — hazy, low contrast, poor style transfer. Structural elements are faintly preserved but degraded.",5,5,5,Excellent Early Renaissance style match with rich color palette and chiaroscuro. Structure fully preserved. Clean output with minimal artifacts.
Minimalism__robert-ryman_conversion-2003__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very faint, blurry Rococo-like patterns; lacks definition and detail. Structure is preserved but style is weakly rendered with low contrast and noise.",2,3,2,"Similar to QEdgePattn — extremely muted, almost indistinct Rococo motifs. Poor artifact control with smudged edges and low fidelity to target style.",5,5,5,"Excellent Rococo style transfer: ornate, symmetrical frame with gilded scrollwork matching target reference. Structure perfectly preserved. No visible artifacts or distortions."
Impressionism__john-singer-sargent_lake-in-the-tyrol__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very blurry and washed-out; lacks Ukiyo-e linearity or color blocking. Structure is preserved but heavily degraded by haze.,2,3,2,"Similar to QEdgePattn, suffers from excessive blurring and lack of distinct style features. Structure is visible but soft.",5,5,5,"Excellent Ukiyo-e style transfer with clear ink-like lines, distinct color separation, and high structural fidelity. No visible artifacts."
Rococo__william-hogarth_the-countess-s-morning-levee__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,DualPath_e01,Seedream_repaired750,4,2,3,2,"Very blurry and washed-out; style is barely recognizable as Ukiyo-e, with heavy smearing and loss of detail.",3,5,3,Excellent structure preservation but style is muted and lacks bold lines or color blocking typical of Ukiyo-e; some haze present.,5,4,5,"Strong Ukiyo-e style with clear outlines, flat colors, and decorative framing; minor softness in faces but overall clean and faithful."
Impressionism__mihaly-munkacsy_dusty-country-road-ii-1883__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Output is overly blurred and lacks clear stylistic interpretation; minimalism not evident, structure preserved but details lost.",2,3,2,"Similar to QEdgePattn_e01 — diffuse, indistinct style, no clear minimalism, structure vaguely retained but with heavy smoothing artifacts.",5,5,5,"Strongly adheres to minimalism with clean geometry, flat colors, and simplified forms. Source structure (road, figures, trees) is clearly preserved. No visible artifacts."
Impressionism__pierre-auguste-renoir_still-life-with-apples-and-pomegranates-1901__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very blurry, watercolor-like washes; lacks Ukiyo-e linearity and flat color blocks. Structure is preserved but heavily distorted by soft blending artifacts.",2,3,2,"Nearly identical to QEdgePattn_e01 — same soft, painterly blur. Fails to capture Ukiyo-e’s graphic quality. Minor variation in background hue only.",5,5,5,"Excellent Ukiyo-e emulation: bold outlines, flat color fields, stylized shading, and compositional framing match the target reference. Source structure perfectly preserved with no artifacts."
Ukiyo_e__tsukioka-yoshitoshi_not_detected_242419__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Weak Rococo styling; structure preserved but colors and textures lack ornamental detail; noticeable blurring and color bleeding.,2,3,2,Similar to QEdgePattn_e01; minimal stylistic enhancement; structure intact but lacks Rococo elegance; mild artifacts.,5,5,5,"Strong Rococo aesthetic with ornate borders, soft pastel tones, and decorative flourishes; source structure perfectly preserved; no visible artifacts."
Impressionism__claude-monet_rouen-cathedral-the-portal-at-midday__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,2,1,Extremely washed out and blurry; no discernible Ukiyo-e style or structural detail preserved.,2,2,2,Slightly more defined than C but still heavily blurred and lacks clear style or structure; artifacts dominate.,5,5,5,"Excellent Ukiyo-e style transfer with bold outlines, flat color blocks, and stylized shading; source structure (Notre Dame) clearly preserved with minimal artifacts."
Rococo__joshua-reynolds_colonel-george-k-h-coussmaker-grenadier-guards__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Heavy smudging and loss of detail; style is vague and not clearly Early Renaissance; structure partially preserved but blurred.,2,3,2,"Similar to QEdgePattn_e01 — overly diffuse, lacks stylistic fidelity to target; structure retained but degraded by haze.",4,5,5,"Best preservation of original composition and figure structure; subtle stylistic hints toward Early Renaissance (e.g., color palette, soft modeling); minimal artifacts."
Early_Renaissance__sandro-botticelli_trinity(1)__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,DualPath_e01,DualPath_e01,4,2,4,3,"Faint, washed-out style; lacks clear Ukiyo-e traits. Structure mostly preserved but with soft blur and low contrast.",3,5,5,Good structural fidelity and clean output. Style is somewhat muted but retains compositional clarity without artifacts.,5,4,4,"Strongest Ukiyo-e style transfer with bold outlines, flat color blocks, and stylized figures. Minor structural softness but excellent stylistic match."
Impressionism__william-merritt-chase_at-the-boat-landing__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,QEdgePattn_e01,Seedream_repaired750,4,2,5,3,Preserves structure well but lacks Ukiyo-e stylistic traits; appears as a washed-out impressionist painting.,2,5,3,"Similar to QEdgePattn — strong structure, weak style transfer, minimal artifacts but no Ukiyo-e character.",4,4,5,"Best captures Ukiyo-e color palette and mood (sunset tones, stylized clouds), maintains good structure, clean output with no visible artifacts."
Impressionism__william-merritt-chase_at-the-boat-landing__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,"Very faint, washed-out style transfer; lacks Renaissance texture or color depth. Structure preserved but overly blurred. Artifacts from low contrast and noise.",3,4,3,Moderate style application with slightly improved color saturation over QEdgePattn. Structure well preserved. Minor smudging in sky and grass areas.,5,5,5,"Strong Early Renaissance style: rich earth tones, visible brushwork, atmospheric perspective. Structure perfectly maintained. Clean output with no visible artifacts."
