case_id,src_style,tgt_style,best_overall,best_style_specificity,best_structure,best_artifact_control,confidence_1_to_5,LBM-Knee_e13_style_specificity,LBM-Knee_e13_structure_preservation,LBM-Knee_e13_artifact_control,LBM-Knee_e13_note,Seedream_repaired750_style_specificity,Seedream_repaired750_structure_preservation,Seedream_repaired750_artifact_control,Seedream_repaired750_note,Hold4TwoStage_e12_style_specificity,Hold4TwoStage_e12_structure_preservation,Hold4TwoStage_e12_artifact_control,Hold4TwoStage_e12_note
Minimalism__eva-hesse_expanded-expansion-1969__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Fails to apply Early Renaissance style; appears as a blurred, overexposed curtain with no stylistic transfer. Structure is partially preserved but distorted by artifacts.",5,5,5,"Excellent preservation of source structure (curtain folds, lighting) while successfully applying the monochrome, sketch-like Early Renaissance style from the reference. Clean output with minimal artifacts.",3,2,2,"Shows some stylistic influence (light washes, soft edges) but lacks fidelity to the target’s line work and texture. Structure is heavily distorted with vertical streaking and loss of detail."
Rococo__francois-boucher_portrait-of-madame-boucher-1745__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,1,Poor Rococo style transfer; frame appears degraded and muddy with heavy artifacts and loss of ornamental detail.,5,5,5,"Excellent Rococo aesthetic with soft pastel tones, elegant framing, and faithful preservation of source composition and subject pose.",3,2,1,"Moderate style attempt but suffers from severe structural distortion, black border artifacts, and loss of fine detail in frame and figure."
Rococo__joshua-reynolds_colonel-george-k-h-coussmaker-grenadier-guards__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low Rococo style transfer; colors are muted and washed out. Structure is somewhat preserved but lacks detail. Heavy artifacts and blurring degrade quality.,5,5,5,"Excellent Rococo style with ornate frame, soft pastel tones, and elegant brushwork. Perfect structure preservation of source elements. No visible artifacts.",3,2,1,"Some Rococo flavor in color palette but lacks ornamental framing and refinement. Structure is distorted with major artifacts (black splotches, broken forms). Poor overall coherence."
Impressionism__eugene-boudin_laundresses-on-the-banks-of-the-touques-9__to__Rococo,Impressionism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low Rococo style transfer; heavy texture artifacts and loss of color fidelity. Structure is somewhat preserved but obscured by noise.,5,5,5,Excellent Rococo style integration with ornate frame and soft pastel tones. Source structure perfectly preserved with no visible artifacts.,2,3,1,Poor style transfer; image appears degraded with heavy smudging and loss of detail. Structure is barely recognizable due to severe artifacts.
Rococo__giovanni-domenico-tiepolo_the-new-world-1797__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Heavy vertical smearing distorts structure; Rococo elements are barely recognizable; artifacts dominate.,5,5,5,Excellent Rococo styling with ornate frames and soft pastels; source composition fully preserved; no visible artifacts.,3,2,2,Some Rococo color palette present but heavily distorted by vertical streaking and cloud-like artifacts; structure significantly degraded.
Impressionism__konstantin-korovin_arctic-ocean-1913__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,4,2,3,5,Very low style transfer; image remains nearly unchanged. Structure preserved well with no artifacts.,5,5,4,Excellent Ukiyo-e style match with clear wave patterns and color palette. Structure preserved perfectly. Minor color banding in sky.,2,3,4,Minimal style transfer applied; image looks washed out. Structure preserved but lacks detail. Some smudging artifacts.
Ukiyo_e__kitagawa-utamaro_the-hour-of-the-horse__to__Impressionism,Ukiyo_e,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Faint impressionistic washes applied but lack brushwork texture; structure preserved but colors muted and indistinct.,5,5,5,Strong impressionist brushwork and color palette applied faithfully; original composition and details fully preserved with no visible artifacts.,3,2,2,Overly blurred and smeared; impressionist effect is present but at cost of structural integrity and introduces heavy artifacts.
Rococo__giovanni-domenico-tiepolo_christ-s-fall-on-the-way-to-calvary-1772__to__Impressionism,Rococo,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,3,3,3,Moderate impressionistic brushwork but overly washed out; structure is blurred and details lost; some smudging artifacts present.,5,5,5,Strong impressionist palette and texture while preserving original composition and figures; clean output with minimal artifacts.,2,2,1,Heavy distortion and loss of structural integrity; excessive noise and patchy artifacts; style application is inconsistent and degraded.
Impressionism__mihaly-munkacsy_dusty-country-road-ii-1883__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,3,"Very faint and washed-out; minimal stylistic transfer, structure barely preserved, some smudging artifacts.",5,5,5,Strong Early Renaissance palette and brushwork; source composition clearly retained; clean output with no visible artifacts.,3,4,4,Moderate stylistic influence with soft blending; structure mostly intact; slight over-smoothing and color bleed in sky.
Rococo__dmitry-levitzky_portrait-of-maria-palovna-narychkina-1773__to__Impressionism,Rococo,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly hazy and washed-out; impressionistic brushwork is absent, replaced by a foggy blur that obscures facial features and texture.",5,5,5,"Excellent impressionist rendering with visible brushstrokes, warm palette, and soft edges while preserving portrait structure and identity.",2,2,1,"Severe over-smoothing and ghosting artifacts; face and clothing details are lost, resembling a degraded or motion-blurred image rather than impressionism."
Ukiyo_e__katsushika-hokusai_fishing-in-the-bay-uraga__to__Ukiyo_e,Ukiyo_e,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,"Very faded, low contrast; style is barely perceptible. Structure preserved but washed out.",5,5,5,"Excellent Ukiyo-e style transfer with vibrant colors, clear lines, and faithful structure. Minimal artifacts.",3,4,4,Moderate style application; somewhat muted and hazy. Structure mostly preserved but lacks vibrancy.
Rococo__joseph-wright_d-ewes-coke-his-wife-hannah-and-daniel-parker-coke__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Very faint Ukiyo-e influence; mostly retains original painting style with minimal stylization. Structure preserved but lacks artistic transformation.,5,5,5,"Excellent Ukiyo-e style transfer with bold outlines, flat color planes, and decorative patterns. Structure perfectly preserved. No visible artifacts.",3,3,2,Some Ukiyo-e elements present but heavily blurred and distorted. Structure partially lost; significant smudging and ghosting artifacts degrade quality.
Early_Renaissance__jacopo-bellini_view-of-a-fortification-of-jerusalem(1)__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,Seedream_repaired750,4,2,5,4,Preserves source structure well but lacks Rococo stylistic elements; appears as a faded sketch with minimal color or ornamentation.,5,4,5,"Strong Rococo aesthetic with soft pastels, ornate framing, and painterly texture; minor structural softening but overall excellent balance.",3,3,2,Attempts Rococo tones but suffers from heavy blur and loss of detail; structure is obscured and artifacts dominate the output.
Ukiyo_e__katsushika-hokusai_ono-shindon-in-the-suraga-province__to__Ukiyo_e,Ukiyo_e,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Fails to capture Ukiyo-e style; appears washed out and lacks characteristic color blocking or line work. Structure is preserved but colors are muddy.,5,5,5,Excellent style transfer with distinct Ukiyo-e color palette and texture. Structure is perfectly preserved with no visible artifacts.,3,4,3,Captures some stylistic elements but suffers from significant blurring and loss of detail in the foreground figures.
Rococo__dmitry-levitzky_portrait-of-unknown-woman-with-a-rose-1788__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Faint Rococo softness but lacks ornamental detail; structure preserved but overly blurred and hazy.,5,5,5,"Excellent Rococo framing, pastel palette, and decorative motifs; source structure perfectly preserved with no artifacts.",1,2,1,Severe structural distortion and heavy artifacts; style completely lost in noise and fragmentation.
Ukiyo_e__ogata-gekko_nihon-hana-zue-1896__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,Very faint Rococo influence; mostly retains source aesthetic with minimal stylistic transfer. Structure preserved but lacks Rococo ornamentation or color palette.,5,5,5,"Excellent Rococo style transfer: ornate frame, soft pastel tones, romanticized figures, and decorative elements faithfully applied while preserving original composition and details.",2,2,2,Overly washed out and blurry; loses structural clarity and fails to convey Rococo characteristics. Heavy artifacts and loss of detail degrade both style and content fidelity.
Impressionism__augustus-john_proven-al-landscape__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Very faint style transfer; lacks Ukiyo-e color and line work. Structure is preserved but image appears washed out and low-contrast.,5,5,5,"Excellent transfer of the Ukiyo-e aesthetic (colors, lighting, texture) while perfectly maintaining the source composition and tree structures. No visible artifacts.",3,3,2,"Shows some stylistic influence but is blurry and lacks definition. Structure is somewhat distorted, and the image suffers from significant noise and smearing artifacts."
Minimalism__imi-knoebel_weiss-und-schwarz-4-2009__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,LBM-Knee_e13,4,2,5,5,Preserves source geometry perfectly but fails to apply Rococo style; appears as a grayscale/blurry version of the input.,5,2,3,"Excellent Rococo texture and color application, but completely ignores the source structure, replacing it with a generic ceiling pattern.",3,4,2,"Attempts to keep the structure and apply style, but results in heavy blurring and low-quality artifacts."
Rococo__benjamin-west_self-portrait-1770__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,2,Very low style transfer; image appears faded and washed out with minimal Ukiyo-e characteristics. Structure is preserved but lacks stylistic fidelity.,5,5,5,"Excellent Ukiyo-e style application with clear line work, flat color regions, and compositional framing matching the target. Structure is well-preserved and no visible artifacts.",1,3,1,Severe degradation; image is heavily blurred and distorted with almost no recognizable style or structure. Appears as a failed or corrupted output.
Ukiyo_e__utagawa-kuniyoshi_a-man-confronted-with-an-apparition-of-the-fox-goddess__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,3,4,3,Moderate Renaissance texture and color wash applied; structure mostly preserved but some distortion in figure outlines; visible noise and uneven blending.,5,5,5,"Strong Early Renaissance style transfer with accurate chiaroscuro, muted palette, and painterly texture; source structure perfectly preserved; minimal artifacts.",2,3,2,Weak style application; overexposed and washed-out appearance; structural elements blurred or distorted; significant halos and edge artifacts.
Impressionism__rudolf-schweitzer-cumpana_str-du-n-atena__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Overly washed-out and lacks Renaissance texture; structure is preserved but style is too abstract and modern.,5,5,5,Excellent match to Early Renaissance palette and brushwork; structure is well-preserved with no visible artifacts.,3,4,3,"Moderate style transfer with some Renaissance tones, but suffers from smudging and loss of fine detail."
Ukiyo_e__utagawa-toyokuni_the-heian-courtier__to__Minimalism,Ukiyo_e,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,Overly faded and desaturated; loses stylistic intent of minimalism while preserving structure poorly due to blur.,5,5,5,"Excellent minimalism: clean lines, reduced detail, strong color contrast, faithful structure, no artifacts.",3,4,4,Moderate minimalism with good structure but slightly muted colors and soft edges; minor loss of definition.
Ukiyo_e__keisai-eisen_the-courtesan-kaoru-of-owariya-matched-with-okitsu-1825(1)__to__Impressionism,Ukiyo_e,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Structure is partially preserved but heavily distorted; style transfer is weak and inconsistent, with visible artifacts and loss of detail.",5,5,5,Excellent preservation of source structure while successfully applying Impressionist brushwork and color palette; minimal artifacts.,3,2,2,Style is somewhat applied but overly diffuse; structure is blurred and details are lost; noticeable smudging and noise artifacts.
Impressionism__augustus-john_proven-al-landscape__to__Impressionism,Impressionism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,3,Overly washed-out and desaturated; loses color vibrancy and brushwork texture of Impressionism. Structure is preserved but lacks stylistic fidelity.,5,5,5,"Excellent match to Impressionist style: visible brushstrokes, rich color palette, atmospheric lighting. Structure well-preserved with no artifacts.",3,4,2,"Moderate style transfer with some brushwork, but suffers from smudging and loss of detail in background elements. Artifacts reduce overall quality."
Ukiyo_e__keisai-eisen_yabai-with-two-women-1840__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very weak Rococo style transfer; colors are muted and lack ornamental detail. Structure is somewhat preserved but blurry. Heavy artifacts and loss of fine texture.,5,5,5,"Excellent Rococo style transfer with rich ornamental patterns, soft pastel tones, and decorative borders. Structure is perfectly preserved. No visible artifacts; clean and high-quality output.",3,2,2,"Some Rococo elements present (e.g., floral motifs), but style is inconsistent and washed out. Structure is distorted and smeared. Significant artifacts and blurring degrade quality."
Minimalism__william-scott_bowl-white-on-grey-1962__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,4,5,Preserves source structure well but completely fails to apply Impressionist style; output is nearly identical to source with no stylistic transfer.,5,5,5,Excellent application of Impressionist brushwork and color palette while perfectly preserving the shield’s shape and position. Clean output with no visible artifacts.,2,3,1,"Shows some textural variation suggesting an attempt at style, but introduces severe noise and distortion artifacts that obscure the original structure. Style application is weak and inconsistent."
Ukiyo_e__katsushika-hokusai_ono-shindon-in-the-suraga-province__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,"Minimal style transfer; retains source’s flat, graphic quality with no Renaissance texture or lighting. Structure preserved but lacks stylistic integration.",5,5,5,"Excellent fusion: source composition preserved while fully adopting Early Renaissance chiaroscuro, drapery, and atmospheric depth. No visible artifacts.",3,3,2,Partial style adoption with muddy blending and loss of fine detail. Some structural distortion in figures and landscape; noticeable smudging and color bleed.
Minimalism__fernando-lanhas_o39-68-1968__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,4,2,4,5,Preserves geometry well but lacks Renaissance style; background is plain and unstyled.,5,5,4,Excellent style transfer with classical architecture and figures; structure preserved cleanly; minor edge blending artifacts.,3,3,2,Attempts style but introduces heavy texture distortion and jagged edges; structure is warped and unclear.
Impressionism__edgar-degas_study-of-gentile-bellini-1855__to__Impressionism,Impressionism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very faint, washed-out output; minimal impressionistic texture or color; structure is preserved but overly blurred and low-contrast.",5,5,5,Excellent impressionistic brushwork and color palette; faithful to source structure with no visible artifacts; best overall result.,3,2,2,"Some impressionistic smudging present, but structure is distorted (face misaligned); noticeable artifacts and uneven blending reduce quality."
Ukiyo_e__hiroshige_hakone-kosuizu__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Poor Rococo style transfer; retains source structure but lacks ornamental detail and color palette. Moderate artifacts from edge distortion.,5,5,5,"Excellent Rococo style integration with ornate borders, soft pastel tones, and faithful preservation of source composition. Minimal artifacts.",3,4,2,"Partial Rococo influence with some gilded elements, but heavy blurring and smudging degrade structure and introduce noticeable artifacts."
Rococo__joseph-wright_d-ewes-coke-his-wife-hannah-and-daniel-parker-coke__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Faint Rococo-like haze but lacks ornamental detail; structure is blurred and indistinct; heavy smudging and loss of figure definition.,5,5,5,Excellent Rococo framing and color palette; source composition perfectly preserved; no visible artifacts or distortions.,1,1,1,Severe structural collapse with black voids and fragmented forms; no discernible style transfer; catastrophic artifacting.
Minimalism__robert-ryman_surface-veil-1970__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,5,5,Preserves structure perfectly but applies zero style transfer; output is identical to source.,5,5,5,Perfectly preserves the source structure while successfully applying the Impressionist style to the central canvas.,2,2,1,"Fails to preserve the source structure, resulting in a blurry, abstract mess with significant artifacts."
Minimalism__ruth-vollmer_trimer-monomer-dimer-1965__to__Ukiyo_e,Minimalism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Minimal style transfer; appears mostly unstyled with slight texture smoothing. Structure preserved well but lacks Ukiyo-e characteristics.,5,5,5,Strong Ukiyo-e style applied with appropriate color palette and line work. Structure of the objects is preserved and no visible artifacts.,3,2,2,"Style is partially applied but heavily distorted. Structure is broken and artifacts are prominent, reducing overall quality."
Minimalism__robert-mangold_ellow-black-zone-painting-iv-1996__to__Minimalism,Minimalism,Minimalism,Hold4TwoStage_e12,Hold4TwoStage_e12,Seedream_repaired750,Hold4TwoStage_e12,4,3,4,3,Moderate minimalism with soft gradients; structure preserved but lacks crispness; slight halo artifacts around edges.,4,5,4,Strong structural fidelity and bold minimal contrast; style is clear but slightly too graphic for pure minimalism; minor edge bleeding.,5,4,5,"Best balance: clean minimal aesthetic, smooth gradients, no visible artifacts; structure slightly softened but acceptable."
Impressionism__pierre-auguste-renoir_still-life-with-apples-and-pomegranates-1901__to__Rococo,Impressionism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Weak Rococo style; heavy vignetting and color distortion; structure preserved but visually degraded.,5,5,5,Excellent Rococo framing and palette; source structure perfectly preserved; no visible artifacts.,2,2,1,Poor style transfer; severe smearing and structural collapse; heavy artifacts throughout.
Minimalism__frank-stella_gezira-from-black-series-ii-1967__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Fails to apply Renaissance style; output is a grayscale version of the source pattern with no stylistic transfer. Structure is preserved but lacks artistic context.,5,5,5,"Excellent transfer of Early Renaissance style (color palette, texture, lighting) while perfectly preserving the geometric structure of the source. Clean output with no artifacts.",3,4,3,"Shows some stylistic influence (warm tones, softness) but is blurry and lacks detail. Structure is mostly preserved but degraded by noise and low resolution."
Rococo__maurice-quentin-de-la-tour_study-for-portrait-of-mademoiselle-dangeville-1__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low style transfer; image appears washed out and lacks Rococo ornamental or color characteristics. Structure is preserved but overly blurred.,5,5,5,"Excellent Rococo style integration with soft pastel tones, elegant framing, and smooth texture. Structure is well-preserved with no visible artifacts.",3,2,1,"Moderate style attempt but heavily distorted with large artifacts and structural degradation, especially around the face and hair."
Early_Renaissance__fra-angelico_coronation-of-the-virgin-detail-1435-1__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,"Faint, washed-out style; lacks Ukiyo-e linearity and color contrast. Structure mostly preserved but details blurred.",5,5,5,"Strong Ukiyo-e aesthetic: bold outlines, flat color blocks, stylized shading. Faithful to source structure with no visible artifacts.",2,3,2,Overly hazy and smudged; style is indistinct and structure is degraded. Heavy artifacts obscure figures and background.
Early_Renaissance__fra-angelico_bosco-ai-frati-altarpiece__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed out; minimalism not achieved, structure partially preserved but details lost.",5,5,5,Excellent minimalism via bold color blocking and simplified forms; structure fully preserved with clean edges and no artifacts.,2,2,2,"Extremely faded and low-contrast; minimalism absent, structure heavily degraded, significant visual noise/artifacts."
Early_Renaissance__domenico-ghirlandaio_st-stephen-st-jacobo-st-peter__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,"Faint, washed-out style transfer; lacks Ukiyo-e boldness and line clarity. Structure mostly preserved but colors are muted and indistinct.",5,5,5,"Excellent Ukiyo-e style application: strong outlines, flat color blocks, and stylized forms. Structure perfectly preserved with no visible artifacts.",3,3,2,Moderate style attempt but overly blurred and smudged. Artifacts include haloing and loss of detail; structure is distorted and colors bleed.
Minimalism__john-mclaughlin_number-13-1973__to__Ukiyo_e,Minimalism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,1,2,1,Completely blurred; no Ukiyo-e style or structure preserved.,4,5,5,Strong Ukiyo-e texture and color mapping; clean edges and faithful structure retention.,2,3,2,Some stylistic blur suggests attempt at Ukiyo-e but lacks clarity and introduces artifacts.
Impressionism__eugene-boudin_the-port-ships-at-dock__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed out; minimalism not clearly expressed, structure lost in haze.",5,5,5,"Clean vector-style minimalism with bold shapes, clear structure, no artifacts — excellent match to target.",3,4,3,Moderate minimalism attempt; some structural clarity but hazy edges and inconsistent style application.
Rococo__thomas-gainsborough_a-peasant-girl-with-dog-and-jug-1785__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out output with minimal stylistic adoption; structure is partially preserved but heavily blurred and low-contrast.",5,5,5,"Excellent minimalism: clean shapes, flat colors, simplified forms, and strong structural fidelity to source. No visible artifacts.",2,3,2,Overly hazy and desaturated; style transfer is weak and indistinct. Structure is barely discernible due to heavy blur and fog effect.
Ukiyo_e__utagawa-kuniyoshi_a-man-confronted-with-an-apparition-of-the-fox-goddess__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low Rococo style transfer; output resembles faded historical painting with no Rococo characteristics. Structure is partially preserved but heavily distorted. Significant artifacts and loss of detail.,5,5,5,"Excellent Rococo style transfer: soft pastel colors, ornate details, and elegant composition match target reference. Source structure (figures, swirls, text) is well-preserved. Minimal artifacts; clean, coherent output.",3,4,3,"Moderate Rococo influence with some pastel tones and decorative elements, but less consistent than Seedream. Structure is mostly preserved but slightly blurred or smeared. Some artifacts visible in background and figure edges."
Rococo__pietro-longhi_the-tooth-extractor__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very hazy, low contrast; Ukiyo-e style is barely perceptible. Structure is preserved but obscured by fog-like artifacts.",5,5,5,"Excellent transfer of Ukiyo-e aesthetic: bold outlines, flat color planes, decorative patterns. Structure is perfectly preserved with no artifacts.",3,4,3,Moderate style transfer with some color shifts and soft edges. Structure is mostly intact but lacks crispness; minor smudging artifacts present.
Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,1,"Severe blurring and loss of detail; style transfer is weak and noisy, with heavy artifacts obscuring facial features and crown.",5,5,5,Excellent Early Renaissance style match with rich color palette and painterly texture; structure fully preserved; no visible artifacts.,3,4,2,Moderate style transfer with some Renaissance-like tones but lacks depth and detail; mild smudging around beard and crown; structure mostly intact.
Impressionism__edgar-degas_study-of-gentile-bellini-1855__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Hold4TwoStage_e12,4,2,3,3,"Faint, low-contrast output; minimalism not clearly expressed. Structure preserved but overly blurred.",5,5,4,Strong minimalism with clean geometry and flat color blocks. Excellent structure retention and sharp edges.,3,4,5,"Soft, smudged aesthetic with good structure but weak style signal. Very clean with no artifacts."
Ukiyo_e__utagawa-kunisada_the-actor__to__Ukiyo_e,Ukiyo_e,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very faint, washed-out output; lacks bold Ukiyo-e color and line definition. Structure is preserved but overly blurred and low-contrast.",5,5,5,"Excellent reproduction of Ukiyo-e style: strong outlines, flat color blocks, and appropriate texture. Structure is perfectly preserved with no artifacts.",3,4,3,"Moderate style transfer with some color and line fidelity, but suffers from smudging and loss of detail in patterns. Structure is mostly intact but slightly degraded."
Ukiyo_e__katsushika-hokusai_cargo-ship-and-wave__to__Minimalism,Ukiyo_e,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly blurred and washed-out; loses both style and structural detail. Minimalist intent is not clearly conveyed.,5,5,5,"Excellent preservation of source structure while applying a clean, minimalist aesthetic with bold lines and reduced detail. No visible artifacts.",3,4,3,Retains good structure but applies an overly uniform grayscale wash that flattens texture and lacks stylistic intentionality. Minor haloing around edges.
Ukiyo_e__katsushika-hokusai_ono-shindon-in-the-suraga-province__to__Minimalism,Ukiyo_e,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly blurred and washed-out; loses stylistic intent and structural clarity.,5,5,5,"Excellent minimalism: clean lines, reduced detail, preserved composition, no artifacts.",3,4,3,"Moderate style transfer; some haze and loss of edge definition, but structure mostly intact."
Minimalism__robert-mangold_ellow-black-zone-painting-iv-1996__to__Ukiyo_e,Minimalism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Preserves structure well but lacks Ukiyo-e stylistic elements; appears as a flat color block with minimal texture or line work.,5,5,5,"Excellent Ukiyo-e style transfer with clear linework, appropriate color palette, and faithful structural preservation. Minimal artifacts.",3,3,2,Shows some stylistic intent but suffers from heavy blurring and smearing artifacts that distort both style and structure.
Impressionism__camille-pissarro_the-gardener-afternoon-sun-eragny-1899__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed-out; minimalism not clearly expressed, structure partially preserved but details lost.",5,5,5,"Excellent minimalism with clean geometry, strong structure retention, and no visible artifacts.",3,4,3,"Moderate minimalism; structure mostly preserved but suffers from haze and low contrast, reducing clarity."
Rococo__joseph-wright_mr-and-mrs-thomas-coltman__to__Impressionism,Rococo,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly washed-out and hazy; lacks Impressionist color vibrancy and brushwork. Structure is preserved but blurred into indistinct forms.,5,5,5,"Excellent Impressionist rendering with visible brushstrokes, rich autumnal palette, and clear figure/landscape structure. Minimal artifacts.",3,4,3,"Moderate style transfer with some color and texture improvement over LBM, but still retains ghostly haze and lacks crisp Impressionist detail. Some structural smearing."
Impressionism__stefan-dimitrescu_cabaret__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,2,1,"Overly abstracted, loses subject identity and structure; heavy artifacts and noise; minimal style transfer.",5,5,5,"Excellent minimalism: clean geometry, flat colors, preserved composition and subject; no visible artifacts.",3,3,2,"Blurred, low-contrast output; some structural retention but poor clarity and stylistic fidelity; mild artifacts."
