case_id,src_style,tgt_style,best_overall,best_style_specificity,best_structure,best_artifact_control,confidence_1_to_5,LBM-Knee_e13_style_specificity,LBM-Knee_e13_structure_preservation,LBM-Knee_e13_artifact_control,LBM-Knee_e13_note,Seedream_repaired750_style_specificity,Seedream_repaired750_structure_preservation,Seedream_repaired750_artifact_control,Seedream_repaired750_note,QEdgePattn_e03_style_specificity,QEdgePattn_e03_structure_preservation,QEdgePattn_e03_artifact_control,QEdgePattn_e03_note
Rococo__dmitry-levitzky_maria-feodorovna__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very blurry and washed-out; minimal Ukiyo-e stylistic features; structure preserved but obscured by haze.,5,5,5,"Excellent Ukiyo-e style transfer with bold outlines, flat color regions, and stylized shading; structure perfectly preserved; no visible artifacts.",3,4,3,"Some Ukiyo-e influence in line work and color blocking, but overly soft and smudged; structure mostly intact but edges lack crispness; mild artifacts from blending."
Minimalism__ronald-davis_zig-zag-times-two-1966__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,"Fails to apply the target style; output is a washed-out, desaturated version of the source with no stylistic transfer. Structure is preserved but lacks any minimalist aesthetic intent.",5,5,5,"Perfectly captures the minimalism style through clean geometry, solid color fill, and crisp shadowing. Structure is faithfully preserved with no artifacts or distortions.",1,2,1,"Output is heavily blurred and indistinct, losing both style and structure. No clear minimalist aesthetic is conveyed; appears as a failed or corrupted generation."
Impressionism__childe-hassam_evening-champs-elysees-aka-pres-du-louvre__to__Impressionism,Impressionism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very blurry and washed out; lacks impressionistic brushwork or color vibrancy. Structure is preserved but overly smoothed, losing detail.",5,5,5,"Excellent impressionistic rendering with visible brushstroke-like textures, rich autumnal colors, and well-preserved figure and scene structure. No visible artifacts.",3,4,3,"Moderate impressionistic feel with some texture, but colors are muted and slightly unnatural. Structure is mostly preserved, but edges show slight halos or smudging."
Impressionism__claude-monet_palazzo-contarini-2__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,"Faint, washed-out output with minimal stylistic abstraction; structure is preserved but lacks clarity and intentional minimalism.",5,5,5,"Strong minimalism achieved through flat color blocks, simplified geometry, and clean edges; source structure clearly retained without noise or artifacts.",2,3,3,"Similar to LBM — overly diffuse, low-contrast result with negligible stylistic transformation; structure barely discernible due to blurring."
Rococo__antoine-pesne_carl-heinrich-graun__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed out; minimalism not clearly expressed, structure partially preserved but lacks clarity.",5,5,5,Excellent minimalism with clean geometry and flat colors; structure well preserved; no visible artifacts.,2,3,2,Similar to LBM-Knee_e13; overly diffuse and lacks stylistic definition; structure faintly retained but unclear.
Rococo__thomas-gainsborough_a-peasant-girl-with-dog-and-jug-1785__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,Weak Rococo styling; overly blurred and washed out. Structure preserved but lacks detail and ornamental flair. Moderate artifacts from over-smoothing.,5,5,5,"Excellent Rococo emulation: ornate frame, soft pastel palette, delicate brushwork. Source structure perfectly preserved with no visible artifacts.",3,4,4,"Moderate Rococo feel with some color softening, but lacks ornamental framing and detail. Structure mostly intact; slight vignetting and haze as minor artifacts."
Early_Renaissance__antonello-da-messina_painter-self-portrait__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out rendering; minimal style transfer; structure partially preserved but lacks clarity and definition.",5,5,5,"Clean, stylized line art with strong adherence to minimalism; excellent structure retention and no visible artifacts.",2,3,2,"Similar to LBM — overly faint, low-contrast output; structure barely discernible; poor style transfer and high artifact presence."
Minimalism__tony-smith_die-1968__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Overly frosted/blurry; loses material identity and minimalism’s clean geometry.,5,5,5,"Faithful minimalism: crisp edges, uniform matte finish, clean reflections, no artifacts.",2,3,2,Excessive blur and smearing; structure softened and edges indistinct.
Early_Renaissance__carlo-crivelli_piet-1__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,Very faint Ukiyo-e influence; structure preserved but lacks stylistic definition and color richness.,5,5,5,"Excellent Ukiyo_e style transfer with strong color, line work, and composition matching the target reference while preserving source structure cleanly.",3,4,3,Moderate Ukiyo_e styling with some pattern artifacts; structure mostly preserved but style is less cohesive than Seedream.
Minimalism__richard-tuttle_relative-to-our-society-1990__to__Minimalism,Minimalism,Minimalism,QEdgePattn_e03,QEdgePattn_e03,QEdgePattn_e03,QEdgePattn_e03,4,2,3,2,"Faint, washed-out rendering; minimal style transfer evident; structure preserved but lacks stylistic intent.",3,4,3,Geometric abstraction applied with some success; structure mostly intact; minor artifacts in color blocking and edge softness.,5,5,5,"Clean, precise minimalism; faithful structure retention; no visible artifacts; strongest alignment with target style."
Rococo__giovanni-domenico-tiepolo_christ-s-fall-on-the-way-to-calvary-1772__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Overly faded and washed-out; loses Renaissance color richness and detail. Structure is preserved but style is too diffuse.,5,5,5,"Excellent match to Early Renaissance style: rich earth tones, clear anatomical forms, and atmospheric depth. No visible artifacts or structural distortion.",3,4,3,Moderate style transfer with some haze and loss of fine detail. Structure is mostly intact but lacks the vibrancy and clarity of the target style.
Early_Renaissance__fra-angelico_bosco-ai-frati-altarpiece__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Faint impressionistic washes applied but lack color vibrancy and brushwork; structure preserved but style feels diluted.,5,5,5,"Excellent Impressionist rendering with visible brushstrokes, luminous color palette, and full structural fidelity; no artifacts.",3,4,4,Moderate style transfer with soft edges and muted tones; structure intact but lacks dynamic brushwork or color richness of true Impressionism.
Rococo__canaletto_london-the-thames-and-the-city-of-london-from-the-terrace-of-richmond-house__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,"Preserves source structure well but applies only a faint, generic aged-paper texture; lacks Early Renaissance stylistic elements like chiaroscuro or architectural detail.",5,5,5,"Successfully transforms the scene into an Early Renaissance harbor view with appropriate architecture, figures, lighting, and color palette. Structure is coherent and artifacts are minimal.",2,4,2,Retains source layout but adds heavy vignetting and paper-edge artifacts that obscure content. Style transfer is weak — mostly just a sepia wash without Renaissance characteristics.
Minimalism__joan-hernandez-pijuan_nuvol-rosa-2-1990__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,3,"Faint, washed-out color with minimal stylistic texture; structure preserved but lacks Renaissance warmth and detail; minor edge artifacts.",5,5,5,"Strong Early Renaissance palette (ochre, muted earth tones), subtle textural variation, clean edges, and faithful structural retention — best overall match.",3,4,4,Better color than LBM but still too cool/pink; structure well-preserved; slight haloing around oval edge; less stylistic depth than Seedream.
Impressionism__claude-monet_palazzo-contarini-2__to__Rococo,Impressionism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Faint Rococo-like washes but lacks ornamental detail; structure is blurred and edges are soft; noticeable smearing and color bleeding artifacts.,5,5,5,"Strong Rococo aesthetic with ornate golden frame, soft pastel tones, and classical composition; source architecture and gondola clearly preserved; no visible artifacts or distortions.",2,3,2,"Minimal stylistic transfer; appears as a faded, low-contrast version of source; structure is partially retained but washed out; mild edge halos and color banding present."
Impressionism__william-merritt-chase_gray-day-on-the-lagoon-a-passenger-boat-venice__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out output with minimal stylistic interpretation; structure is preserved but lacks clarity and artistic intent.",5,5,5,"Strong minimalist aesthetic with clean geometry, flat colors, and clear structural fidelity to source scene; no visible artifacts.",3,3,3,Moderate stylistic abstraction with soft edges and muted tones; structure is somewhat preserved but lacks precision and clarity.
Ukiyo_e__katsushika-hokusai_woman-looking-at-herself-in-a-mirror__to__Impressionism,Ukiyo_e,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,Faint impressionistic washes applied; structure preserved but style is weak and indistinct.,5,5,5,"Strong Impressionist rendering with visible brushwork, color harmony, and full structural fidelity; no artifacts.",2,3,3,"Similar to LBM-Knee_e13 — minimal style transfer, mostly structural preservation with faint stylistic hints."
Minimalism__robert-mangold_ellow-black-zone-painting-iv-1996__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Minimal style transfer; mostly preserves source structure with faint Rococo hints. Low artifact presence but lacks stylistic fidelity.,5,5,5,Excellent Rococo style integration with ornate gold/black patterns matching target reference. Structure preserved well; no visible artifacts.,3,4,4,Moderate Rococo influence with soft gradients and floral motifs. Structure mostly intact; slight blurring but minimal artifacts.
Ukiyo_e__ogata-gekko_print-from-series-women-s-customs-and-manners-1895-1__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,LBM-Knee_e13,4,3,5,5,"Strong structural fidelity and clean output, but style transfer is muted and lacks Rococo’s ornamental richness.",5,4,3,Excellent Rococo style capture with soft pastels and decorative framing; minor structural softening and slight halo artifacts near edges.,2,4,2,Poor style transfer — barely resembles Rococo; noticeable smudging and edge artifacts degrade visual quality despite decent structure.
Ukiyo_e__utagawa-kunisada_not_detected_240353__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out style transfer; Early Renaissance elements barely visible; structure partially preserved but heavily blurred; significant artifacts and loss of detail.",5,5,5,"Excellent Early Renaissance style application with accurate lighting, drapery, and composition; source structure perfectly preserved; no visible artifacts.",2,3,2,Similar to LBM-Knee_e13 — very faint style overlay; structure mostly intact but obscured by noise/artifacts; minimal stylistic fidelity to Early Renaissance.
Minimalism__robert-ryman_conversion-2003__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,2,1,"Nearly blank output; no Rococo style applied, structure lost, heavy artifacts.",5,5,5,"Excellent Rococo frame replication with ornate details, clean edges, and faithful structure.",2,3,2,Vague Rococo hints but heavily blurred and artifacted; poor detail and structure loss.
Impressionism__john-singer-sargent_lake-in-the-tyrol__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,3,"Very washed-out, lacks Ukiyo-e color depth and linearity; structure is preserved but style is too diffuse.",5,5,5,Excellent match to the reference style with strong color fidelity and clear structural definition.,3,4,4,Better than LBM but still lacks the distinct ink-line quality and saturation of the target style.
Rococo__william-hogarth_the-countess-s-morning-levee__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,3,"Very washed-out, low contrast; style is vague and lacks Ukiyo-e characteristics. Structure is preserved but colors are muted and unnatural.",5,5,5,"Excellent Ukiyo-e style transfer with bold outlines, flat color planes, and stylized shading. Structure is perfectly preserved with no artifacts.",3,4,4,Moderate style transfer with some stylization but less distinct than Seedream. Structure is well preserved with minor color bleeding artifacts.
Impressionism__mihaly-munkacsy_dusty-country-road-ii-1883__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,4,2,2,4,"Very soft, washed-out output; minimal structure retained and style is vague — not clearly minimalist but rather blurred abstraction.",5,5,3,"Strong minimalist aesthetic with clean geometry, flat colors, and clear composition; minor artifacts in sky/cloud edges but overall excellent.",2,2,4,"Similar to LBM — overly diffuse, lacks defined structure or stylistic intent; appears as a smudged wash with no clear minimalist form."
Impressionism__pierre-auguste-renoir_still-life-with-apples-and-pomegranates-1901__to__Ukiyo_e,Impressionism,Ukiyo_e,QEdgePattn_e03,QEdgePattn_e03,Seedream_repaired750,Seedream_repaired750,4,3,4,3,Soft pastel washes suggest Ukiyo-e influence but lack defining line work; structure is preserved but edges are blurred; minor smudging artifacts present.,2,5,5,"Excellent structural fidelity and clean output with no visible artifacts; however, style transfer is weak — resembles impressionist painting more than Ukiyo-e, lacking characteristic outlines or flat color zones.",5,4,4,"Strongest Ukiyo-e stylistic cues: bold outlines, flat color planes, and decorative shading; structure well preserved with slight softening at edges; minimal artifacts, very clean rendering."
Ukiyo_e__tsukioka-yoshitoshi_not_detected_242419__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,3,4,3,Moderate Rococo styling with visible texture artifacts and slight structural distortion; lacks refined ornamental detail.,5,5,5,"Excellent Rococo style transfer with clear ornamental framing, preserved structure, and minimal artifacts; best overall result.",4,4,4,Strong style application with good structure retention; minor softening and edge smudging reduce artifact control slightly.
Impressionism__claude-monet_rouen-cathedral-the-portal-at-midday__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very faint, washed-out style; lacks clear Ukiyo-e characteristics. Structure is partially preserved but heavily blurred. Significant artifacts and loss of detail.",5,5,5,"Excellent Ukiyo-e style transfer with bold outlines, flat color regions, and stylized shading. Structure of Notre-Dame is clearly preserved. Minimal artifacts; clean and coherent output.",2,3,2,Similar to LBM — overly diffuse and low-contrast. Faint suggestion of style but no strong Ukiyo-e traits. Structure is visible but degraded. Noticeable noise and smearing artifacts.
Rococo__joshua-reynolds_colonel-george-k-h-coussmaker-grenadier-guards__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Very low style transfer; output resembles a faded version of source with no clear Early Renaissance features. Structure is preserved but overly blurred.,5,5,5,"Excellent match to Early Renaissance style: gold leaf background, stylized figures, and compositional framing. Structure is well-preserved with minimal artifacts.",3,4,3,"Moderate style transfer attempt; some Renaissance-like softness and color palette, but lacks key stylistic markers. Some smudging and edge artifacts present."
Early_Renaissance__sandro-botticelli_trinity(1)__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very washed-out, lacks Ukiyo-e color and line quality; structure is somewhat preserved but blurred; significant color bleeding and loss of detail.",5,5,5,"Excellent Ukiyo-e style transfer with bold outlines, flat color areas, and stylized shading. Structure is perfectly preserved with no artifacts.",3,4,3,"Moderate Ukiyo-e influence with some color flattening, but lacks strong line work. Structure is well-preserved but has slight smudging and softness."
Impressionism__william-merritt-chase_at-the-boat-landing__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,4,3,"Very faint, washed-out style; lacks Ukiyo-e characteristics. Structure preserved but overly blurred.",5,5,5,"Strong Ukiyo-e aesthetic with warm tones, stylized clouds, and clean edges. Excellent balance of style and structure.",3,4,4,Moderate style transfer with some color shift and softness. Structure mostly intact but lacks bold Ukiyo-e features.
Impressionism__william-merritt-chase_at-the-boat-landing__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,2,Excessive sepia vignetting and heavy texture overlay obscure the original content and fail to capture the Renaissance style.,5,5,5,Excellent balance of structure and style. The painting effect is smooth and convincing without introducing distracting artifacts.,3,4,3,"Good structure preservation, but the heavy texture overlay creates a muddy appearance and lacks the clarity of the best output."
Minimalism__bruce-nauman_la-brea-art-tips-rat-spit-tar-pits-1972__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,QEdgePattn_e03,QEdgePattn_e03,4,2,4,3,Minimal style transfer; mostly preserves source with slight color bleed. Structure intact but lacks impressionistic texture or brushwork.,5,3,3,Strong impressionistic rendering with visible brushstroke-like textures and color blending. Some structural distortion in neon sign shape and background.,3,5,5,Excellent structure and artifact control; clean edges and minimal noise. Style is subtle — more like soft focus than true Impressionism.
Impressionism__childe-hassam_september-moonrise__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,"Very faint, washed-out style; lacks Ukiyo-e characteristics. Structure is preserved but overly blurred. Heavy noise and low contrast reduce quality.",5,5,5,Excellent Ukiyo-e color palette and gradient sky. Structure is clean and well-preserved. Minimal artifacts; best overall result.,3,3,2,Some Ukiyo-e color tones present but muted. Structure is somewhat preserved but with visible smudging and edge artifacts. Lower clarity than D.
Early_Renaissance__sandro-botticelli_trinity(1)__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Fails to capture minimalism; output is a washed-out, blurry version of the source with no stylistic reduction or simplification.",5,5,5,Perfectly interprets minimalism through geometric abstraction and bold color blocking while preserving the original composition and figures with clean edges and no artifacts.,2,3,2,"Similar to LBM; produces a hazy, low-contrast result that lacks stylistic intent and introduces visual noise without achieving minimalism."
Early_Renaissance__andrea-mantegna_the-circumcision-of-christ-1464__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Weak Rococo styling; overly muted and washed-out colors. Structure is somewhat preserved but lacks detail. Heavy blurring and smearing introduce artifacts.,5,5,5,"Excellent Rococo style transfer with soft pastels, ornate details, and elegant composition. Source structure is well-preserved with clear figures and architecture. Minimal artifacts; clean and coherent output.",3,4,3,Moderate Rococo influence with some pastel tones and decorative elements. Structure is reasonably preserved but slightly distorted. Noticeable edge artifacts and uneven texture application.
Minimalism__mira-schendel_untitled-1984__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,LBM-Knee_e13,4,2,5,5,Preserves source structure perfectly but applies almost no Rococo style; appears as a blurred orange gradient with minimal ornamental detail.,5,3,3,Strongly captures Rococo aesthetics with ornate floral patterns and gilded frame motifs; structure is somewhat distorted but stylistically faithful.,3,2,2,Shows some Rococo color palette and texture but suffers from heavy blurring and loss of structural definition; artifacts reduce clarity.
Rococo__william-hogarth_the-countess-s-morning-levee__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly blurred and washed-out; loses both style and structural detail. Fails to reflect minimalism or source content clearly.,5,5,5,"Excellent minimalism: bold flat colors, simplified forms, clean edges. Preserves key figures and composition while removing clutter. No artifacts.",2,3,2,"Similar to C — overly diffuse, low contrast, and indistinct. Lacks stylistic intent and structural clarity. Minor artifacts in blending."
Ukiyo_e__utagawa-kuniyoshi_ishiyakushi__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Weak Renaissance style; heavy artifacts and color distortion; structure partially preserved but degraded.,5,5,5,Strong Early Renaissance style transfer; excellent structure preservation; minimal artifacts.,3,4,3,Moderate style transfer; good structure but noticeable artifacts and inconsistent coloring.
Rococo__joseph-wright_mr-and-mrs-thomas-coltman__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,3,4,3,Moderate Rococo feel with soft tones but lacks ornamental detail; structure preserved but edges slightly blurred; minor smudging artifacts.,5,5,5,"Strong Rococo aesthetic with decorative arch frame, pastel palette, and refined brushwork; source structure faithfully retained; no visible artifacts.",4,4,4,Good Rococo styling with muted elegance and soft gradients; structure well maintained; slight vignetting and edge darkening as minor artifacts.
Early_Renaissance__piero-della-francesca_portrait-of-a-boy__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Structure preserved well but style is overly smooth and lacks impressionistic texture; halo artifact around head.,5,5,5,"Excellent impressionistic brushwork, faithful structure retention, no visible artifacts — best overall.",3,4,2,Some impressionistic blur applied but structure is softened excessively; noticeable halo and edge smearing artifacts.
Rococo__thomas-gainsborough_a-coastal-landscape-1782__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed-out; minimalism not clearly expressed, structure lost in haze.",5,5,5,"Clean geometric shapes, flat colors, clear composition — strong minimalism with full structural fidelity and no artifacts.",2,3,2,"Similar to LBM — too diffuse, lacks crisp minimalism, structure partially preserved but obscured by softness."
Early_Renaissance__paolo-uccello_scene-adoration-of-the-three-kings-1440__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very abstract, ghostly figures; minimal Rococo style transfer; heavy smearing and loss of detail.",5,5,5,"Excellent Rococo style match with ornate frame, soft lighting, and period-appropriate composition; source structure preserved clearly; no visible artifacts.",2,3,2,Similar to LBM-Knee_e13; overly abstract and blurry; fails to convey Rococo aesthetics; structural elements are indistinct.
Early_Renaissance__leonardo-da-vinci_studies-of-a-bewalking__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,4,5,Minimal style transfer; retains source sketch with no Ukiyo-e characteristics.,5,5,5,Strong Ukiyo-e style with clean structure and no visible artifacts.,1,4,5,No style transfer applied; identical to source content.
Minimalism__fernando-lanhas_o39-68-1968__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,QEdgePattn_e03,4,2,5,3,Preserves source geometry well but applies minimal Rococo styling; lacks ornamental detail.,5,3,4,Strong Rococo aesthetic with floral motifs and gilded frames; distorts source shape but stylistically rich.,2,5,5,"Excellent structure and clean edges, but nearly identical to source — no meaningful style transfer applied."
Rococo__thomas-gainsborough_john-plampin__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very washed-out, low contrast; Ukiyo-e traits (bold lines, flat color) are nearly absent. Structure is preserved but overly blurred.",5,5,5,"Excellent Ukiyo-e style transfer: strong outlines, stylized coloring, and clear compositional fidelity. Minimal artifacts.",3,4,3,"Moderate Ukiyo-e influence with some line work and color stylization, but softer than Seedream. Some haze and minor smudging in background."
Ukiyo_e__kitagawa-utamaro_the-hour-of-the-horse__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Heavy vignetting and color wash obscure structure; Rococo elements are muted and indistinct.,5,5,5,"Excellent Rococo styling with ornate details, soft pastels, and decorative borders; structure and figures preserved cleanly.",3,3,3,"Moderate Rococo influence with some decorative framing, but overall washed out and lacks clarity in style and structure."
Impressionism__eugene-boudin_laundresses-on-the-banks-of-the-touques-9__to__Impressionism,Impressionism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,3,2,2,"Overly blurred and washed-out; loses figure detail and spatial coherence. Style is vague, not distinctly Impressionist.",5,5,5,"Excellent Impressionist brushwork with clear figure grouping, color harmony, and preserved composition. Minimal artifacts.",4,3,3,Good stylistic texture but figures are indistinct and slightly smeared. Some loss of structural clarity compared to B.
Rococo__benjamin-west_self-portrait-1770__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed-out; minimalism not clearly expressed, structure partially preserved but details lost.",5,5,5,"Strong minimalism with geometric abstraction, excellent structure retention, clean edges, no artifacts.",2,3,2,"Similar to LBM-Knee_e13; lacks clear minimalism, structure is vague, and artifacts from blurring are present."
Early_Renaissance__fra-angelico_saint-cosmas-and-saint-damian-before-lisius-1440__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Poor Rococo styling; heavy vignetting and edge artifacts distort structure.,5,5,5,"Excellent Rococo aesthetic with ornate details, faithful structure, and clean output.",3,4,3,Moderate style transfer; some texture smearing and minor edge artifacts present.
Early_Renaissance__piero-della-francesca_portrait-of-a-boy__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly smooth, plastic-like texture; lacks Renaissance painterly detail and chiaroscuro. Structure preserved but style is generic.",5,5,5,"Excellent match to Early Renaissance style: rich color palette, subtle shading, fabric texture, and atmospheric depth. Structure perfectly preserved with no artifacts.",3,4,3,Moderate style transfer with some Renaissance tones but lacks fine detail and depth. Slight haloing around edges; structure mostly intact.
Ukiyo_e__katsushika-hokusai_cargo-ship-and-wave__to__Impressionism,Ukiyo_e,Impressionism,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,QEdgePattn_e03,4,2,5,3,Preserves wave structure well but lacks impressionist brushwork; appears too linear and monochromatic.,5,4,4,Strong impressionist color palette and soft edges; slight loss of fine line detail but overall stylistic match is excellent.,3,4,5,Clean output with minimal artifacts; moderate impressionist feel but lacks vibrant color and texture variation.
Ukiyo_e__katsushika-hokusai_ono-shindon-in-the-suraga-province__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,QEdgePattn_e03,QEdgePattn_e03,4,2,3,2,Minimal Rococo influence; mostly preserves source structure but lacks stylistic transformation. Some dark vignetting artifacts.,5,4,3,"Strong Rococo aesthetic with ornate borders, soft pastel tones, and painterly texture. Structure largely preserved but slightly softened. Minor border artifacts.",3,5,5,Good structural fidelity and clean output. Some Rococo hints in color palette but lacks ornamental or textural style transfer. Very few artifacts.
Early_Renaissance__filippo-lippi_adoration-of-the-magi-detail-2__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very washed-out, lacks color and brushwork; structure is blurred but recognizable; heavy artifacts and loss of detail.",5,5,5,Excellent Impressionist style with vibrant colors and visible brushstrokes; perfectly preserves original composition and details; no visible artifacts.,2,3,2,"Similar to LBM-Knee_e13 — overly pale, low contrast, poor color fidelity; structure is faintly preserved; noticeable smudging and artifacting."
Minimalism__robert-mangold_untitled-fcpa-1995__to__Ukiyo_e,Minimalism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,4,"Fails to capture Ukiyo-e style; appears as a muted, abstract gradient with no stylistic markers. Structure is preserved but lacks artistic intent.",5,5,5,"Excellent Ukiyo-e emulation: warm paper tone, subtle ink texture, and faithful line work. Preserves source geometry while enhancing it with period-appropriate aesthetics. No visible artifacts.",3,3,3,"Shows some Ukiyo-e influence via soft gradients and muted tones, but structure is blurred and lines are indistinct. Moderate artifact presence due to over-smoothing."
