case_id,src_style,tgt_style,best_overall,best_style_specificity,best_structure,best_artifact_control,confidence_1_to_5,LBM-Knee_e13_style_specificity,LBM-Knee_e13_structure_preservation,LBM-Knee_e13_artifact_control,LBM-Knee_e13_note,LBM-PS-v2_e13_style_specificity,LBM-PS-v2_e13_structure_preservation,LBM-PS-v2_e13_artifact_control,LBM-PS-v2_e13_note,Seedream_repaired750_style_specificity,Seedream_repaired750_structure_preservation,Seedream_repaired750_artifact_control,Seedream_repaired750_note
Early_Renaissance__antonello-da-messina_painter-self-portrait__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Preserves structure but lacks Rococo color and texture; appears as a monochrome sketch with minimal stylistic transfer.,1,1,1,"Severely degraded output; almost entirely obscured by noise and artifacts, no discernible style or structure.",5,5,5,"Excellent Rococo styling with soft pastels, ornate framing, and painterly texture; perfectly preserves source structure with no visible artifacts."
Early_Renaissance__antonello-da-messina_painter-self-portrait__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Preserves structure well but lacks Ukiyo-e color and texture; appears as a monochrome sketch with minimal stylistic adaptation.,1,2,1,"Severely degraded output; almost entirely obscured by noise or blur, losing both style and structure.",5,5,5,"Excellent Ukiyo-e style transfer with appropriate color palette, line work, and texture; structure fully preserved with no visible artifacts."
Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,1,"Severe smearing and loss of detail; style is vague and muddy, not clearly Early Renaissance.",2,3,1,Similar to C but slightly less smeared; still lacks stylistic fidelity and introduces heavy blur artifacts.,5,5,5,"Excellent preservation of source structure with strong Early Renaissance stylistic traits (color palette, brushwork, texture). Minimal artifacts."
Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Weak impressionistic texture; structure partially preserved but overly smoothed; noticeable artifacts and color bleeding.,1,2,1,Almost no impressionist style applied; structure heavily distorted; severe blurring and loss of detail.,5,5,5,Strong impressionist brushwork and color palette; excellent preservation of facial features and crown; minimal artifacts.
Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Fails to apply minimalism; output is a blurry, over-smoothed version of the source with no stylistic coherence or structural clarity.",1,1,1,"Completely fails — output is an indistinct white cloud with no recognizable content, style, or structure.",5,5,5,"Successfully applies minimalism via flat colors, bold outlines, and simplified forms while preserving facial features and crown structure. Clean, artifact-free result."
Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Weak Ukiyo-e style; heavy blur and smudging distort facial features and crown details. Some structure retained but overly softened.,1,2,1,Nearly complete loss of structure and style; image is heavily blurred and indistinct. No clear Ukiyo-e characteristics or recognizable content.,5,5,5,"Excellent Ukiyo-e stylization with clean linework, flat color areas, and decorative patterns matching the target. Structure fully preserved with no artifacts."
Early_Renaissance__benozzo-gozzoli_the-school-of-tagaste-1465-1__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,3,4,3,Moderate Early Renaissance style applied; structure mostly preserved but with noticeable blurring and color wash artifacts.,2,2,1,Poor style transfer; heavy smudging and loss of structural detail; severe artifacts dominate the output.,5,5,5,Excellent Early Renaissance style fidelity; structure perfectly preserved; minimal to no artifacts; cleanest output.
Early_Renaissance__benozzo-gozzoli_the-school-of-tagaste-1465-1__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Faint impressionistic washes applied but lack color vibrancy and brushwork; structure mostly preserved but details blurred.,1,2,1,"Overly smoothed, muddy output with near-total loss of structure and no discernible impressionist texture or color.",5,5,5,"Excellent preservation of original composition with rich, painterly impressionist brushwork and color harmony; minimal artifacts."
Early_Renaissance__benozzo-gozzoli_the-school-of-tagaste-1465-1__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out output with minimal stylistic reduction; structure partially preserved but heavily degraded by noise and low contrast.",1,2,1,Nearly blank canvas; complete loss of structure and style — fails to transfer or preserve any meaningful content.,5,5,5,"Clean, flat-color minimalism applied faithfully; architectural and figure structures fully preserved with no artifacts or distortion."
Early_Renaissance__benozzo-gozzoli_the-school-of-tagaste-1465-1__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Faint Rococo-like washes but overly desaturated and blurry; structure partially preserved but edges degraded; significant smudging and loss of detail.,1,2,1,Almost entirely obscured by heavy blur and brownish noise; no discernible Rococo style or structural fidelity; severe artifacts.,5,5,5,"Excellent preservation of original composition and figures; clear Rococo-inspired color palette (soft pastels, ornate framing); minimal artifacts; clean edges and rich detail."
Early_Renaissance__benozzo-gozzoli_the-school-of-tagaste-1465-1__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,"Preserves structure well but applies a very faint, washed-out style with minimal Ukiyo-e characteristics. Lacks bold lines or color blocking typical of the target style.",1,2,1,Severe artifacts and loss of structure. The output is largely indistinct and fails to convey either the source content or the target style effectively.,5,5,5,"Excellent preservation of source structure and strong application of Ukiyo-e style traits (bold outlines, flat color areas, decorative patterns). No visible artifacts."
Early_Renaissance__andrea-mantegna_adoration-of-the-magi-central-panel-from-the-altarpiece__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,"Faint Ukiyo-e color washes and line hints, but structure is blurred and style is weakly applied.",1,2,2,"Overly smoothed, almost monochromatic; loses both style and structural detail.",5,5,5,"Strong Ukiyo-e aesthetic with clear linework, flat color planes, and faithful preservation of source composition and figures."
Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,"Preserves structure well but lacks color and stylistic depth; appears washed out and monochromatic, failing to capture Early Renaissance richness.",3,3,2,"Shows some color and texture but is overly blurred and muddy; structure is distorted and artifacts are prominent, reducing fidelity to both source and target.",5,5,5,"Excellent match to Early Renaissance style with rich colors, detailed textures, and clear architectural elements. Structure is faithfully preserved with minimal artifacts."
Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low style transfer; image appears washed out and lacks Rococo characteristics. Structure is somewhat preserved but details are lost. High noise/artifacts.,2,2,1,"Fails to apply style; appears as a blurry, low-contrast version of the source. Structure is heavily degraded. Significant artifacts and loss of detail.",5,5,5,"Excellent Rococo style transfer with appropriate color palette, lighting, and ornate details. Source structure is perfectly preserved. Clean output with no visible artifacts."
Early_Renaissance__antonello-da-messina_painter-self-portrait__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Preserves structure well but lacks Renaissance color and texture; appears as a faded sketch with minimal stylistic transfer.,1,2,1,"Severely degraded output; structure is lost, no discernible style, heavy artifacts and blurring dominate.",5,5,5,"Excellent match to Early Renaissance style: rich colors, chiaroscuro, realistic drapery, and preserved ornate frame structure with no visible artifacts."
Early_Renaissance__benozzo-gozzoli_madonna-and-child-1485__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Weak Ukiyo-e style; muted colors and lack of bold outlines. Structure preserved but details blurred. Artifacts from over-smoothing.,1,2,1,Almost no Ukiyo-e characteristics. Severe structural distortion and heavy artifacts. Fails both style and content fidelity.,5,5,5,"Excellent Ukiyo-e style transfer with bold outlines, flat color planes, and decorative patterns. Perfect structure preservation and minimal artifacts."
Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Heavy smearing and loss of facial detail; Rococo elements barely perceptible; significant artifacts in beard and crown.,1,2,1,Extremely blurred and indistinct; almost no recognizable structure or style; severe artifacting throughout.,5,5,5,Excellent preservation of source structure; strong Rococo styling with ornate frame and soft pastel tones; minimal artifacts.
Early_Renaissance__carlo-crivelli_piet-1__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Weak Renaissance style; overly smooth and painterly with loss of detail; moderate structure but heavy artifacts and color bleeding.,2,2,1,Very blurry and indistinct; almost no recognizable structure or style fidelity; severe artifacts and smearing throughout.,5,5,5,"Excellent Early Renaissance style match with accurate palette, brushwork texture, and composition; perfect structural alignment with source; minimal to no artifacts."
Early_Renaissance__carlo-crivelli_piet-1__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,Seedream_repaired750,4,2,5,3,Preserves source structure well but applies minimal Rococo styling; appears washed out and lacks ornamental detail.,2,3,2,Very blurry and indistinct; fails to convey Rococo style or preserve meaningful structure; heavy artifacts.,5,4,5,"Strong Rococo aesthetic with ornate frames, pastel tones, and decorative elements; structure is adapted appropriately with minimal artifacts."
Early_Renaissance__carlo-crivelli_piet-1__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint Ukiyo-e color washes and some linearity, but structure is blurred and style is weakly applied.",1,2,1,Extremely blurry and washed out; nearly no recognizable style or structure remains.,5,5,5,"Excellent Ukiyo-e style transfer with clear linework, flat color regions, and faithful preservation of source composition and figures."
Early_Renaissance__fra-angelico_bosco-ai-frati-altarpiece__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Preserves structure well but style is muted and lacks Early Renaissance richness; some color bleeding and softness.,1,2,1,"Severe artifacts, loss of structure, and no coherent style transfer; appears as a blurred, degraded version of source.",5,5,5,"Excellent preservation of source structure, strong Early Renaissance stylistic fidelity (color palette, brushwork, composition), minimal artifacts."
Early_Renaissance__fra-angelico_bosco-ai-frati-altarpiece__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,3,4,3,Moderate impressionistic brushwork applied; structure mostly preserved but with slight blurring and color washes. Some artifacts in background blending.,2,2,1,Heavy over-application of style causing severe loss of structure and excessive smudging. Poor artifact control with large blurred regions obscuring content.,5,5,5,Excellent impressionistic texture while fully preserving original composition and figures. Clean output with no visible artifacts or structural distortion.
Early_Renaissance__fra-angelico_bosco-ai-frati-altarpiece__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out output with minimal stylistic abstraction; structure is partially preserved but heavily blurred and low-contrast.",1,2,1,Overly smoothed and indistinct; nearly loses all structural detail and fails to convey any coherent style or content.,5,5,5,"Clean, stylized interpretation with bold flat colors and simplified forms; perfectly preserves original composition and figures while applying a clear minimalist aesthetic."
Early_Renaissance__fra-angelico_bosco-ai-frati-altarpiece__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Weak Rococo styling; structure partially preserved but washed out; heavy artifacts and loss of detail.,1,2,1,Almost no Rococo style transfer; structure severely degraded; extreme blurring and smearing artifacts.,5,5,5,Excellent Rococo style integration with ornate framing and soft pastel tones; structure fully preserved; clean output with minimal artifacts.
Early_Renaissance__fra-angelico_bosco-ai-frati-altarpiece__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,"Preserves structure well but applies a very faint, washed-out style with minimal Ukiyo-e characteristics. Lacks bold lines or color blocking typical of the target style.",1,2,1,Extremely blurry and indistinct. Fails to preserve structure or apply any recognizable style. Dominated by heavy artifacts and noise.,5,5,5,"Excellent preservation of source structure. Successfully applies Ukiyo-e style through stylized line work, flat color regions, and decorative patterns while maintaining clarity and minimal artifacts."
Early_Renaissance__fra-angelico_saint-cosmas-and-saint-damian-before-lisius-1440__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,3,4,3,Moderate Ukiyo-e influence with soft edges and muted colors; structure mostly preserved but lacks bold linework or flat color blocks typical of Ukiyo-e; some smudging artifacts present.,2,2,1,"Very weak style transfer; image is heavily blurred and washed out, losing both stylistic intent and structural detail; significant artifacts and loss of fidelity.",5,5,5,"Excellent Ukiyo-e styling with bold outlines, flat color regions, and decorative patterns matching the reference; structure fully preserved; no visible artifacts or distortions."
Early_Renaissance__leonardo-da-vinci_studies-of-a-bewalking__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,Seedream_repaired750,4,2,5,3,Preserves source structure well but lacks Renaissance style; appears as a faded sketch with minimal stylistic transfer.,1,2,1,Extremely blurry and indistinct; fails to preserve structure or convey any recognizable style.,5,4,5,"Strong Early Renaissance aesthetic with chiaroscuro, rich tones, and painterly texture; retains bear’s form with minor stylization."
Early_Renaissance__leonardo-da-vinci_studies-of-a-bewalking__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,Seedream_repaired750,4,2,5,4,Preserves source structure well but lacks Ukiyo-e style; appears as a faded sketch with no color or stylistic elements.,1,2,2,Heavily blurred and indistinct; fails to preserve structure or apply any recognizable Ukiyo-e style.,5,4,5,"Strong Ukiyo-e aesthetic with bold outlines, flat colors, and stylized background; retains bear’s form clearly with minimal artifacts."
Early_Renaissance__leonardo-da-vinci_study-of-the-effect-of-light-on-a-profile-head-facsimile__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Preserves source structure well but fails to apply Renaissance style; output remains nearly identical to source with no stylistic transformation.,1,1,1,"Completely loses source content and style; appears as a blurred, indistinct texture with no recognizable structure or stylistic fidelity.",5,5,5,"Excellent preservation of source structure while successfully applying Early Renaissance style (warm tones, painterly texture, aged parchment look). No visible artifacts; clean integration of style and content."
Early_Renaissance__leonardo-da-vinci_study-of-the-effect-of-light-on-a-profile-head-facsimile__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,4,3,Preserves source structure well but fails to apply any impressionist style; output is nearly identical to source with minor noise.,2,2,1,Attempts style transfer but results in heavy blurring and loss of all structural detail; impressionist texture is vague and indistinct.,5,5,5,"Excellent impressionist rendering with visible brushwork and color blending; perfectly preserves the original sketch’s lines, text, and composition without artifacts."
Early_Renaissance__leonardo-da-vinci_study-of-the-effect-of-light-on-a-profile-head-facsimile__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Output is extremely faint and washed out, losing most of the source content. Minimalist style is not clearly applied, just a lack of detail.",1,1,1,The output is almost entirely blank/white. No structure or style is preserved or applied. Complete failure.,5,5,5,"Excellent preservation of the source structure (Da Vinci sketch). The style is successfully applied by replacing the background with a clean, minimal off-white tone and simplifying the drawing into a clean line-art style, removing the cluttered text and complex shading while keeping the core geometric and anatomical elements."
Early_Renaissance__leonardo-da-vinci_study-of-the-effect-of-light-on-a-profile-head-facsimile__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,"Preserves source structure well but applies minimal Rococo styling; appears mostly as a faded, aged document with no ornamental elements.",1,2,1,"Severely degrades structure and lacks any discernible Rococo style; output is a blurry, indistinct texture with no coherent content.",5,5,5,Perfectly preserves the source diagram’s structure while elegantly integrating Rococo-style ornamental borders and decorative flourishes without artifacts.
Early_Renaissance__leonardo-da-vinci_study-of-the-effect-of-light-on-a-profile-head-facsimile__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Preserves source structure well but lacks Ukiyo-e stylistic traits; appears as a faded sketch with minimal color or texture.,1,1,1,Completely fails to preserve structure or apply style; output is an indistinct blurry patch with no discernible content.,5,5,5,"Excellent match to Ukiyo-e style with appropriate color palette, line work, and texture; perfectly preserves source composition and text layout with no visible artifacts."
Early_Renaissance__paolo-uccello_scene-adoration-of-the-three-kings-1440__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Mild Early Renaissance color palette but lacks architectural and compositional fidelity; heavy smearing and loss of figure detail.,,2,1,Severe structural collapse and motion-blur artifacts; style is indistinct and overly abstracted.,5,5,5,"Excellent match to Early Renaissance style: accurate palette, chiaroscuro, and compositional framing; source content perfectly preserved with no visible artifacts."
Early_Renaissance__paolo-uccello_scene-adoration-of-the-three-kings-1440__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Weak impressionist texture; figures are blurred and indistinct, losing key structural details. Heavy smudging and color bleeding reduce clarity.",1,1,1,"Severely degraded output — nearly monochromatic, no discernible structure or style. Appears as a failed or corrupted generation.",5,5,5,"Excellent impressionist brushwork with vibrant, blended colors. Source composition and figures are clearly preserved. No visible artifacts or distortions."
Early_Renaissance__paolo-uccello_scene-adoration-of-the-three-kings-1440__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,2,1,"Severely degraded; appears as a washed-out, abstract smear with no discernible style or structure.",1,2,1,Extremely blurry and indistinct; fails to convey minimalism or preserve source content.,5,5,5,"Perfectly captures minimalism through bold flat colors, clean geometry, and simplified forms while preserving the narrative structure of the source."
Early_Renaissance__paolo-uccello_scene-adoration-of-the-three-kings-1440__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Weak Rococo style; heavy vertical smearing and color bleeding distort structure; artifacts dominate.,2,2,1,Very low style fidelity; severe blurring and loss of all structural detail; extreme artifacts.,5,5,5,Excellent Rococo style match with ornate frame and soft palette; source composition fully preserved; no visible artifacts.
Early_Renaissance__paolo-uccello_scene-adoration-of-the-three-kings-1440__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out Ukiyo-e aesthetic; lacks bold lines and color saturation. Structure is partially preserved but blurred. Significant artifacts from over-smoothing.",1,2,1,Almost entirely abstracted into grayish texture. No discernible Ukiyo-e style or structure. Heavy artifacts and loss of all content detail.,5,5,5,"Excellent Ukiyo_e style transfer: bold outlines, flat color blocks, traditional composition within oval frame. Source structure fully preserved with no visible artifacts."
Early_Renaissance__sandro-botticelli_trinity(1)__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,3,4,3,Moderate Early Renaissance style with muted tones; structure mostly preserved but lacks color vibrancy and detail clarity.,2,2,1,Poor style transfer — overly blurred and muddy; significant structural distortion and heavy artifacts.,5,5,5,"Excellent match to Early Renaissance style: rich colors, clear figures, faithful composition, minimal artifacts."
Early_Renaissance__sandro-botticelli_trinity(1)__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Faint impressionistic washes applied but lack color vibrancy and brushwork clarity; structure is partially preserved but overly faded.,1,1,1,Severely degraded output; almost entirely obscured by noise or blur; no discernible style or structure retained.,5,5,5,"Excellent impressionist rendering with visible brushstroke texture, rich color palette, and full preservation of original composition and figures."
Early_Renaissance__sandro-botticelli_trinity(1)__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out output with minimal stylistic alignment to minimalism; structure is partially preserved but heavily degraded by noise and low contrast.",1,2,1,Extremely blurry and indistinct; fails to convey any recognizable style or structure; severe artifacts and loss of detail.,5,5,5,"Clean, stylized interpretation with bold flat colors and simplified forms that align well with minimalism; source structure clearly preserved without artifacts."
Early_Renaissance__sandro-botticelli_trinity(1)__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Weak Rococo styling; structure partially preserved but colors and textures are muddy and indistinct.,1,1,1,Severe structural collapse and heavy artifacts; no discernible Rococo style or coherent content.,5,5,5,"Excellent Rococo style transfer with ornate framing, soft pastel tones, and elegant curves; source structure perfectly preserved with minimal artifacts."
Impressionism__alfred-sisley_riverbank-at-veneux-1881__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low style fidelity; heavy texture artifacts obscure content; structure partially preserved but degraded by noise.,1,2,1,Almost no recognizable style transfer; severe blurring and loss of structure; overwhelming artifacts.,5,5,5,Excellent Early Renaissance style match with appropriate color palette and brushwork; source structure fully preserved; minimal to no artifacts.
Impressionism__alfred-sisley_riverbank-at-veneux-1881__to__Impressionism,Impressionism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,3,4,3,"Moderate impressionistic texture applied; structure mostly preserved but with noticeable smudging and color bleeding, especially in sky and water areas.",2,3,2,Weak style transfer; heavy blur and loss of detail; structure significantly degraded with large artifacts obscuring trees and water.,5,5,5,Excellent impressionistic brushwork and color harmony; structure fully preserved with clean edges and no visible artifacts; best overall result.
Impressionism__alfred-sisley_riverbank-at-veneux-1881__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out texture; minimal stylistic fidelity to minimalism; structure partially preserved but blurred.",1,2,1,"Overly abstracted, near-monochrome; loses both style and structure; heavy artifacts and loss of detail.",5,5,5,"Clean geometric forms, bold flat colors, strong compositional clarity — excellent minimalism adherence with full structural integrity and no visible artifacts."
Impressionism__alfred-sisley_riverbank-at-veneux-1881__to__Rococo,Impressionism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Heavy vignetting and dark borders obscure content; style is vague and muddy, not clearly Rococo.",2,2,1,"Extremely blurry and indistinct; structure is lost, style is unrecognizable, and artifacts dominate.",5,5,5,Excellent Rococo framing and ornate border; source structure preserved perfectly; no visible artifacts.
Impressionism__alfred-sisley_riverbank-at-veneux-1881__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very faint, washed-out style transfer; lacks Ukiyo-e color and line quality. Structure is somewhat preserved but overly blurred.",1,2,1,Extremely blurry and indistinct; almost no recognizable structure or style. Heavy artifacts and loss of detail.,5,5,5,"Excellent Ukiyo-e style application with bold colors, clear lines, and stylized forms. Structure fully preserved. No visible artifacts."
Impressionism__alfred-sisley_the-banks-of-the-oise-1878__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out style; structure partially preserved but lacks clarity; artifacts from over-smoothing and color bleed.",1,2,1,Severely degraded output; almost no recognizable structure or style; heavy blurring and loss of detail.,5,5,5,"Excellent preservation of source structure with strong Early Renaissance stylistic traits (soft modeling, atmospheric perspective, muted palette); minimal artifacts."
Impressionism__alfred-sisley_the-banks-of-the-oise-1878__to__Impressionism,Impressionism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,3,4,3,Moderate impressionistic brushwork but lacks color vibrancy and texture fidelity; structure mostly preserved but slightly washed out.,2,2,1,"Poor style transfer — overly blurred, muddy tones, significant loss of detail and structure; heavy artifacts dominate.",5,5,5,Excellent impressionist style with rich brushstrokes and color harmony; source structure fully preserved; no visible artifacts.
Impressionism__alfred-sisley_the-banks-of-the-oise-1878__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out output with minimal stylistic fidelity to minimalism; structure is partially preserved but overly blurred and low-contrast.",1,2,1,Extremely degraded output — nearly monochrome and indistinct; fails to convey either source content or target style; heavy artifacts and loss of detail.,5,5,5,"Clean, bold geometric shapes and flat color blocks perfectly embody minimalism while preserving the original scene’s composition and key elements without distortion or noise."
Impressionism__alfred-sisley_the-banks-of-the-oise-1878__to__Rococo,Impressionism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Weak Rococo style transfer; heavy dark vignette and texture artifacts obscure content. Structure partially preserved but visually degraded.,1,2,1,Almost no recognizable structure or style; overly blurred and muddy with severe artifacting. Fails both style and content fidelity.,5,5,5,Excellent Rococo aesthetic with ornate frame and soft painterly tones. Source landscape structure fully preserved with minimal artifacts. Best overall result.
Impressionism__alfred-sisley_the-banks-of-the-oise-1878__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,"Faint, washed-out style; lacks Ukiyo-e linearity and color contrast. Structure mostly preserved but overly blurred.",1,2,1,Severely degraded output — almost entirely abstract smudges. No recognizable structure or style transfer.,5,5,5,"Strong Ukiyo-e aesthetic: bold outlines, flat color blocks, stylized clouds and trees. Faithful to source composition with minimal artifacts."
Impressionism__eugene-boudin_laundresses-on-the-banks-of-the-touques-9__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly washed-out and desaturated; lacks Renaissance color richness and detail. Structure is preserved but figures are indistinct due to excessive blur.,1,2,1,Extremely blurry and muddy; almost no recognizable structure or style. Appears as a smudged version of the source with no Renaissance characteristics.,5,5,5,"Excellent preservation of source structure and composition. Style successfully mimics Early Renaissance with appropriate color palette, texture, and atmospheric depth. No visible artifacts."
