case_id,src_style,tgt_style,best_overall,best_style_specificity,best_structure,best_artifact_control,confidence_1_to_5,LBM-PS-v2_e13_style_specificity,LBM-PS-v2_e13_structure_preservation,LBM-PS-v2_e13_artifact_control,LBM-PS-v2_e13_note,Seedream_repaired750_style_specificity,Seedream_repaired750_structure_preservation,Seedream_repaired750_artifact_control,Seedream_repaired750_note,SaMST_e15_style_specificity,SaMST_e15_structure_preservation,SaMST_e15_artifact_control,SaMST_e15_note,SaMAM_2250_style_specificity,SaMAM_2250_structure_preservation,SaMAM_2250_artifact_control,SaMAM_2250_note
Impressionism__eugene-boudin_laundresses-on-the-banks-of-the-touques-9__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,"Overly blurred, loses all structure and style intent; appears as noise rather than minimalism.",5,5,5,Clean geometric abstraction with flat colors and simplified forms; preserves scene layout while enforcing minimalism effectively.,3,3,3,Textured overlay introduces noise; partially retains structure but style is inconsistent and grainy.,2,4,3,"Retains source structure well but fails to apply minimalism — remains painterly and detailed, not abstracted."
Impressionism__eugene-boudin_laundresses-on-the-banks-of-the-touques-9__to__Rococo,Impressionism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,2,1,Overly abstracted; loses both Rococo elegance and source structure.,5,5,5,"Excellent Rococo softness, color, and framing while preserving source composition cleanly.",3,4,3,Moderate Rococo feel with some texture artifacts; structure mostly intact.,2,4,3,Closer to source style than Rococo; minor smudging and color shifts.
Impressionism__eugene-boudin_laundresses-on-the-banks-of-the-touques-9__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,1,1,1,Completely lost both style and structure; appears as a blurred noise patch.,5,5,5,Excellent Ukiyo-e style with clear compositional structure and no visible artifacts.,3,4,4,Moderate style transfer; structure is mostly preserved but lacks strong Ukiyo-e characteristics.,3,4,4,Similar to E; some stylistic elements present but not distinctly Ukiyo-e; minor artifacts in texture.
Impressionism__eugene-boudin_the-port-ships-at-dock__to__Early_Renaissance,Impressionism,Early_Renaissance,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,4,2,3,2,Overly blurred and washed out; loses structural clarity and stylistic detail.,3,4,3,Moderate style transfer with decent structure but muted colors and slight smudging.,4,3,3,Strong stylistic flair with some color distortion and minor structural warping.,5,5,5,"Excellent Early Renaissance style integration, crisp structure, minimal artifacts."
Impressionism__eugene-boudin_the-port-ships-at-dock__to__Impressionism,Impressionism,Impressionism,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,5,2,3,2,Overly blurred and washed out; lacks Impressionist brushwork and color vibrancy.,4,4,4,Good Impressionist feel with visible brushstrokes and color harmony; minor softness in details.,3,3,2,Color blocks are too saturated and unnatural; structure distorted by heavy stylization.,5,5,5,"Excellent Impressionist rendering: loose brushwork, natural color palette, preserved structure, no artifacts."
Impressionism__eugene-boudin_the-port-ships-at-dock__to__Minimalism,Impressionism,Minimalism,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,4,2,1,1,"Overly blurred, loses all structure and style intent; appears as noise.",3,4,3,Retains structure but applies cartoonish style; not minimalistic.,4,3,3,Sketchy texture aligns with minimalism but introduces artifacts and reduces clarity.,5,5,5,"Clean, restrained palette and simplified forms preserve structure while achieving minimalism."
Impressionism__eugene-boudin_the-port-ships-at-dock__to__Rococo,Impressionism,Rococo,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,4,2,3,2,Overly blurred and muddy; loses Rococo elegance and structural clarity.,3,4,3,Soft pastel tones evoke Rococo but introduce unnatural vignette and softening artifacts.,2,2,1,Heavy distortion and color bleeding; structure and style both degraded.,5,5,5,Faithful Rococo palette and brushwork; preserves ship/mast structure cleanly with minimal artifacts.
Impressionism__eugene-boudin_the-port-ships-at-dock__to__Ukiyo_e,Impressionism,Ukiyo_e,SaMAM_2250,SaMAM_2250,Seedream_repaired750,SaMAM_2250,4,2,3,2,Overly blurred and abstract; loses both style and structure.,3,5,4,Strong structural fidelity with moderate Ukiyo-e stylization; clean output.,4,4,3,Good style application but slight smudging and loss of fine detail.,5,4,5,"Best balance: strong Ukiyo-e aesthetic, preserved structure, minimal artifacts."
Impressionism__eugene-boudin_trouville-the-fish-market-1884__to__Early_Renaissance,Impressionism,Early_Renaissance,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,4,2,3,2,Overly blurred and abstract; loses architectural detail and stylistic coherence with Early Renaissance.,3,4,3,Moderate stylistic adaptation; retains structure but lacks refined Renaissance texture and color harmony.,4,4,4,Good balance of style and structure; slight over-saturation and minor smudging in sky areas.,5,5,5,"Excellent preservation of original composition with strong Early Renaissance stylistic cues: muted palette, textured brushwork, and period-appropriate lighting."
Impressionism__eugene-boudin_trouville-the-fish-market-1884__to__Impressionism,Impressionism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,"Overly blurred, lacks Impressionist brushwork and color; structure nearly lost.",5,5,5,Strong Impressionist palette and visible brushstrokes; preserves scene structure cleanly.,4,4,3,Good color and texture but slight over-saturation and minor halo artifacts near edges.,3,4,4,Moderate Impressionist feel; some smudging and loss of fine detail in figures.
Impressionism__eugene-boudin_trouville-the-fish-market-1884__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,"Overly blurred, loses all structure and style intent; appears as noise rather than minimalism.",5,5,5,Clean geometric abstraction with sharp lines and flat color blocks; preserves source composition while applying minimalism effectively.,3,2,3,Textured grid overlay partially conveys minimalism but distorts structure and introduces visual noise.,1,2,2,"Nearly identical to source; fails to apply minimalism, retains original complexity and artifacts."
Impressionism__eugene-boudin_trouville-the-fish-market-1884__to__Rococo,Impressionism,Rococo,Seedream_repaired750,Seedream_repaired750,SaMAM_2250,SaMAM_2250,4,2,2,2,Highly abstracted; loses both Rococo elegance and source structure.,5,3,3,Strong Rococo framing and pastel palette; structure softened but recognizable.,3,4,4,Moderate Rococo tinting; preserves layout well with minor smearing.,3,5,5,Best structural fidelity and cleanest output; style influence is subtle.
Impressionism__eugene-boudin_trouville-the-fish-market-1884__to__Ukiyo_e,Impressionism,Ukiyo_e,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,4,1,2,1,"Overly blurred, lacks Ukiyo-e characteristics; structure and style both poorly preserved.",3,4,3,Moderate Ukiyo-e feel with soft edges and muted tones; structure mostly intact but some color bleeding.,4,4,3,Strong Ukiyo-e influence in brushwork and palette; minor smudging but overall coherent.,5,5,4,"Excellent Ukiyo-e style with bold outlines, flat color areas, and stylized forms; structure well preserved with minimal artifacts."
Impressionism__henri-matisse_brittany-also-known-as-boat-1896__to__Early_Renaissance,Impressionism,Early_Renaissance,SaMAM_2250,SaMAM_2250,Seedream_repaired750,SaMAM_2250,4,2,3,2,Overly blurred and washed out; loses both style and structural detail.,3,5,4,Preserves structure well but lacks strong Early Renaissance stylistic cues.,4,3,3,"Strong color and brushwork reminiscent of Renaissance palette, but some structural distortion and artifacts.",5,4,5,"Best balance: clear Early Renaissance texture and color, good structure retention, minimal artifacts."
Impressionism__henri-matisse_brittany-also-known-as-boat-1896__to__Impressionism,Impressionism,Impressionism,Seedream_repaired750,Seedream_repaired750,SaMAM_2250,SaMAM_2250,4,2,1,1,Extremely blurry and washed out; lacks Impressionist brushwork and color vibrancy; structure nearly lost.,5,4,4,Strong Impressionist palette and visible brushstrokes; retains scene structure well with minor color bleeding.,4,3,3,Good color and texture but slightly over-saturated; some structural softening and edge smearing.,4,5,5,Excellent structural fidelity and clean rendering; Impressionist style present but slightly subdued compared to D.
Impressionism__henri-matisse_brittany-also-known-as-boat-1896__to__Minimalism,Impressionism,Minimalism,LBM-PS-v2_e13,LBM-PS-v2_e13,Seedream_repaired750,LBM-PS-v2_e13,4,5,3,5,"Highly abstracted, near-monochrome wash; minimalism achieved but structure heavily blurred.",2,5,4,Strong geometric abstraction and clean lines; style is stylized rather than minimalist; structure well preserved.,3,4,3,Sketchy linear texture adds noise; partial minimalism with moderate structure retention.,2,4,3,Close to source with slight simplification; lacks strong minimalist abstraction; some artifacts remain.
Impressionism__henri-matisse_brittany-also-known-as-boat-1896__to__Rococo,Impressionism,Rococo,Seedream_repaired750,Seedream_repaired750,SaMAM_2250,SaMAM_2250,4,2,3,2,Extremely blurry and abstract; loses both Rococo elegance and source structure. Heavy artifacts and low fidelity.,5,4,3,Strong Rococo framing and ornamental details; preserves key compositional elements of source with minor softening. Slight over-stylization but highly distinctive.,3,3,3,Moderate Rococo influence via color and brushwork; structure is recognizable but slightly distorted. Some smudging and loss of fine detail.,3,5,5,"Excellent preservation of source structure and minimal artifacts. Style is subtle — more impressionistic than distinctly Rococo, lacking ornamental framing or pastel elegance."
Impressionism__henri-matisse_brittany-also-known-as-boat-1896__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,1,2,1,Extremely blurry and lacks any Ukiyo-e characteristics; structure is nearly lost.,5,5,5,"Excellent Ukiyo-e style with clear woodblock lines, flat color planes, and strong composition matching the source.",3,4,3,"Some Ukiyo-e influence in color and line, but overly textured and noisy; structure partially preserved.",2,3,2,"Dark, muddy tones with minimal Ukiyo-e traits; structure is distorted and artifacts are prominent."
Impressionism__john-singer-sargent_lake-in-the-tyrol__to__Early_Renaissance,Impressionism,Early_Renaissance,SaMAM_2250,SaMAM_2250,Seedream_repaired750,SaMAM_2250,4,2,3,2,Overly blurred and abstract; loses landscape structure and fails to convey Early Renaissance style.,3,5,4,Preserves source structure well; moderate stylistic influence with minimal artifacts but lacks strong Renaissance traits.,4,3,3,Strong color and texture hints of Renaissance style; some structural distortion and minor artifacts in foliage.,5,4,5,"Best balance: clear Early Renaissance palette and brushwork, retains key structures, clean output with no visible artifacts."
Impressionism__john-singer-sargent_lake-in-the-tyrol__to__Impressionism,Impressionism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,Extremely blurry and abstract; loses all structural detail and fails to convey Impressionist brushwork or color.,5,5,5,"Strong Impressionist style with visible brushstrokes, vibrant colors, and clear preservation of landscape structure and composition.",4,4,3,Good Impressionist feel but slightly over-saturated and some color bleeding into sky; structure mostly preserved.,4,5,4,Solid Impressionist rendering with good structure; slightly less dynamic color variation than D but very clean output.
Impressionism__john-singer-sargent_lake-in-the-tyrol__to__Minimalism,Impressionism,Minimalism,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,4,2,3,4,"Overly blurred, loses landscape structure; minimal texture but lacks intentional minimalism.",3,4,3,Geometric abstraction introduces non-minimalist stylization; preserves structure but adds artifacts.,2,2,2,Textured overlay obscures content; poor structure retention and high visual noise.,5,5,5,"Clean, muted palette with simplified forms; retains source composition while achieving true minimalism."
Impressionism__john-singer-sargent_lake-in-the-tyrol__to__Rococo,Impressionism,Rococo,SaMAM_2250,SaMAM_2250,LBM-PS-v2_e13,SaMAM_2250,4,2,5,3,Preserves source structure well but lacks Rococo stylistic elements; appears as a blurred or degraded version of the source.,3,4,3,"Shows some Rococo softness and color palette, but structure is slightly distorted with visible blending artifacts.",4,3,2,"Strong Rococo influence in texture and tone, but structure is overly softened and contains noticeable smudging artifacts.",5,4,5,"Best balance: clear Rococo aesthetic (soft edges, warm tones, ornamental feel), preserves key structural elements, and minimal artifacts."
Impressionism__john-singer-sargent_lake-in-the-tyrol__to__Ukiyo_e,Impressionism,Ukiyo_e,SaMAM_2250,SaMAM_2250,Seedream_repaired750,SaMAM_2250,4,1,2,1,Extremely blurry and abstract; no discernible Ukiyo-e style or structure.,3,5,4,Good structural fidelity; moderate Ukiyo-e stylization with clean edges and color blocking.,4,4,3,Strong Ukiyo-e influence in color and texture; slight loss of fine detail in foreground rocks.,5,4,5,"Best balance: clear Ukiyo-e aesthetic (flat colors, bold outlines, stylized trees), preserves source structure well, minimal artifacts."
Impressionism__konstantin-korovin_arctic-ocean-1913__to__Early_Renaissance,Impressionism,Early_Renaissance,SaMAM_2250,SaMAM_2250,Seedream_repaired750,Seedream_repaired750,4,2,2,1,Overly blurred and abstract; loses both style and structure.,3,5,5,Cleanest output; preserves structure well with mild Renaissance texture.,4,3,3,Strong stylistic rendering but introduces some structural distortion and noise.,5,4,4,Best balance: strong Early Renaissance painterly style with good structure and minimal artifacts.
Impressionism__konstantin-korovin_arctic-ocean-1913__to__Impressionism,Impressionism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,"Overly blurred, loses all structure and style detail; appears as noise.",5,4,5,"Strong Impressionist brushwork, preserves scene structure well, minimal artifacts.",4,3,4,Good style but slightly over-saturated; minor structural softening.,3,3,3,Moderate style transfer with visible grain; structure partially preserved.
Impressionism__konstantin-korovin_arctic-ocean-1913__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,LBM-PS-v2_e13,LBM-PS-v2_e13,4,2,5,5,Preserves source structure perfectly but lacks minimalism; appears as a blurred or abstracted version rather than stylized.,5,3,4,Strongly embodies minimalism with flat colors and simplified forms; structure is recognizable but abstracted; minor artifacts in color blending.,3,2,2,Minimalist intent visible but overwhelmed by textural noise and grid artifacts; structure is obscured; poor artifact control.,1,4,3,Closest to source image; minimalism not applied; retains original texture and detail; low stylistic transformation.
Impressionism__konstantin-korovin_arctic-ocean-1913__to__Rococo,Impressionism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,2,1,Overly blurred and abstract; loses both Rococo elegance and source structure.,5,5,5,Excellent Rococo framing and soft palette; preserves source composition cleanly with no artifacts.,3,3,2,Some Rococo color tones but heavy texture and distortion degrade structure and introduce noise.,3,4,3,Moderate Rococo warmth and glow; structure mostly preserved but with grainy artifacts and muted style.
Impressionism__konstantin-korovin_arctic-ocean-1913__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,Extremely blurry and lacks any Ukiyo-e characteristics; structure is lost.,5,5,5,"Excellent Ukiyo-e style with clear wave forms, color gradients, and preserved structure; minimal artifacts.",4,4,3,Good Ukiyo-e texture and color but slightly noisy and less defined structure than D.,4,3,3,"Strong Ukiyo-e aesthetic with sun and waves, but structure is somewhat distorted and artifacts present."
Impressionism__mihaly-munkacsy_dusty-country-road-ii-1883__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,4,Overly blurred and washed-out; lacks Renaissance texture and detail.,5,5,5,"Excellent match to Early Renaissance palette, brushwork, and composition with minimal artifacts.",3,4,3,Moderate style transfer; some color bleeding and loss of fine structure.,4,4,4,Good stylistic fidelity but slightly over-saturated and less refined than D.
Impressionism__mihaly-munkacsy_dusty-country-road-ii-1883__to__Impressionism,Impressionism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,2,"Overly blurred, lacks brushwork detail and color richness of Impressionism; structure nearly lost.",5,4,5,"Strong Impressionist brushstrokes, vibrant palette, retains source composition with minimal artifacts.",4,3,3,Vivid colors and loose strokes but slightly over-saturated; some structural distortion in foreground.,4,4,4,"Good Impressionist texture and mood, but slightly muddy tones and minor haloing around edges."
Impressionism__mihaly-munkacsy_dusty-country-road-ii-1883__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,LBM-PS-v2_e13,LBM-PS-v2_e13,4,2,5,5,Preserves source structure well but lacks minimalism; overly smooth and abstracted.,5,3,4,Strong minimalism with clean geometry and flat colors; some structural deviation from source.,3,2,3,Minimalist texture applied but introduces noise and distorts original composition.,2,4,3,Retains source structure but fails to apply minimalism; retains painterly artifacts.
Impressionism__mihaly-munkacsy_dusty-country-road-ii-1883__to__Rococo,Impressionism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,4,Overly blurred and lacks Rococo detail; structure preserved but style too muted.,5,5,5,"Excellent Rococo elegance with soft pastels, ornate brushwork, and faithful structure.",3,4,3,Some Rococo flair but overly dark and muddy; minor artifacts in texture.,4,4,4,"Good Rococo tones and structure, but slightly less refined than D."
Impressionism__mihaly-munkacsy_dusty-country-road-ii-1883__to__Ukiyo_e,Impressionism,Ukiyo_e,SaMAM_2250,SaMAM_2250,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Very blurry and lacks Ukiyo-e characteristics; structure is partially preserved but heavily degraded by noise.,3,5,5,"Good structural fidelity and clean output, but style is more impressionistic than distinctly Ukiyo-e.",4,4,3,"Strong Ukiyo-e color palette and brushwork feel, but some dark artifacts and slight structural distortion.",5,4,4,Best Ukiyo-e style match with bold colors and textured strokes; minor artifacts but overall strong performance.
Impressionism__nicolae-vermont_rotterdam-port-1928__to__Impressionism,Impressionism,Impressionism,Seedream_repaired750,Seedream_repaired750,SaMAM_2250,SaMAM_2250,4,2,1,1,"Overly blurred, lacks brushwork detail and color variation; structure nearly lost.",5,4,3,Strong Impressionist palette and visible brushstrokes; minor color bleeding but retains key structures.,4,3,3,"Good color harmony and texture, but some areas appear smudged or over-saturated.",4,5,5,Excellent structural fidelity with clean Impressionist rendering; minimal artifacts.
Impressionism__nicolae-vermont_rotterdam-port-1928__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,LBM-PS-v2_e13,LBM-PS-v2_e13,4,2,5,5,Preserves structure perfectly but lacks minimalism; appears as a blurred version of source.,5,3,4,Strongly captures minimalism with flat colors and simplified forms; some structural simplification but coherent.,3,2,2,Minimalist texture applied but distorts structure; introduces noise-like artifacts.,2,4,3,Retains structure well but style is painterly rather than minimalist; minor smudging artifacts.
Impressionism__nicolae-vermont_rotterdam-port-1928__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,2,3,Overly blurred and lacks Ukiyo-e characteristics; structure is lost.,5,5,5,Strong Ukiyo-e style with clear structure and minimal artifacts.,3,3,3,Moderate style transfer with some structural loss and visible artifacts.,4,4,4,Good style transfer with minor artifacts and slight structure loss.
Impressionism__nikolay-bogdanov-belsky_connoisseurs-of-books-knowledge-is-power__to__Early_Renaissance,Impressionism,Early_Renaissance,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,4,2,3,2,"Overly blurred and painterly; loses fine detail and structure, style is vague rather than Early Renaissance.",3,4,3,Moderate style transfer with some texture; structure mostly preserved but lacks refined Renaissance detail.,4,4,4,Good balance of style and structure; slight softness in details but overall coherent and controlled.,5,5,5,"Excellent Early Renaissance style with clear brushwork, preserved structure, and minimal artifacts; best overall."
Impressionism__nikolay-bogdanov-belsky_connoisseurs-of-books-knowledge-is-power__to__Impressionism,Impressionism,Impressionism,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,5,1,1,1,Completely lost structure and style; appears as abstract noise.,4,4,4,Strong impressionistic brushwork and color; minor color shifts but well-preserved structure.,3,3,3,Noticeable color distortion (purple/yellow) and slight structural warping; moderate style transfer.,5,5,5,Excellent impressionistic texture with accurate color mapping and perfect structural fidelity; minimal artifacts.
Impressionism__nikolay-bogdanov-belsky_connoisseurs-of-books-knowledge-is-power__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,"Overly blurred, loses all structure and style intent; appears as noise.",5,5,5,"Clean minimalism with flat colors, sharp edges, no artifacts; preserves source layout perfectly.",3,2,2,Textured overlay distorts structure; style is abstract but not cleanly minimal.,4,4,3,Good minimal style with muted tones; slight texture artifacts reduce cleanliness.
Impressionism__nikolay-bogdanov-belsky_connoisseurs-of-books-knowledge-is-power__to__Rococo,Impressionism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,2,1,Extremely blurry and indistinct; loses nearly all structural detail and stylistic coherence.,5,5,5,"Excellent Rococo styling with soft pastel tones, delicate brushwork, and preserved composition; minimal artifacts.",4,4,4,Good Rococo feel but slightly muted colors and minor texture inconsistencies; structure mostly intact.,4,4,4,Similar to E — strong style transfer with slight over-smoothing and minor color shifts; structure well preserved.
Impressionism__nikolay-bogdanov-belsky_connoisseurs-of-books-knowledge-is-power__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,1,1,"Completely lost structure and style; appears as a blurred, indistinct texture with no discernible content or Ukiyo-e characteristics.",5,5,5,"Excellent Ukiyo-e style transfer with clear line work, flat color areas, and traditional composition. Structure is perfectly preserved with no artifacts.",4,4,4,"Good Ukiyo-e style with recognizable elements, but slightly less crisp lines and some minor color bleeding. Structure mostly preserved with slight softening.",4,4,4,Strong Ukiyo-e style application with good detail retention. Minor artifacts in background textures and slight over-saturation in colors.
Impressionism__pierre-auguste-renoir_still-life-with-apples-and-pomegranates-1901__to__Early_Renaissance,Impressionism,Early_Renaissance,SaMAM_2250,SaMAM_2250,Seedream_repaired750,Seedream_repaired750,4,2,2,1,Overly blurred and abstract; loses both style and structure.,4,5,5,Cleanest output; preserves structure well with moderate Early Renaissance style.,3,3,3,Moderate style transfer but introduces color artifacts and softens structure.,5,4,4,Strongest Early Renaissance style with visible brushwork and palette; slight structural softening but overall best style match.
Impressionism__pierre-auguste-renoir_still-life-with-apples-and-pomegranates-1901__to__Impressionism,Impressionism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,1,1,1,Completely lost structure and style; appears as a blurred abstract cloud.,5,5,5,"Excellent Impressionist brushwork, clear fruit and cloth structure, no artifacts.",4,4,4,"Good style and structure, slightly softer edges than D but still strong.",3,4,4,"Structure preserved well, but style is less distinctly Impressionist; more painterly than impressionistic."
Impressionism__pierre-auguste-renoir_still-life-with-apples-and-pomegranates-1901__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,3,"Overly blurred, loses all structure and style intent; minimalism not achieved.",5,5,5,"Clean geometric shapes, bold flat colors, clear composition — strong minimalism with full structural fidelity.",3,3,4,Textured overlay adds noise; partial minimalism but lacks clarity and clean lines.,2,4,3,Retains source structure but applies painterly texture — contradicts minimalism’s simplicity.
Impressionism__pierre-auguste-renoir_still-life-with-apples-and-pomegranates-1901__to__Rococo,Impressionism,Rococo,SaMAM_2250,SaMAM_2250,LBM-PS-v2_e13,SaMAM_2250,4,2,5,3,Very faithful to source structure but lacks Rococo ornamentation; overly blurred and indistinct.,4,3,3,"Strong Rococo framing and color palette, but distorts fruit shapes and adds decorative borders not in source.",3,4,2,"Moderate Rococo feel with soft brushwork, but introduces heavy texture artifacts and muddles form.",5,4,5,Excellent Rococo styling with rich colors and painterly texture while preserving fruit and cloth structure cleanly.
Impressionism__pierre-auguste-renoir_still-life-with-apples-and-pomegranates-1901__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,2,1,"Overly blurred, loses all structural and stylistic fidelity; appears as noise rather than Ukiyo-e.",5,5,5,"Excellent Ukiyo-e style with clean lines, flat color blocks, and preserved fruit/napkin structure; minimal artifacts.",3,3,3,"Partial Ukiyo-e influence but overly textured and painterly; structure is distorted, artifacts present in folds.",4,4,4,Strong Ukiyo-e aesthetic with bold outlines and stylized shading; minor artifacts in cloth texture but overall strong.
Impressionism__rudolf-schweitzer-cumpana_str-du-n-atena__to__Early_Renaissance,Impressionism,Early_Renaissance,SaMAM_2250,SaMAM_2250,LBM-PS-v2_e13,SaMAM_2250,4,2,5,3,Very faithful to source structure but lacks Renaissance stylistic features; appears washed out and indistinct.,3,4,3,Moderate style transfer with some Renaissance color and texture; structure mostly preserved but slightly softened.,4,3,2,"Strong stylistic attempt with visible brushwork and palette shifts, but introduces artifacts and distorts structure.",5,4,5,"Best balance: clear Early Renaissance style (warm tones, textured brushwork) while preserving source structure cleanly with minimal artifacts."
Impressionism__rudolf-schweitzer-cumpana_str-du-n-atena__to__Impressionism,Impressionism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,Extremely blurry and indistinct; fails to convey Impressionist brushwork or structure.,5,5,5,"Excellent Impressionist style with visible brushstrokes, color harmony, and full structural fidelity to source.",4,4,3,Strong Impressionist feel but slight color bleeding and minor structural distortion in central area.,4,4,3,"Good style transfer with some over-saturation and minor edge artifacts, especially on right side."
Impressionism__rudolf-schweitzer-cumpana_str-du-n-atena__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,1,2,"Overly blurred, loses all structural and stylistic detail; appears as noise rather than minimalism.",5,5,5,"Clean geometric forms, flat color blocks, strong compositional clarity — ideal minimalism with no artifacts.",2,3,2,"Textured overlay obscures structure; style is ambiguous, not clearly minimalist; visible noise artifacts.",3,4,3,"Retains source structure but adds painterly texture; style is impressionistic, not truly minimal; minor smudging."
Impressionism__rudolf-schweitzer-cumpana_str-du-n-atena__to__Rococo,Impressionism,Rococo,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,4,1,2,1,Extremely blurry and indistinct; no discernible Rococo features or structural fidelity.,3,4,3,Moderate Rococo color palette and brushwork; structure mostly preserved with minor softening.,4,3,3,Strong Rococo tones and texture; some structural distortion and edge artifacts visible.,5,5,5,Excellent Rococo styling with rich pastel tones and painterly texture; structure fully preserved and clean output.
Impressionism__rudolf-schweitzer-cumpana_str-du-n-atena__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,1,1,"Completely lost structure and style; appears as a blurred, indistinct patch with no discernible content or Ukiyo-e traits.",5,5,5,"Excellent Ukiyo-e style transfer with clear woodblock-like lines, flat color planes, and stylized shading. Structure of source scene is well preserved with minimal artifacts.",3,4,3,"Moderate Ukiyo-e influence with some linearity and color blocking, but structure is slightly distorted and minor artifacts appear in textures and edges.",4,4,4,Strong Ukiyo-e aesthetic with bold outlines and stylized forms; structure is mostly intact with only slight softening in details and minor texture artifacts.
Impressionism__stefan-dimitrescu_cabaret__to__Impressionism,Impressionism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,Overly abstracted; loses source structure and style intent.,5,5,5,"Strong Impressionist brushwork, preserves structure, minimal artifacts.",4,4,3,Good style but slight color bleeding and minor structural softening.,3,4,4,Moderate style transfer; structure preserved but less expressive brushwork.
Impressionism__stefan-dimitrescu_cabaret__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,"Overly blurred, loses all structure and style intent; appears as noise rather than minimalism.",5,5,5,Clean geometric abstraction with bold shapes and flat colors; preserves source composition while enforcing minimalism effectively.,3,2,2,Textured overlay distorts structure; partial minimalism but cluttered by grid-like artifacts.,4,4,4,Retains source detail too much; minimalism is implied but not fully enforced — lacks clean simplification.
