case_id,src_style,tgt_style,best_overall,best_style_specificity,best_structure,best_artifact_control,confidence_1_to_5,LBM-Knee_e13_style_specificity,LBM-Knee_e13_structure_preservation,LBM-Knee_e13_artifact_control,LBM-Knee_e13_note,Seedream_repaired750_style_specificity,Seedream_repaired750_structure_preservation,Seedream_repaired750_artifact_control,Seedream_repaired750_note,EdgeGated_e03_style_specificity,EdgeGated_e03_structure_preservation,EdgeGated_e03_artifact_control,EdgeGated_e03_note
Minimalism__joan-hernandez-pijuan_nuvol-rosa-2-1990__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,4,3,Minimal style transfer; retains source structure but lacks Renaissance texture/color. Some edge artifacts visible.,5,5,5,Excellent Early Renaissance style match with warm tones and aged texture. Structure preserved cleanly. No visible artifacts.,2,4,4,Slight stylistic shift toward muted earth tones but weak Renaissance character. Structure intact. Minor border artifacts.
Impressionism__claude-monet_palazzo-contarini-2__to__Rococo,Impressionism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very faint Rococo influence; structure is preserved but overly blurred and washed out. Lacks ornamental detail or color richness typical of Rococo.,5,5,5,"Excellent Rococo styling with ornate golden frame, soft pastel tones, and delicate brushwork. Structure is well-preserved and enhanced without artifacts.",2,4,3,Structure is better preserved than LBM but still lacks Rococo stylistic markers. Slight edge artifacts visible; overall muted and indistinct.
Impressionism__william-merritt-chase_gray-day-on-the-lagoon-a-passenger-boat-venice__to__Minimalism,Impressionism,Minimalism,EdgeGated_e03,EdgeGated_e03,Seedream_repaired750,EdgeGated_e03,4,2,3,3,"Faint, washed-out output with minimal stylistic abstraction; structure is preserved but lacks clarity or intentional simplification.",4,5,4,Strong geometric minimalism with clean shapes and color blocks; structure is well-preserved and stylized without artifacts.,5,4,5,"Highly abstracted, painterly minimalism with soft edges and muted tones; structure is simplified but recognizable, with no visible artifacts."
Ukiyo_e__katsushika-hokusai_woman-looking-at-herself-in-a-mirror__to__Impressionism,Ukiyo_e,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,4,Minimal style transfer; mostly preserves source structure with faint brushwork hints. Low Impressionist fidelity.,5,5,5,"Strong Impressionist rendering with visible brushstrokes, color blending, and atmospheric effects while preserving original composition and subject integrity. Clean output.",2,3,4,"Similar to LBM — minimal stylistic change, retains source structure but lacks Impressionist texture or color treatment. No major artifacts."
Minimalism__robert-mangold_ellow-black-zone-painting-iv-1996__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,EdgeGated_e03,EdgeGated_e03,4,2,3,3,Minimal style transfer; mostly preserves source geometry with no Rococo elements. Structure intact but lacks artistic intent.,5,4,4,Strong Rococo styling with ornate gold filigree and floral motifs. Structure slightly distorted but stylistically rich and coherent.,1,5,5,Perfect structural fidelity to source image. Zero style transfer applied — no Rococo elements introduced. Clean output but fails style task.
Ukiyo_e__ogata-gekko_print-from-series-women-s-customs-and-manners-1895-1__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,EdgeGated_e03,EdgeGated_e03,4,2,4,3,Weak Rococo style; heavy vignetting and dark borders distort content. Structure mostly preserved but color palette is muted and inconsistent with Rococo.,5,4,3,"Strong Rococo aesthetic with ornate frame, soft pastel sky, and decorative elements. Slight over-stylization in background but overall excellent style transfer.",3,5,5,Excellent structure and artifact control; minimal distortion. Style is present but subdued — lacks the full ornamental richness expected of Rococo.
Ukiyo_e__utagawa-kunisada_not_detected_240353__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out style transfer; Early Renaissance elements barely visible. Structure preserved but heavily degraded by noise and blur.",5,5,5,"Excellent Early Renaissance style: chiaroscuro, drapery, anatomical realism, and compositional harmony well captured. Source structure faithfully retained with minimal artifacts.",2,3,2,"Similar to LBM — faint style bleed, heavy noise, and structural distortion. Edge gating did not effectively preserve or enhance Renaissance styling."
Minimalism__robert-ryman_conversion-2003__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,1,2,Completely blank output; no style or structure transferred.,5,5,5,"Excellent Rococo frame with ornate details, clean edges, and faithful structural layout matching the target style.",1,1,2,Blank output with minor border artifacts; no meaningful style or structure transfer.
Impressionism__john-singer-sargent_lake-in-the-tyrol__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,3,"Very washed-out, lacks Ukiyo-e color saturation and line definition. Structure is preserved but style is weak.",5,5,5,"Excellent transfer. Captures the warm, earthy palette and distinct line work of the Ukiyo-e style while maintaining the source landscape structure perfectly.",3,4,4,Better than LBM but still lacks the specific Ukiyo-e aesthetic. The colors are too cool and the texture is somewhat muddy compared to the reference.
Rococo__william-hogarth_the-countess-s-morning-levee__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,"Very washed-out, low-contrast output; style transfer is weak and blurry, with poor color fidelity and loss of detail.",5,5,5,"Excellent Ukiyo-e style integration with strong color blocking, clean lines, and faithful preservation of source composition and figures.",3,4,3,Moderate style transfer with some color flattening; structure is mostly preserved but lacks vibrancy and stylistic depth compared to Seedream.
Impressionism__mihaly-munkacsy_dusty-country-road-ii-1883__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,4,"Fails to capture minimalism; appears as a washed-out, blurry version of the source with no stylistic intent or structure.",5,5,5,"Perfectly interprets minimalism through flat colors, geometric shapes, and simplified forms while preserving the source’s composition and narrative elements without artifacts.",2,3,4,"Similar to LBM-Knee_e13; lacks stylistic definition, appears as a faded, indistinct rendering with minimal structural clarity or artistic intent."
Impressionism__pierre-auguste-renoir_still-life-with-apples-and-pomegranates-1901__to__Ukiyo_e,Impressionism,Ukiyo_e,EdgeGated_e03,EdgeGated_e03,Seedream_repaired750,EdgeGated_e03,4,3,4,3,Moderate Ukiyo-e feel with soft washes but lacks strong line work; structure mostly preserved; some color bleeding and soft edges reduce clarity.,2,5,4,"Very clean structure and minimal artifacts, but style is weak — more painterly than Ukiyo-e; lacks characteristic lines or flat color blocks.",5,4,5,"Strongest Ukiyo-e aesthetic: visible ink-like outlines, flat color planes, and traditional composition feel; structure well maintained; no noticeable artifacts."
Ukiyo_e__tsukioka-yoshitoshi_not_detected_242419__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,3,Weak Rococo styling; structure preserved but lacks ornamental detail; mild artifacts.,5,5,5,"Excellent Rococo style transfer with rich ornamentation, faithful structure, and clean output.",3,4,4,Moderate style application; good structure retention; slight blurring and edge artifacts.
Impressionism__claude-monet_rouen-cathedral-the-portal-at-midday__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very faint, washed-out style transfer; Ukiyo-e characteristics barely visible. Structure is somewhat preserved but obscured by noise and low contrast. High artifact presence due to lack of clear stylization.",5,5,5,"Excellent Ukiyo-e style application with bold outlines, flat color regions, and decorative patterns matching the target reference. Source structure (Notre-Dame) is clearly preserved and enhanced by the style. Minimal artifacts.",2,3,2,Similar to LBM-Knee_e13 — extremely faded and indistinct style transfer. Ukiyo-e elements are nearly absent. Structure is faintly visible but heavily degraded by noise and low fidelity. Poor artifact control.
Rococo__joshua-reynolds_colonel-george-k-h-coussmaker-grenadier-guards__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,"Very low style transfer; appears as a faded, blurry overlay with minimal stylistic influence from Early Renaissance. Structure is somewhat preserved but heavily degraded by artifacts.",5,5,5,"Excellent style transfer with clear Early Renaissance characteristics (gold leaf, flat perspective, religious iconography). Source structure is well-preserved and integrated naturally. No visible artifacts.",3,4,3,"Moderate style transfer with some Renaissance-like color palette and texture, but lacks key stylistic markers. Structure is reasonably preserved. Some smudging and loss of detail present."
Early_Renaissance__sandro-botticelli_trinity(1)__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,Very faint Ukiyo-e influence; structure preserved but colors and lines lack stylistic definition. Some blurring artifacts.,5,5,5,"Strong Ukiyo_e style with clear line work, flat color areas, and stylized forms. Structure well preserved. Minimal artifacts.",3,4,4,Moderate Ukiyo_e styling with some line emphasis and color flattening. Structure mostly intact. Slight smudging in background.
Impressionism__william-merritt-chase_at-the-boat-landing__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,EdgeGated_e03,EdgeGated_e03,4,2,4,3,Very faint Ukiyo-e influence; mostly retains source realism with minimal stylization. Structure is well preserved but lacks artistic transformation.,5,4,4,"Strong Ukiyo-e aesthetic: warm sunset tones, bold color blocking, and graphic cloud forms closely match target reference. Minor softening in grass texture but overall excellent style transfer.",3,5,5,Excellent structural fidelity and clean output with no visible artifacts. Style is subtly applied — watercolor-like washes suggest Ukiyo-e but lack its characteristic linework or boldness.
Impressionism__william-merritt-chase_at-the-boat-landing__to__Early_Renaissance,Impressionism,Early_Renaissance,EdgeGated_e03,EdgeGated_e03,EdgeGated_e03,EdgeGated_e03,4,2,3,2,"Overly aged/vignette effect; style is generic old painting, not Early Renaissance. Structure preserved but color palette lacks Renaissance richness.",3,4,3,"Better color harmony and softness than LBM, closer to Renaissance tonal warmth. Structure well preserved. Some slight blurring in grass texture.",4,5,4,"Strongest match to Early Renaissance: warm earth tones, soft atmospheric perspective, preserved structure with minimal artifacts. Slight vignette but stylistically appropriate."
Minimalism__bruce-nauman_la-brea-art-tips-rat-spit-tar-pits-1972__to__Impressionism,Minimalism,Impressionism,EdgeGated_e03,EdgeGated_e03,LBM-Knee_e13,EdgeGated_e03,4,2,5,4,Preserves structure well but lacks impressionistic brushwork and texture; appears too clean and digital.,3,3,2,"Shows some stylistic blending but introduces artifacts (e.g., warped edges, inconsistent lighting) and distorts source geometry.",5,4,5,"Strong impressionistic rendering with visible brushstroke-like textures, good preservation of neon sign shape, and minimal artifacts."
Impressionism__childe-hassam_september-moonrise__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,"Very washed-out, lacks Ukiyo-e color depth and line work; structure is preserved but style is weak and blurry.",5,5,5,Excellent match to Ukiyo-e aesthetic with strong color gradients and clear structure; minimal artifacts.,2,3,3,Slightly better than LBM but still too pale and lacks the bold lines and rich tones of Ukiyo-e; some texture artifacts.
Early_Renaissance__sandro-botticelli_trinity(1)__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Fails to capture minimalism; output is overly faded and lacks bold geometric simplification. Structure is partially preserved but washed out. High artifact presence due to loss of detail and color fidelity.,5,5,5,"Excellent minimalism: bold flat colors, simplified forms, strong geometric abstraction. Structure is cleanly preserved with clear figure-ground separation. No visible artifacts; clean edges and uniform color fields.",2,3,2,Similar to LBM-Knee_e13 — overly desaturated and blurry. Fails to convey minimalism through simplification or color reduction. Structure is faintly present but degraded. Artifacts include smudging and loss of edge definition.
Early_Renaissance__andrea-mantegna_the-circumcision-of-christ-1464__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very faded, washed-out colors; lacks Rococo richness and detail. Structure is somewhat preserved but heavily degraded by low contrast and blur.",5,5,5,"Excellent Rococo style transfer: rich pastel tones, ornate architectural details, soft lighting, and elegant figures. Structure is well-preserved with minimal artifacts.",3,4,3,"Moderate style transfer with some Rococo elements (arches, figures) but muted colors and visible edge artifacts. Structure is better than LBM but less refined than Seedream."
Minimalism__mira-schendel_untitled-1984__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,LBM-Knee_e13,4,2,5,5,Preserves source structure perfectly but applies almost no Rococo style; appears as a blurred orange gradient with minimal ornamental detail.,5,3,3,"Strongly captures Rococo aesthetics with ornate floral patterns and gilded frame motifs, but distorts the original triangular shape and introduces texture artifacts.",3,4,4,"Moderately applies Rococo style with soft floral hints and preserves the triangle’s general form, but lacks richness and detail compared to Seedream."
Rococo__william-hogarth_the-countess-s-morning-levee__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,EdgeGated_e03,4,2,3,3,Overly desaturated and washed-out; loses stylistic intent of minimalism while retaining some structure but lacks clarity.,5,5,4,Strongly adheres to minimalism with bold flat colors and simplified forms; preserves key compositional elements cleanly.,3,4,5,Clean output with minimal artifacts; structure is well-preserved but style application is too subtle to be distinctly minimalist.
Ukiyo_e__utagawa-kuniyoshi_ishiyakushi__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Poor style transfer; retains original Japanese aesthetic with minimal Renaissance influence. Structure is preserved but lacks stylistic coherence. Artifacts include color bleeding and inconsistent texture mapping.,5,5,5,"Excellent Early Renaissance style transfer with appropriate color palette, lighting, and compositional framing. Structure of the source image is well-preserved while adapting to the target style. Minimal artifacts; clean edges and consistent textures.",3,4,3,"Moderate style transfer with some Renaissance elements (e.g., muted tones, soft gradients) but still heavily influenced by the original. Structure is largely preserved. Some minor artifacts in text regions and background blending."
Rococo__joseph-wright_mr-and-mrs-thomas-coltman__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,3,4,3,Moderate Rococo softness and color palette; structure mostly preserved but edges slightly blurred; noticeable vignetting and texture artifacts.,5,5,5,"Strong Rococo aesthetic with ornate framing, soft pastel tones, and delicate brushwork; excellent structural fidelity and minimal artifacts.",4,4,4,Good Rococo styling with gentle gradients and period-appropriate tones; structure well maintained; slight edge halos and minor texture noise.
Early_Renaissance__piero-della-francesca_portrait-of-a-boy__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,EdgeGated_e03,EdgeGated_e03,4,2,3,3,"Very smooth, almost airbrushed look; lacks impressionistic texture and brushwork. Structure preserved but overly sanitized.",5,4,3,"Strong impressionistic rendering with visible brush-like strokes and atmospheric blending. Slight halo artifact around head, but stylistically compelling.",3,5,5,"Excellent structural fidelity and clean edges, but style is muted — more like soft-focus realism than impressionism. Minimal artifacts."
Rococo__thomas-gainsborough_a-coastal-landscape-1782__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very blurry and washed out; minimalism not clearly expressed, structure is preserved but degraded by heavy blur.",5,5,5,"Excellent minimalism with clean geometric shapes, clear structure, and no artifacts. Best overall result.",2,3,2,"Similar to LBM-Knee_e13 — overly blurred, lacks stylistic clarity, structure is present but obscured."
Early_Renaissance__paolo-uccello_scene-adoration-of-the-three-kings-1440__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Fails to capture Rococo style; appears as a ghostly overlay with no ornamental or color fidelity. Structure is partially preserved but obscured by artifacts.,5,5,5,"Excellent Rococo style transfer with ornate borders, pastel palette, and decorative motifs. Source structure is faithfully preserved with minimal artifacts.",2,3,2,"Similar to LBM-Knee_e13; lacks Rococo characteristics. Ghostly effect dominates, obscuring both style and structure. High artifact presence."
Early_Renaissance__leonardo-da-vinci_studies-of-a-bewalking__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,4,5,Preserves source structure well but fails to apply Ukiyo-e style; output is nearly identical to source.,5,5,5,"Excellent Ukiyo-e style transfer with accurate color palette, bold outlines, and stylized rendering. Structure preserved and no visible artifacts.",1,4,5,Fails to apply style; output is nearly identical to source. Structure preserved but no stylistic transformation.
Minimalism__fernando-lanhas_o39-68-1968__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,EdgeGated_e03,4,2,5,3,Preserves source geometry perfectly but applies almost no Rococo style; appears as a faded grayscale version with minor vignetting.,5,3,3,"Strongest Rococo aesthetic with ornate floral and gilded details, but distorts the original diamond shape into a more rounded, decorative frame.",2,5,4,"Excellent structure preservation and clean edges, but fails to apply Rococo style; output is nearly identical to source with slight color shift."
Rococo__thomas-gainsborough_john-plampin__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very washed-out, low contrast; Ukiyo-e color palette and line work nearly absent. Structure preserved but overly blurred.",5,5,5,"Strong Ukiyo-e aesthetic: flat color planes, bold outlines, stylized shading, and appropriate paper-like texture. Structure and edges well preserved with minimal artifacts.",3,4,3,"Moderate Ukiyo-e feel with some color flattening and edge emphasis, but lacks full stylistic coherence. Some smudging and softness in background."
Ukiyo_e__kitagawa-utamaro_the-hour-of-the-horse__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Heavy vignetting and dark borders obscure content; Rococo elements are muted and indistinct.,5,5,5,Excellent Rococo styling with ornate frame and soft pastel tones; structure and details are perfectly preserved.,3,4,3,"Good structure and some Rococo coloring, but lacks the ornate detail and polish of the target style."
Impressionism__eugene-boudin_laundresses-on-the-banks-of-the-touques-9__to__Impressionism,Impressionism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very washed-out and low-contrast; impressionistic texture is present but lacks color richness and brushwork definition. Structure is preserved but appears faded.,5,5,5,"Excellent impressionistic rendering with vibrant, warm colors and visible brushstroke-like textures. Structure is perfectly preserved, and no artifacts are visible.",3,4,3,"Moderate impressionistic style with some color variation, but overall too desaturated and gray. Structure is well-preserved, but the style feels incomplete compared to the target."
Rococo__benjamin-west_self-portrait-1770__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,"Overly blurred and washed-out; minimalism not clearly expressed, structure partially preserved but details lost.",5,5,5,"Strong geometric abstraction aligned with minimalism; clean edges, faithful structure, no visible artifacts.",2,3,2,"Similar to LBM—blurry and indistinct; minimalism not well captured, structure and artifacts comparable to LBM."
Early_Renaissance__fra-angelico_saint-cosmas-and-saint-damian-before-lisius-1440__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Faint Rococo color wash but lacks ornamental detail; heavy vignetting and edge artifacts degrade structure and introduce noise.,5,5,5,"Strong Rococo styling with ornate architectural details, soft pastel palette, and elegant framing; source composition and figures preserved cleanly with minimal artifacts.",3,4,3,"Moderate Rococo influence with some decorative elements; structure mostly intact but suffers from darkened edges and slight smudging, reducing overall polish."
Early_Renaissance__piero-della-francesca_portrait-of-a-boy__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly smooth, washed-out appearance; lacks Renaissance texture and depth; halo artifact around head; poor color fidelity.",5,5,5,"Excellent match to Early Renaissance style: rich pigments, subtle chiaroscuro, preserved facial structure and garment details, no visible artifacts.",3,4,3,Better than LBM but still slightly flat; minor halo artifact; structure preserved well but style lacks full Renaissance richness.
Ukiyo_e__katsushika-hokusai_cargo-ship-and-wave__to__Impressionism,Ukiyo_e,Impressionism,Seedream_repaired750,Seedream_repaired750,EdgeGated_e03,EdgeGated_e03,4,2,3,3,Minimal style transfer; mostly preserves original line art with faint color wash. Structure intact but lacks impressionistic texture or brushwork.,5,4,4,"Strong impressionistic rendering with visible brushstrokes, color blending, and atmospheric effects. Wave structure well preserved with minor softening at edges.",3,5,5,Excellent structural fidelity and clean output with no artifacts. Style is muted — more like a colored sketch than true Impressionism. Lacks dynamic brushwork and color vibrancy.
Ukiyo_e__katsushika-hokusai_ono-shindon-in-the-suraga-province__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,EdgeGated_e03,EdgeGated_e03,4,2,4,3,Minimal Rococo influence; mostly preserves source structure with slight color shifts and minor artifacts at edges.,5,3,3,"Strong Rococo aesthetic via ornate border, soft pastel tones, and painterly texture; some structural distortion in figures and landscape.",3,5,5,"Excellent structural fidelity and clean edges; moderate Rococo styling through subtle color grading and framing, but lacks ornamental richness."
Early_Renaissance__filippo-lippi_adoration-of-the-magi-detail-2__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very faint impressionistic wash; structure is blurred but recognizable; heavy smudging and loss of detail.,5,5,5,Excellent impressionist brushwork and color palette; structure perfectly preserved within circular frame; no visible artifacts.,2,4,3,Structure well preserved with edge guidance; style is muted and lacks vibrant impressionist texture; slight grayish artifact on edges.
Minimalism__robert-mangold_untitled-fcpa-1995__to__Ukiyo_e,Minimalism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,EdgeGated_e03,4,2,4,4,Minimal style transfer; colors are muted and lack Ukiyo-e texture or ink wash. Structure is well preserved but no stylistic elements added.,5,5,4,"Strong Ukiyo-e aesthetic: visible woodblock texture, gradient ink wash, and subtle border framing. Structure perfectly preserved with clean lines and color transitions.",3,5,5,"Clean structure and no artifacts, but style is very faint — only slight color shift and minimal texture. Lacks definitive Ukiyo-e characteristics compared to D."
Early_Renaissance__andrea-mantegna_the-circumcision-of-christ-1464__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very faint, washed-out style; lacks clear Ukiyo-e characteristics. Structure is somewhat preserved but blurred. Heavy artifacts and low contrast.",5,5,5,"Excellent Ukiyo-e style transfer with clear line work, flat color areas, and traditional composition. Structure is perfectly preserved. Minimal artifacts.",3,4,3,Moderate Ukiyo-e style with some line emphasis but overly soft and painterly. Structure is well-preserved. Some smudging and loss of detail in textures.
Early_Renaissance__pisanello_stork-1430__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Very faint Rococo influence; mostly preserves structure but lacks stylistic richness and has mild vignetting artifacts.,5,5,5,"Excellent Rococo style transfer with ornate floral motifs, soft pastel tones, and perfect structural fidelity to the bird. No visible artifacts.",2,4,4,"Minimal style application; structure preserved well with clean edges and slight aging artifact on border, but lacks Rococo character."
Impressionism__edgar-degas_ancer-with-red-stockings__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out output with minimal stylistic fidelity to minimalism; structure is preserved but overly blurred and lacks clarity.",5,5,5,"Excellent adherence to minimalism: clean geometry, flat color blocks, strong composition. Structure is sharply preserved with no artifacts.",2,3,2,"Similar to LBM — faint, low-contrast output with poor style transfer. Structure is recognizable but degraded by noise and blur."
Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Faint Rococo glow but lacks ornamental detail; structure blurred; heavy vignetting and smearing artifacts.,5,5,5,"Strong Rococo aesthetic with ornate frame, soft pastel tones, and faithful preservation of original composition and details; no visible artifacts.",3,4,3,Moderate Rococo feel with soft lighting and muted colors; structure mostly preserved but edges slightly softened; minor haze and low contrast reduce clarity.
Ukiyo_e__kitagawa-utamaro_yama-uba-and-kintaro-1__to__Impressionism,Ukiyo_e,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Very faint impressionistic wash; structure preserved but style is weak and indistinct.,5,5,5,Strong impressionist brushwork and color blending; excellent structure retention and minimal artifacts.,3,4,2,Moderate style transfer with visible edge artifacts and uneven texture; structure mostly preserved.
Early_Renaissance__benozzo-gozzoli_madonna-and-child-1485__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,EdgeGated_e03,Seedream_repaired750,5,2,3,2,Poor style transfer; retains source colors and lacks Rococo ornamentation. Structure is somewhat preserved but distorted. Heavy artifacts and blurring degrade quality.,5,4,5,"Excellent Rococo style capture with ornate frames, soft pastel palette, and decorative elements. Structure is well-preserved with minor softening. Clean output with minimal artifacts.",3,5,3,"Moderate style transfer; some Rococo cues (halo, soft tones) but lacks full ornamentation. Best structure preservation among candidates. Some vignetting and color bleeding present."
Rococo__antoine-pesne_carl-heinrich-graun__to__Impressionism,Rococo,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low style transfer; image appears faded and washed out with minimal impressionistic texture or color. Structure is preserved but lacks definition due to over-blurring.,5,5,5,"Excellent impressionistic style with visible brushwork, rich colors, and soft edges matching the target reference. Structure is well-preserved with clear facial features and clothing details. No noticeable artifacts.",2,3,2,Similar to LBM-Knee_e13 — overly hazy and desaturated. Fails to convey impressionist style effectively. Structure is somewhat preserved but obscured by fog-like artifacts.
Early_Renaissance__carlo-crivelli_saint-thomas-aquinas-1476__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly desaturated and blurred; loses stylistic intent and structural clarity.,5,5,5,"Clean, bold minimalism with strong color blocking and preserved composition.",2,3,2,"Similar to LBM — washed out, lacks definition, and fails to convey minimalism effectively."
Impressionism__alfred-sisley_riverbank-at-veneux-1881__to__Rococo,Impressionism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very weak Rococo style transfer; heavy dark vignetting and noise artifacts degrade image quality. Structure is preserved but obscured by poor rendering.,5,5,5,Excellent Rococo style transfer with ornate frame and soft pastel palette. Structure is perfectly preserved and no visible artifacts. Best overall output.,3,4,3,Moderate Rococo influence with textured overlay and vignette. Structure is well preserved but style is less distinct than Seedream. Some edge artifacts and uneven texture.
Minimalism__ronald-davis_zig-zag-times-two-1966__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,4,3,Minimal style transfer; output is nearly identical to source with only slight color shift. No impressionistic texture or brushwork applied.,5,5,5,"Excellent impressionistic texture applied uniformly across the shape and background. Structure preserved perfectly. Clean edges, no artifacts.",2,4,4,Slight textural variation but lacks true impressionism. Overly smooth and washed-out. Minor haloing at edges. Structure mostly preserved.
Ukiyo_e__katsushika-hokusai_cargo-ship-and-wave__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,EdgeGated_e03,EdgeGated_e03,4,2,4,3,Minimal style transfer; mostly preserves source structure with faint Renaissance hints. Some noise and lack of color/texture fidelity.,5,3,3,"Strong Early Renaissance style: warm palette, architectural framing, figure-like elements in wave. Structure slightly distorted but stylistically compelling.",3,5,5,Excellent structure and artifact control; clean edges and faithful wave form. Style is subtle — more monochrome sketch than full Renaissance painting.
