case_id,src_style,tgt_style,best_overall,best_style_specificity,best_structure,best_artifact_control,confidence_1_to_5,LBM-Knee_e13_style_specificity,LBM-Knee_e13_structure_preservation,LBM-Knee_e13_artifact_control,LBM-Knee_e13_note,Seedream_repaired750_style_specificity,Seedream_repaired750_structure_preservation,Seedream_repaired750_artifact_control,Seedream_repaired750_note,Hold4TwoStage_e02_style_specificity,Hold4TwoStage_e02_structure_preservation,Hold4TwoStage_e02_artifact_control,Hold4TwoStage_e02_note
Rococo__thomas-gainsborough_a-coastal-landscape-1782__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,4,2,3,5,"Very clean output with minimal artifacts, but fails to apply any meaningful style transfer — appears as a blurred or degraded version of the source.",5,5,4,"Excellent minimalism applied: flat colors, geometric shapes, simplified forms. Structure preserved well with clear subject mapping. Minor color banding in sky/clouds.",2,3,4,Slight haze/blur reduces clarity; style is vague and not clearly minimalist. Some structural elements retained but overall lacks definition and stylistic intent.
Early_Renaissance__paolo-uccello_scene-adoration-of-the-three-kings-1440__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very faint Rococo influence; heavy ghosting and low contrast obscure content and style.,5,5,5,Strong Rococo aesthetic with ornate framing and palette; source composition well preserved; clean output.,2,3,2,"Similar to LBM: minimal style transfer, heavy translucency/ghosting, poor artifact control."
Early_Renaissance__leonardo-da-vinci_studies-of-a-bewalking__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,4,5,Minimal style transfer; output is nearly identical to source sketch with no Ukiyo-e characteristics.,5,5,5,"Excellent Ukiyo-e style application with strong color blocking, bold outlines, and background elements matching the target reference. Structure of the bear is well-preserved and enhanced stylistically.",2,3,4,Very faint style transfer; barely perceptible Ukiyo-e influence. Output is overly washed out and lacks definition compared to source.
Minimalism__fernando-lanhas_o39-68-1968__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,LBM-Knee_e13,4,2,5,5,Preserves source geometry perfectly but fails to apply Rococo style; output is nearly identical to source with minor color shifts.,5,3,3,"Strong Rococo aesthetic with floral motifs and ornate borders, but structure is distorted into a diamond shape and details are overly stylized.",2,4,2,Retains source structure reasonably well but applies a generic vintage filter rather than specific Rococo style; suffers from heavy blurring and artifacts.
Rococo__thomas-gainsborough_john-plampin__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very washed-out, low contrast; Ukiyo-e traits (bold lines, flat color) are nearly absent. Structure is preserved but overly blurred.",5,5,5,"Excellent Ukiyo-e style transfer: strong outlines, stylized coloring, and clear compositional fidelity. Minimal artifacts.",2,3,2,Overly hazy and desaturated; style cues are weak. Structure is somewhat preserved but obscured by noise-like artifacts.
Ukiyo_e__kitagawa-utamaro_the-hour-of-the-horse__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,3,4,3,Moderate Rococo feel with soft colors but lacks ornate detail; structure preserved but edges are slightly blurred; noticeable vignetting and texture artifacts.,5,5,5,"Strong Rococo aesthetic with delicate pastel tones, ornamental framing, and refined brushwork; structure well preserved; minimal artifacts.",2,3,2,Weak Rococo interpretation; overly washed-out and blurry; structure significantly degraded; heavy smudging and loss of detail.
Impressionism__eugene-boudin_laundresses-on-the-banks-of-the-touques-9__to__Impressionism,Impressionism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very blurry and washed-out; lacks Impressionist brushwork texture and color vibrancy. Structure is vaguely preserved but details are lost in haze.,5,5,5,"Excellent Impressionist style with visible brushstrokes, rich autumnal colors, and clear figure/landscape structure. Minimal artifacts; faithful to both source content and target style.",3,4,3,Moderate style transfer — some brushwork visible but muted palette and low contrast reduce Impressionist feel. Structure is well-preserved but figures lack definition; slight smudging artifacts present.
Rococo__benjamin-west_self-portrait-1770__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Fails to capture minimalism; overly blurred and painterly with no geometric or simplified structure.,5,5,5,Excellent minimalism via bold geometric shapes and flat color blocks; preserves subject identity and composition cleanly.,2,3,2,Similar to LBM — too soft and indistinct; lacks the crispness and abstraction expected in minimalism.
Early_Renaissance__fra-angelico_saint-cosmas-and-saint-damian-before-lisius-1440__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very weak Rococo style transfer; heavy vignetting and dark borders obscure content. Structure is somewhat preserved but degraded by artifacts.,5,5,5,Excellent Rococo style integration with ornate architectural elements and soft pastel tones. Structure is well-preserved with minimal artifacts.,3,4,3,"Moderate Rococo influence with some ornamental details, but overall style is muted. Structure is mostly intact with minor blurring and smudging."
Ukiyo_e__katsushika-hokusai_cargo-ship-and-wave__to__Impressionism,Ukiyo_e,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,"Preserves wave structure well but lacks color and brushwork; appears monochrome and sketchy, failing to capture Impressionist vibrancy.",5,5,5,"Excellent balance: retains iconic wave form while applying rich, textured Impressionist brushstrokes and palette. Clean output with no visible artifacts.",1,2,2,Overly faded and washed-out; structure is blurred and indistinct. Fails to convey either source content or target style effectively.
Ukiyo_e__katsushika-hokusai_ono-shindon-in-the-suraga-province__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Minimal Rococo influence; structure preserved but colors muted and flat; noticeable banding and edge artifacts.,5,5,5,"Strong Rococo aesthetic with ornate frame, soft pastel tones, and painterly texture; source structure fully preserved; no visible artifacts.",3,4,3,"Some Rococo-like softness and color shift, but structure slightly blurred; mild smudging and loss of fine detail in figures."
Early_Renaissance__filippo-lippi_adoration-of-the-magi-detail-2__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very washed-out, low contrast; structure is partially preserved but style is weak and muddy. Heavy artifacts and loss of detail.",5,5,5,Excellent Impressionist style with vibrant colors and visible brushwork. Structure is perfectly preserved within the circular frame. No visible artifacts.,2,2,2,Overly smoothed and blurry; structure is heavily distorted. Style is vague and lacks the characteristic Impressionist texture. Significant artifacts from over-processing.
Minimalism__robert-mangold_untitled-fcpa-1995__to__Ukiyo_e,Minimalism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,4,"Fails to capture Ukiyo-e style; appears as a muted, abstract gradient with no stylistic markers. Structure is preserved but lacks artistic intent.",5,5,5,"Excellent Ukiyo-e emulation: textured paper background, gradient washes, and subtle ink lines mimic traditional woodblock aesthetics. Structure perfectly preserved with no artifacts.",1,2,2,Severe structural distortion — image appears crumpled or folded. No Ukiyo-e characteristics; looks like a corrupted or poorly rendered output.
Early_Renaissance__andrea-mantegna_the-circumcision-of-christ-1464__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,Weak Ukiyo-e style; overly washed-out colors and loss of line art. Structure preserved but lacks stylistic fidelity.,5,5,5,"Excellent Ukiyo-e style transfer with clear linework, traditional color palette, and faithful structure preservation. Minimal artifacts.",2,2,2,Very blurry and indistinct; fails to convey Ukiyo-e characteristics. Structure is distorted and heavily artifacted.
Early_Renaissance__pisanello_stork-1430__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Structure preserved well but style is weak and lacks Rococo ornamentation; artifacts include uneven texture and faded edges.,5,5,5,"Excellent Rococo style with ornate floral motifs, soft pastel tones, and elegant framing; bird structure intact; minimal artifacts.",1,2,2,Very low style fidelity; structure blurred and distorted; heavy artifacts including smudging and loss of detail.
Impressionism__edgar-degas_ancer-with-red-stockings__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed-out; minimalism not clearly expressed, structure lost in haze.",5,5,5,"Clean geometric forms, flat color blocks, strong composition — excellent minimalism with full structural fidelity.",2,2,2,Extremely faded and indistinct; fails to convey minimalism or preserve source structure.
Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Faint Rococo-like softness but lacks ornamental detail; structure is blurred and indistinct; significant smudging and loss of facial definition.,5,5,5,"Excellent Rococo styling with ornate frame, pastel tones, and delicate brushwork; perfect structural fidelity to source; no visible artifacts.",1,2,1,"Almost entirely lost structure and style; appears as a washed-out, over-smoothed blur with no discernible Rococo features or coherent form."
Ukiyo_e__kitagawa-utamaro_yama-uba-and-kintaro-1__to__Impressionism,Ukiyo_e,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Preserves structure well but lacks impressionistic brushwork and color blending; appears washed out and flat.,5,5,5,"Excellent impressionistic texture, vibrant color palette, and faithful preservation of original composition and details.",1,2,1,Severely degraded output; heavy blur and loss of detail make it nearly unrecognizable as the source image.
Early_Renaissance__benozzo-gozzoli_madonna-and-child-1485__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Poor Rococo style transfer; heavy dark vignetting and smudged textures obscure content. Structure is partially preserved but visually degraded.,5,5,5,Excellent Rococo style integration with ornate framing and soft pastel tones. Source structure perfectly preserved with no visible artifacts.,3,3,3,"Moderate Rococo influence with some color harmony, but lacks ornamental detail. Structure is recognizable but softened by noise-like artifacts."
Rococo__antoine-pesne_carl-heinrich-graun__to__Impressionism,Rococo,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low contrast and washed-out appearance; impressionistic texture is minimal and indistinct. Structure is preserved but obscured by haze-like artifacts.,5,5,5,Excellent impressionistic brushwork with visible texture and color variation. Structure is well-preserved with clear facial features and clothing details. No significant artifacts.,1,2,1,"Overly blurred and smeared; almost no recognizable structure or style detail. Appears as a degraded, low-fidelity output with heavy artifacts."
Early_Renaissance__carlo-crivelli_saint-thomas-aquinas-1476__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Fails to apply minimalism; output is a washed-out, over-smoothed version of source with no stylistic intent. Structure is partially preserved but degraded by blur and loss of detail.",5,5,5,"Perfectly captures minimalism: flat colors, simplified shapes, bold outlines, and geometric abstraction while preserving all key structural elements (figure, book, halo, building). No artifacts.",1,2,1,"Output is nearly identical to LBM-Knee_e13 — ghostly, desaturated, and structurally degraded. Fails to convey minimalism or retain meaningful content. High artifact presence."
Impressionism__alfred-sisley_riverbank-at-veneux-1881__to__Rococo,Impressionism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very weak Rococo style; heavy texture and dark vignette obscure content. Structure is partially preserved but degraded by noise.,5,5,5,"Excellent Rococo style transfer with ornate frame and soft pastel tones. Source structure (trees, water, path) is perfectly preserved with no visible artifacts.",3,3,3,"Moderate Rococo feel with soft brushwork, but lacks distinct stylistic markers like the frame or color palette. Structure is blurred and washed out; some smudging artifacts present."
Ukiyo_e__katsushika-hokusai_cargo-ship-and-wave__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Preserves wave structure well but lacks Renaissance style; appears as grayscale sketch with minimal stylistic transfer.,5,5,5,"Excellent fusion of Early Renaissance palette and texture with source composition; clean edges, no artifacts, strong stylistic fidelity.",3,3,2,Shows some Renaissance tonal qualities but suffers from heavy blurring and loss of detail; structure is distorted and artifacts are visible.
Rococo__benjamin-west_self-portrait-1770__to__Impressionism,Rococo,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low style transfer; image appears faded and washed out with minimal impressionistic brushwork. Structure is preserved but lacks definition due to over-blurring.,5,5,5,"Excellent impressionistic style with visible brushstrokes and color blending. Structure is well-preserved, and no artifacts are present.",3,2,2,"Some impressionistic texture is applied, but the image is overly blurred and lacks detail. Structure is partially lost, and artifacts from blurring are noticeable."
Early_Renaissance__benozzo-gozzoli_madonna-and-child-1485__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,"Very washed-out, low contrast; Ukiyo-e traits (flat color, bold outlines) are barely present. Structure is somewhat preserved but blurred.",5,5,5,"Excellent Ukiyo-e style transfer: flat colors, strong outlines, stylized faces and halos. Source structure and composition are perfectly preserved with no artifacts.",1,2,2,Highly abstracted and noisy; Ukiyo-e style is nearly absent. Structure is heavily distorted with significant visual artifacts and loss of detail.
Minimalism__agnes-martin_happy-valley-1967__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,1,2,Completely fails to apply Rococo style; output is a blank white rectangle with dark borders. No structural or stylistic content preserved.,5,4,5,"Excellent Rococo style transfer: ornate scrollwork, floral motifs, and pastel palette match target reference. Structure preserved as decorative frame. Clean output with no artifacts.",1,1,2,Same as LBM-Knee_e13 — blank white output with dark borders. Fails entirely in style and structure application.
Early_Renaissance__piero-della-francesca_portrait-of-a-boy__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very blurry and washed-out; minimal Ukiyo-e style transfer, heavy artifacts, poor color fidelity.",5,5,5,"Excellent Ukiyo-e aesthetic with bold colors, clean lines, and faithful structure; minimal artifacts.",3,4,3,Moderate style transfer with some Ukiyo-e traits but muted colors and soft edges; noticeable haloing and blur.
Rococo__bernardo-bellotto_view-of-dresden-the-dresden-fortifications-moat-with-a-bridge-between-gate-and-post-mile-pillar__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out rendering with minimal stylistic fidelity to Early Renaissance; structure is partially preserved but lacks detail and color depth.",5,5,5,"Excellent match to Early Renaissance style with rich color, architectural detail, and atmospheric perspective; structure fully preserved with no visible artifacts.",3,2,2,Overly blurred and smudged output; some stylistic intent present but heavily degraded by artifacts and loss of structural clarity.
Impressionism__john-singer-sargent_lake-in-the-tyrol__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,4,2,3,5,Very low style transfer; output is nearly identical to source with slight blurring. Structure preserved but no stylistic change applied.,5,4,3,Strong minimalism achieved via geometric abstraction and flat color blocks. Structure is recognizable but stylized. Minor artifacts in edge blending.,3,2,4,Partial minimalism with soft gradients and muted tones. Structure is heavily blurred and lost. Some smudging artifacts present.
Early_Renaissance__carlo-crivelli_saint-thomas-aquinas-1476__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,"Faint, washed-out Ukiyo-e texture; structure mostly preserved but lacks bold lines and color contrast typical of the style.",5,5,5,"Excellent Ukiyo_e fidelity: strong outlines, flat color planes, stylized shading, and clean composition with no visible artifacts.",1,2,2,"Overly blurred and smudged; structure heavily distorted, style nearly absent, significant loss of detail and coherence."
Minimalism__joan-hernandez-pijuan_nuvol-rosa-2-1990__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,LBM-Knee_e13,4,2,5,5,Preserves structure perfectly but lacks impressionist texture/color; appears as a flat pastel wash with minimal stylistic transfer.,4,4,3,"Best impressionist feel with visible brushwork and color variation; slight over-saturation and minor edge artifacts, but strong stylistic match.",3,4,4,Moderate impressionist texture with some white smudges (artifacts); structure preserved but less refined than Seedream; style is present but inconsistent.
Minimalism__tony-smith_die-1968__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,"Very pale, washed-out cube; minimal Renaissance texture or color depth. Structure preserved but style transfer is weak and lacks painterly qualities.",5,5,5,"Excellent match to Early Renaissance palette and texture — warm browns, soft shadows, subtle surface grain. Cube geometry intact, no artifacts, strong stylistic fidelity.",3,3,2,Overly blurred and smudged; loses edge definition and introduces haloing artifacts. Style attempt is present but degraded by poor artifact control and structural softening.
Impressionism__eugene-boudin_trouville-the-fish-market-1884__to__Rococo,Impressionism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,"Very washed-out, lacks Rococo ornamental framing and color richness; structure is somewhat preserved but overly blurred.",5,5,5,"Excellent Rococo framing, rich palette, and clear preservation of source composition with minimal artifacts.",2,2,3,Overly abstracted and muddy; structure is poorly preserved and lacks stylistic coherence with Rococo.
Rococo__antoine-watteau_the-delicate-musician__to__Impressionism,Rococo,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very faint impressionistic texture; subject is barely visible and lacks definition. Structure is preserved but too washed out. Artifacts include loss of detail and low contrast.,5,5,5,Excellent impressionist brushwork with rich color palette matching the target style. Subject structure is perfectly preserved with clear details. No visible artifacts; high fidelity to both content and style.,2,2,2,Overly blurred and desaturated; resembles a faded photograph rather than impressionism. Subject structure is significantly degraded. High artifact level due to excessive smoothing and loss of form.
Minimalism__eva-hesse_expanded-expansion-1969__to__Early_Renaissance,Minimalism,Early_Renaissance,Hold4TwoStage_e02,Hold4TwoStage_e02,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Fails to apply Renaissance style; output resembles a washed-out photo with no stylistic transfer. Structure is preserved but lacks artistic rendering.,3,5,5,"Preserves source structure perfectly with minimal artifacts. Style transfer is subtle and somewhat muted, lacking strong Renaissance characteristics.",5,4,3,Strongest stylistic match to Early Renaissance with visible texture and tonal qualities. Structure is well-preserved but slightly softened. Some minor artifacts at edges.
Rococo__francois-boucher_portrait-of-madame-boucher-1745__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Poor Rococo style transfer; frame appears degraded and muddy, with low color fidelity and visible artifacts.",5,5,5,"Excellent Rococo style transfer with vibrant pastel tones, ornate frame detail, and clean structure preservation.",2,3,2,"Weak style transfer; frame is overly textured and noisy, colors are washed out, and structural details are blurred."
Rococo__joshua-reynolds_colonel-george-k-h-coussmaker-grenadier-guards__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low style specificity; structure is partially preserved but heavily blurred and washed out. Significant artifacts and loss of detail.,5,5,5,"Excellent Rococo style transfer with ornate frame, soft pastel tones, and elegant brushwork. Structure is perfectly preserved with no visible artifacts.",2,3,2,Poor style specificity; resembles a faded painting rather than Rococo. Structure is somewhat recognizable but degraded. Noticeable smudging and color bleeding artifacts.
Impressionism__eugene-boudin_laundresses-on-the-banks-of-the-touques-9__to__Rococo,Impressionism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very weak Rococo style; heavy texture and noise artifacts; structure partially preserved but obscured by degradation.,5,5,5,Excellent Rococo style transfer with ornate frame and soft palette; source structure perfectly preserved; no visible artifacts.,3,4,3,Moderate Rococo influence via color and brushwork; structure well maintained; some smudging and edge artifacts present.
Rococo__giovanni-domenico-tiepolo_the-new-world-1797__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Heavy vertical smearing and loss of detail; style is vague and not distinctly Rococo.,5,5,5,"Excellent Rococo styling with ornate frame, soft pastel tones, and clear preservation of original composition and figures.",2,3,2,Similar to LBM-Knee_e13 — heavy blur and vertical distortion obscure content and lack stylistic fidelity.
Impressionism__konstantin-korovin_arctic-ocean-1913__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,4,"Very faint, washed-out style; lacks Ukiyo-e color and line work. Structure is preserved but overly blurred. Minimal artifacts but poor stylistic fidelity.",5,5,5,"Excellent Ukiyo-e style: bold outlines, flat color planes, stylized waves and sky. Structure of source (sailboat, sun, mountains) is clearly preserved. No visible artifacts.",2,3,4,"Similar to LBM — very pale, low-contrast output. Faint suggestion of style but no clear Ukiyo-e characteristics. Structure is somewhat preserved but indistinct. Few artifacts but stylistically weak."
Ukiyo_e__kitagawa-utamaro_the-hour-of-the-horse__to__Impressionism,Ukiyo_e,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Structure preserved well but style transfer is weak; lacks impressionistic brushwork and color vibrancy. Some smudging artifacts present.,5,5,5,Excellent impressionistic style with visible brushstrokes and color blending. Structure fully preserved. No visible artifacts.,1,2,1,"Severe degradation: structure blurred, colors washed out, heavy artifacts. Fails to convey impressionism or preserve content."
Rococo__giovanni-domenico-tiepolo_christ-s-fall-on-the-way-to-calvary-1772__to__Impressionism,Rococo,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly washed out and hazy; loses color vibrancy and detail. Structure is somewhat preserved but obscured by excessive blur and low contrast. Poor artifact control with smudged textures.,5,5,5,"Excellent Impressionist style transfer with visible brushwork, rich colors, and atmospheric lighting. Structure is well-preserved with clear figures and composition. Minimal artifacts; clean and coherent output.",3,2,2,"Style is partially captured but overly abstracted and fragmented. Structure is significantly distorted with loss of figure definition. High artifact presence with blotchy, inconsistent texture and color bleeding."
Impressionism__mihaly-munkacsy_dusty-country-road-ii-1883__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,3,"Very washed out, loses most stylistic detail and color depth; structure is somewhat preserved but overly blurred.",5,5,5,Excellent match to Early Renaissance palette and brushwork; source structure faithfully retained with no visible artifacts.,3,4,4,Moderate style transfer with some color fidelity; structure mostly intact but slightly over-smoothed and lacks fine textural detail.
Rococo__dmitry-levitzky_portrait-of-maria-palovna-narychkina-1773__to__Impressionism,Rococo,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low style transfer; image appears washed out and foggy with minimal impressionistic texture. Structure is preserved but obscured by haze. High artifact presence due to over-smoothing.,5,5,5,Excellent impressionistic brushwork and color palette matching the target reference. Structure is perfectly preserved with clear facial features and clothing details. No visible artifacts; clean and coherent output.,2,2,1,"Severe degradation; face is heavily distorted and blurred. Style transfer is nearly absent, appearing as a smudged overlay. Major structural loss and high artifact levels make it unusable."
Ukiyo_e__katsushika-hokusai_fishing-in-the-bay-uraga__to__Ukiyo_e,Ukiyo_e,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,"Faint, washed-out style; lacks color and detail of Ukiyo-e. Structure is preserved but overly blurred.",5,5,5,"Excellent Ukiyo-e style transfer with vibrant colors, clear lines, and faithful structure. Minimal artifacts.",1,3,2,"Very low style fidelity; appears as a faded, noisy version of the source. Poor structure and high artifacts."
Rococo__joseph-wright_d-ewes-coke-his-wife-hannah-and-daniel-parker-coke__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,"Faint, washed-out style with minimal Ukiyo-e characteristics; structure mostly preserved but lacks stylistic fidelity.",5,5,5,"Strong Ukiyo-e aesthetic with bold lines, flat color blocks, and decorative patterns; excellent structure retention and clean output.",2,3,2,"Overly blurred and indistinct; structure is distorted and style is nearly absent, with significant artifacts."
Early_Renaissance__jacopo-bellini_view-of-a-fortification-of-jerusalem(1)__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,LBM-Knee_e13,4,2,5,5,"Preserves source structure perfectly with minimal artifacts, but fails to apply Rococo style—output remains nearly identical to source.",5,3,3,"Strongly applies Rococo aesthetic (pastel colors, ornate details, painterly texture), but distorts original architecture into a fantasy castle; visible color bleeding and structural hallucination.",1,2,2,"Fails to convey Rococo style; output is overly blurred and washed out, losing both stylistic intent and structural clarity. High artifact presence due to excessive smoothing."
Ukiyo_e__katsushika-hokusai_ono-shindon-in-the-suraga-province__to__Ukiyo_e,Ukiyo_e,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,3,4,4,Moderate Ukiyo-e stylization with soft gradients and muted colors; structure preserved but lacks bold outlines and flat color blocks typical of Ukiyo-e.,5,5,5,"Excellent Ukiyo-e fidelity: strong outlines, flat color regions, traditional composition, and minimal artifacts. Best overall match to target style.",2,3,2,Heavy blur and smudging degrade both style and structure; Ukiyo-e characteristics are nearly lost due to excessive smoothing and loss of detail.
Rococo__dmitry-levitzky_portrait-of-unknown-woman-with-a-rose-1788__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,The output is overly hazy and lacks the distinct Rococo color palette and ornamental details. Structure is somewhat preserved but obscured by the heavy blur effect.,5,5,5,"Excellent transfer of the Rococo style, including the ornate frame, soft pastel colors, and painterly texture. The original structure of the subject is perfectly preserved with no visible artifacts.",3,3,2,"The style is somewhat present but washed out and blurry. There are noticeable artifacts and loss of detail in the face and clothing, indicating poor artifact control."
Ukiyo_e__ogata-gekko_nihon-hana-zue-1896__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,Very faint Rococo influence; mostly retains source structure but lacks stylistic richness or detail.,5,5,5,"Excellent Rococo style transfer with ornate frame, soft lighting, and rich textures while preserving original composition and figures.",2,3,2,"Minimal style transfer; appears washed out with low contrast and blurred details, failing to capture Rococo essence."
Impressionism__augustus-john_proven-al-landscape__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,"Very washed-out, lacks Ukiyo-e color and line quality; structure preserved but style is too faint.",5,5,5,Excellent Ukiyo-e aesthetic with bold colors and clear lines; structure perfectly preserved with no artifacts.,2,3,2,Overly blurry and hazy; structure is distorted and style is indistinct.
Minimalism__imi-knoebel_weiss-und-schwarz-4-2009__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,LBM-Knee_e13,4,2,5,5,Preserves source structure perfectly but applies almost no Rococo style; output is nearly identical to source with minor blur.,5,3,3,"Strong Rococo style transfer with ornate ceiling patterns, but distorts the original cross shape significantly; some texture artifacts present.",1,4,2,Maintains approximate structure but fails to apply any discernible Rococo style; output is overly blurred and lacks detail or texture.
