case_id,src_style,tgt_style,best_overall,best_style_specificity,best_structure,best_artifact_control,confidence_1_to_5,Seedream_repaired750_style_specificity,Seedream_repaired750_structure_preservation,Seedream_repaired750_artifact_control,Seedream_repaired750_note,SaMAM_2250_style_specificity,SaMAM_2250_structure_preservation,SaMAM_2250_artifact_control,SaMAM_2250_note,AttnSA_e08_style_specificity,AttnSA_e08_structure_preservation,AttnSA_e08_artifact_control,AttnSA_e08_note
Early_Renaissance__domenico-ghirlandaio_st-jerome__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,5,5,5,"Strong Rococo elegance with ornate framing, soft pastel tones, and delicate brushwork; source structure preserved with minimal distortion; no visible artifacts.",4,4,4,Good Rococo elements but slightly muted palette and less refined detailing; structure mostly intact; minor smudging in background textures.,3,3,3,Weak Rococo interpretation — overly desaturated and blurry; structure distorted with warped columns; noticeable compression artifacts and loss of fine detail.
Early_Renaissance__domenico-ghirlandaio_st-jerome__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,SaMAM_2250,SaMAM_2250,Seedream_repaired750,SaMAM_2250,4,3,5,3,Strong structural fidelity but weak Ukiyo-e style; flat coloring and lack of line work reduce stylistic match.,5,4,5,"Excellent Ukiyo-e styling with bold outlines, flat color blocks, and compositional harmony; minor structural softening but well-controlled artifacts.",2,3,2,Very low style specificity; heavy blurring and loss of detail indicate poor artifact control and structural degradation.
Early_Renaissance__domenico-ghirlandaio_st-stephen-st-jacobo-st-peter__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,5,5,5,"Excellent Early Renaissance style transfer with faithful color palette, architectural framing, and figure composition; minimal artifacts and strong structural fidelity.",4,4,4,Good stylistic match but slightly muted tones and minor blurring in drapery; structure preserved well with slight loss of edge definition.,3,3,2,"Noticeable smudging and color bleeding, especially in background arches and figures; structure partially distorted, lower artifact control."
Early_Renaissance__domenico-ghirlandaio_st-stephen-st-jacobo-st-peter__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,5,5,5,Strong Impressionist brushwork with visible strokes and color blending; preserves original composition and figure placement; minimal artifacts or distortion.,4,4,4,Good Impressionist texture but slightly over-saturated colors; structure mostly preserved with minor edge softening; slight haloing around figures.,3,3,3,Weak Impressionist effect — overly blurred and washed out; structural details lost in haze; noticeable smudging and loss of fine detail.
Early_Renaissance__domenico-ghirlandaio_st-stephen-st-jacobo-st-peter__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,5,5,5,"Perfectly captures minimalism through flat color blocks, simplified forms, and removal of background detail while preserving figure structure and pose.",3,4,4,Retains some texture and depth; style is muted but not fully minimal — lacks bold simplification seen in target.,2,3,2,Overly blurred and washed out; loses structural clarity and introduces noise artifacts; minimalism not convincingly applied.
Early_Renaissance__domenico-ghirlandaio_st-stephen-st-jacobo-st-peter__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,5,5,5,Strong Rococo elegance with soft pastel tones and ornate detailing; preserves original composition and figure placement; minimal artifacts.,4,4,4,Good stylistic adaptation with warm tones and decorative elements; slight structural distortion in arches; minor smudging artifacts.,3,3,2,Weak Rococo interpretation; heavy darkening and loss of detail; significant blurring and edge artifacts; structure partially obscured.
Early_Renaissance__domenico-ghirlandaio_st-stephen-st-jacobo-st-peter__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,5,5,5,Strong Ukiyo-e stylization with clean lines and flat color blocks; preserves original composition and figure placement; minimal artifacts.,4,4,4,Good Ukiyo-e influence but slightly less defined line work; structure mostly preserved; minor smudging in background areas.,3,3,3,Weakest Ukiyo-e interpretation; blurred edges and color bleeding; structural details lost; noticeable artifacts in drapery and faces.
Early_Renaissance__filippo-lippi_adoration-of-the-magi-detail-2__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,SaMAM_2250,SaMAM_2250,Seedream_repaired750,Seedream_repaired750,4,3,5,5,"Preserves source structure well with minimal artifacts, but style transfer is subtle and lacks strong Early Renaissance characteristics.",5,4,3,Strongest Early Renaissance style match with rich color and texture; slight structural distortion and minor artifacts present.,2,3,2,"Weak style transfer, significant structural degradation, and heavy artifacts; least faithful to both source and target style."
Early_Renaissance__filippo-lippi_adoration-of-the-magi-detail-2__to__Impressionism,Early_Renaissance,Impressionism,SaMAM_2250,SaMAM_2250,Seedream_repaired750,SaMAM_2250,4,3,5,3,Strong structural fidelity but muted impressionist brushwork; circular crop distorts composition slightly.,5,4,5,Excellent Impressionist texture and color blending; preserves key structures with minimal artifacts.,2,3,2,"Overly washed-out, low contrast; loses both stylistic detail and structural clarity."
Early_Renaissance__filippo-lippi_adoration-of-the-magi-detail-2__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,SaMAM_2250,SaMAM_2250,Seedream_repaired750,SaMAM_2250,4,3,5,3,Strong structural fidelity but muted Ukiyo-e color and line quality; some smudging in sky and figures.,5,4,5,"Excellent Ukiyo-e stylization with bold outlines, flat color blocks, and decorative patterns; minor loss of fine architectural detail.",2,3,2,"Overly washed-out, low-contrast output; loses both style definition and structural clarity; heavy blur and noise artifacts."
Early_Renaissance__filippo-lippi_confirmation-of-the-carmelite-rule__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,SaMAM_2250,SaMAM_2250,Seedream_repaired750,Seedream_repaired750,4,3,5,5,Preserves source structure well with minimal artifacts; style is faint and lacks strong Early Renaissance traits.,5,4,3,"Strongest Early Renaissance stylistic features (color, drapery, composition); slight structural distortion and minor artifacts.",2,3,2,"Very faded, low-contrast output; weak style transfer, poor structure, and visible degradation artifacts."
Early_Renaissance__filippo-lippi_confirmation-of-the-carmelite-rule__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,5,5,5,Strong Impressionist brushwork and color blending while preserving source structure and minimizing artifacts.,4,4,4,Good style transfer with slight over-smoothing; structure mostly preserved but less crisp than C.,3,3,3,"Faint, washed-out appearance; loses detail and structural clarity, weaker Impressionist character."
Early_Renaissance__filippo-lippi_confirmation-of-the-carmelite-rule__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,SaMAM_2250,Seedream_repaired750,4,5,3,5,Strong minimalism via flat color blocks and simplified forms; structure is abstracted but recognizable; clean output with no artifacts.,3,5,4,Preserves source structure well but retains too much detail and texture for minimalism; minor smudging in background.,2,2,3,Overly blurred and washed out; loses both stylistic intent and structural clarity; soft artifacts throughout.
Early_Renaissance__filippo-lippi_confirmation-of-the-carmelite-rule__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,SaMAM_2250,Seedream_repaired750,4,5,3,5,"Strong Rococo elegance with soft pastels, ornate framing, and delicate brushwork; structure slightly softened but recognizable; minimal artifacts.",3,5,4,Preserves original composition well; style leans more Baroque than Rococo with heavier tones and less ornamentation; minor smudging in background.,2,2,3,"Very washed-out, indistinct style; loses structural clarity and Rococo detail; heavy blur and color bleed introduce artifacts."
Early_Renaissance__filippo-lippi_confirmation-of-the-carmelite-rule__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,SaMAM_2250,SaMAM_2250,Seedream_repaired750,Seedream_repaired750,4,3,5,5,"Strong structural fidelity and clean output, but Ukiyo-e stylization is muted; lacks bold outlines and flat color blocking.",5,4,4,"Best captures Ukiyo-e traits: strong outlines, stylized figures, and decorative color fields; minor softening in background details.",2,3,3,Overly washed-out and blurry; loses both Ukiyo-e graphic quality and source structure; significant artifacting.
Early_Renaissance__fra-angelico_bosco-ai-frati-altarpiece__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,4,3,4,3,Moderate Early Renaissance style with some color and texture fidelity; structure mostly preserved but slightly softened; minor artifacts in background details.,5,5,5,"Strongest match to Early Renaissance style with accurate palette, brushwork, and composition; structure perfectly preserved; no visible artifacts.",2,3,2,Weak stylistic transfer; appears washed out and lacks Renaissance texture; structure blurred; noticeable artifacts and loss of detail.
Early_Renaissance__fra-angelico_bosco-ai-frati-altarpiece__to__Impressionism,Early_Renaissance,Impressionism,SaMAM_2250,SaMAM_2250,Seedream_repaired750,Seedream_repaired750,4,2,5,5,"Highly faithful to source structure with minimal distortion; however, lacks visible impressionistic brushwork or color treatment.",5,4,4,Strong impressionistic rendering with soft edges and painterly texture; slight softening of architectural lines but overall coherent.,3,3,3,Moderate impressionistic effect with noticeable blurring and loss of detail; structure is somewhat degraded and artifacts present.
Early_Renaissance__fra-angelico_bosco-ai-frati-altarpiece__to__Minimalism,Early_Renaissance,Minimalism,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,4,3,4,3,Moderate minimalism; retains too much color and detail; some structural fidelity but lacks clean abstraction.,5,5,5,"Strong minimalism with simplified forms, muted palette, and preserved composition; no visible artifacts.",4,3,4,Highly abstracted and blurred; loses structural clarity despite strong stylistic intent; mild smearing artifacts.
Early_Renaissance__fra-angelico_bosco-ai-frati-altarpiece__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,5,5,5,"Excellent Rococo styling with ornate details, soft pastel tones, and decorative arches; structure nearly identical to source; minimal artifacts.",4,4,4,Good Rococo influence but slightly muted; structure well preserved; minor color bleeding and edge softness.,3,3,3,"Weak Rococo styling, overly dark and muddy; structure distorted with warped figures; noticeable compression and blur artifacts."
Early_Renaissance__fra-angelico_bosco-ai-frati-altarpiece__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,SaMAM_2250,SaMAM_2250,Seedream_repaired750,Seedream_repaired750,4,3,5,5,Preserves structure well but lacks strong Ukiyo-e stylistic markers; minimal artifacts.,5,4,3,Strong Ukiyo-e style with bold lines and flat color; slight structural distortion and minor artifacts.,2,3,4,Weak Ukiyo-e influence; blurred details and low contrast; few artifacts but poor style transfer.
Early_Renaissance__fra-angelico_coronation-of-the-virgin-detail-1435-1__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,SaMAM_2250,SaMAM_2250,Seedream_repaired750,SaMAM_2250,4,3,5,3,Strong structural fidelity but muted Renaissance styling; slight color bleeding and soft edges reduce stylistic clarity.,5,4,5,"Best captures Early Renaissance palette, brushwork, and tonal harmony; clean rendering with minimal artifacts; minor structural softening.",2,3,2,"Overly hazy, low-contrast output; loses figure definition and stylistic detail; heavy blur introduces significant artifacts."
Early_Renaissance__fra-angelico_coronation-of-the-virgin-detail-1435-1__to__Impressionism,Early_Renaissance,Impressionism,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,4,3,3,3,Moderate impressionistic brushwork but lacks strong color harmony and soft edges; structure is somewhat preserved but with visible smudging.,5,5,5,"Strong Impressionist style with vibrant colors, visible brushstrokes, and soft transitions; structure well-preserved with minimal artifacts.",4,4,4,"Good stylistic match with hazy, painterly effect; slight over-blurring reduces structural clarity and introduces minor artifacts."
Early_Renaissance__fra-angelico_coronation-of-the-virgin-detail-1435-1__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,5,5,5,Strong minimalism with bold color blocks and simplified forms; preserves source structure well; no visible artifacts.,3,4,4,Moderate minimalism; retains structure but lacks strong stylistic abstraction; minor color bleeding artifacts.,2,3,2,Overly blurred and washed out; loses structural detail and minimalism intent; significant smearing artifacts.
Early_Renaissance__fra-angelico_coronation-of-the-virgin-detail-1435-1__to__Rococo,Early_Renaissance,Rococo,SaMAM_2250,SaMAM_2250,Seedream_repaired750,SaMAM_2250,4,2,5,3,Preserves structure well but applies Rococo via decorative frame rather than stylistic rendering of content.,5,4,5,"Strong Rococo aesthetic with soft lighting, rich tones, and elegant brushwork; maintains scene coherence with minimal artifacts.",3,3,2,Attempts Rococo mood but suffers from heavy blur and loss of detail; structure is obscured and artifacts are prominent.
Early_Renaissance__fra-angelico_coronation-of-the-virgin-detail-1435-1__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,5,5,5,"Strong Ukiyo-e stylization with bold outlines, flat color blocks, and decorative patterns; preserves source structure well; minimal artifacts.",4,4,4,Good Ukiyo-e influence but slightly less defined line work; structure mostly preserved; minor smudging in background.,2,3,2,Very faint Ukiyo-e traits; structure blurred; heavy haze/artifacts obscure details.
Early_Renaissance__fra-angelico_saint-cosmas-and-saint-damian-before-lisius-1440__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,5,5,5,"Strong Early Renaissance style with accurate color palette, architectural details, and figure rendering; preserves source structure faithfully with minimal artifacts.",4,4,4,Good stylistic match but slightly muted tones and minor structural softening; few visible artifacts.,3,3,3,"Weaker stylistic fidelity — overly hazy, washed-out appearance; some structural distortion and noticeable blurring artifacts."
Early_Renaissance__fra-angelico_saint-cosmas-and-saint-damian-before-lisius-1440__to__Impressionism,Early_Renaissance,Impressionism,SaMAM_2250,SaMAM_2250,Seedream_repaired750,SaMAM_2250,4,3,5,3,Strong structural fidelity but muted impressionistic brushwork and color diffusion; some smudging in background.,5,4,5,Excellent Impressionist texture and palette; minor softening of architectural lines but overall clean output.,2,3,2,"Overly hazy, low contrast, and washed-out; loses both style definition and structural clarity."
Early_Renaissance__fra-angelico_saint-cosmas-and-saint-damian-before-lisius-1440__to__Minimalism,Early_Renaissance,Minimalism,SaMAM_2250,Seedream_repaired750,SaMAM_2250,SaMAM_2250,4,5,3,2,"Strong minimalism via flat colors and simplified forms, but loses architectural detail and introduces blocky artifacts.",4,5,5,Best balance: retains source structure while applying subtle minimalism; clean output with no visible artifacts.,2,2,3,"Over-blurred, loses both style intent and structure; haze-like artifact dominates, failing minimalism goal."
Early_Renaissance__fra-angelico_saint-cosmas-and-saint-damian-before-lisius-1440__to__Rococo,Early_Renaissance,Rococo,SaMAM_2250,SaMAM_2250,Seedream_repaired750,SaMAM_2250,4,3,5,4,Strong structural fidelity but muted Rococo styling; soft edges reduce artifacts.,5,4,5,"Excellent Rococo color, ornamentation, and lighting; minor structural softening but clean output.",2,3,2,Heavy blur and loss of detail; weak style transfer and high artifact presence.
Early_Renaissance__fra-angelico_saint-cosmas-and-saint-damian-before-lisius-1440__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,5,5,5,"Strong Ukiyo-e stylization with clean lines, flat color blocks, and decorative patterns; preserves original composition and figure placement; minimal artifacts.",4,4,4,Good Ukiyo-e influence with bold outlines and stylized faces; slight structural distortion in background architecture; minor smudging around figures.,3,3,3,"Weak Ukiyo-e traits; overly soft, painterly effect blurs edges and distorts spatial relationships; noticeable haloing and loss of detail."
Early_Renaissance__jacopo-bellini_view-of-a-fortification-of-jerusalem(1)__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,5,5,5,"Strong Early Renaissance style with clear architectural forms, balanced composition, and minimal artifacts; closely matches target style while preserving source structure.",3,4,3,Moderate style transfer with some Renaissance elements but overly dark and noisy; structure preserved but artifacts reduce clarity.,2,3,2,"Weak style adherence, appears as faded sketch; structure partially preserved but heavy artifacts and low contrast degrade output."
Early_Renaissance__jacopo-bellini_view-of-a-fortification-of-jerusalem(1)__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,SaMAM_2250,Seedream_repaired750,4,5,3,5,Strong Impressionist brushwork and color palette; structure slightly softened but recognizable; minimal artifacts.,3,5,4,"Preserves original line structure well; style is muted and sketch-like, less distinctly Impressionist; minor framing artifacts.",2,4,3,"Faint, washed-out style lacks vivid Impressionist traits; structure preserved but overly degraded; visible noise and low contrast."
Early_Renaissance__jacopo-bellini_view-of-a-fortification-of-jerusalem(1)__to__Minimalism,Early_Renaissance,Minimalism,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,4,2,3,2,Overly colorful and stylized; loses minimalism and source structure.,5,5,5,Perfectly captures minimalism while preserving source structure with no artifacts.,4,4,4,"Good minimalism and structure, but slightly faded and less crisp than D."
Early_Renaissance__jacopo-bellini_view-of-a-fortification-of-jerusalem(1)__to__Rococo,Early_Renaissance,Rococo,SaMAM_2250,SaMAM_2250,Seedream_repaired750,SaMAM_2250,4,3,5,3,Strong structural fidelity but lacks Rococo ornamental richness; slight color bleeding and softness reduce style specificity.,5,4,5,"Best captures Rococo’s delicate line work, pastel tones, and decorative framing; minimal artifacts and good structural retention.",2,3,2,Overly faded and washed-out; loses both structural detail and Rococo stylistic cues; noticeable compression artifacts.
Early_Renaissance__jacopo-bellini_view-of-a-fortification-of-jerusalem(1)__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,5,5,5,"Strong Ukiyo-e aesthetic with bold outlines, flat color blocks, and stylized landscape; preserves source structure well; minimal artifacts.",3,4,3,Muted tones and sketchy texture suggest Ukiyo-e but lack vibrancy; structure mostly preserved; some noise and uneven rendering.,2,3,2,Faint pencil-like appearance lacks Ukiyo-e characteristics; structure blurred; high artifact presence including smudging and low contrast.
Early_Renaissance__leonardo-da-vinci_studies-of-a-bewalking__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,SaMAM_2250,SaMAM_2250,Seedream_repaired750,SaMAM_2250,4,2,5,3,Preserves source structure well but lacks Renaissance stylistic elements; moderate artifacts.,5,4,5,Strong Early Renaissance style with clean rendering and minimal artifacts; slight structural simplification.,3,3,2,Partial style adoption with visible noise and degradation; structure partially preserved.
Early_Renaissance__leonardo-da-vinci_studies-of-a-bewalking__to__Impressionism,Early_Renaissance,Impressionism,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,4,3,4,3,Moderate impressionistic brushwork but overly saturated and painterly; structure preserved but with some color bleeding.,5,5,5,Strong Impressionist style with visible brushstrokes and soft edges; excellent preservation of original sketch structure; minimal artifacts.,2,5,4,Very faithful to source structure but lacks Impressionist styling — appears as a faded sketch rather than painted in style.
Early_Renaissance__leonardo-da-vinci_studies-of-a-bewalking__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,SaMAM_2250,Seedream_repaired750,4,5,3,5,Strong minimalism via flat color blocks and geometric simplification; structure is recognizable but stylized; no artifacts.,2,5,4,Preserves source sketch structure well but retains too much detail and texture for minimalism; minor smudging artifacts.,3,4,3,"Faint, washed-out style suggests minimalism but lacks bold simplification; structure is blurred; some noise/artifacts present."
Early_Renaissance__leonardo-da-vinci_studies-of-a-bewalking__to__Rococo,Early_Renaissance,Rococo,SaMAM_2250,SaMAM_2250,Seedream_repaired750,SaMAM_2250,4,3,5,3,Strong structural fidelity but weak Rococo styling; decorative swirls feel generic rather than period-specific.,5,4,5,Best Rococo interpretation with ornate framing and color palette; minor loss in line precision but no major artifacts.,2,3,2,"Faint, washed-out appearance lacks Rococo richness; structure is blurred and artifacts (noise, fading) are prominent."
Early_Renaissance__leonardo-da-vinci_studies-of-a-bewalking__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,4,2,3,3,Strong color and background stylization but lacks Ukiyo-e line work; structure slightly distorted.,5,5,5,Excellent Ukiyo-e line art style with clean structure and minimal artifacts; faithful to target aesthetic.,3,4,4,Preserves structure well but style is too faint and sketchy; lacks bold Ukiyo-e characteristics.
Early_Renaissance__leonardo-da-vinci_study-of-the-effect-of-light-on-a-profile-head-facsimile__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,5,5,5,"Excellent Early Renaissance style transfer with clear anatomical rendering, aged parchment texture, and faithful preservation of source diagram structure. Minimal artifacts.",3,4,3,Moderate style match; some loss of fine detail in text and lines. Slight blurring and color bleeding introduce minor artifacts.,2,3,2,Weak style adherence; overly saturated and distorted colors. Structural elements are blurred and degraded with visible compression artifacts.
Early_Renaissance__leonardo-da-vinci_study-of-the-effect-of-light-on-a-profile-head-facsimile__to__Impressionism,Early_Renaissance,Impressionism,SaMAM_2250,SaMAM_2250,Seedream_repaired750,SaMAM_2250,4,3,5,3,Strong structure retention but weak impressionist brushwork; visible artifacts in text distortion.,5,4,5,Best impressionist texture and color blending; minimal artifacts; slight softening of fine lines.,2,3,2,Poor style transfer; heavy noise and structural degradation; lacks coherent impressionist traits.
Early_Renaissance__leonardo-da-vinci_study-of-the-effect-of-light-on-a-profile-head-facsimile__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,5,5,5,Clean minimal aesthetic with preserved structure and no artifacts.,3,4,3,Moderate style match; some color bleed and minor artifacts.,2,3,2,Overly faded; loses detail and introduces noise.
Early_Renaissance__leonardo-da-vinci_study-of-the-effect-of-light-on-a-profile-head-facsimile__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,SaMAM_2250,SaMAM_2250,4,5,3,3,Strong Rococo ornamentation and framing; structure slightly distorted by decorative overlay; minor artifacts from texture blending.,3,5,5,Excellent preservation of original diagram structure and clean output; minimal Rococo stylistic elements applied; very low artifacts.,2,4,4,Weak Rococo influence; structure mostly preserved but with slight warping; moderate artifacts from uneven texture application.
Early_Renaissance__leonardo-da-vinci_study-of-the-effect-of-light-on-a-profile-head-facsimile__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,5,5,5,Strong Ukiyo-e aesthetic with ink-wash texture and stylized forms; preserves source diagram structure cleanly; minimal artifacts.,4,4,4,Good style transfer with visible brushwork; slight structural distortion in lines; minor smudging artifacts.,3,3,3,Weaker Ukiyo-e feel; noticeable warping of diagram geometry; more noise and uneven tonal artifacts.
Early_Renaissance__paolo-uccello_scene-adoration-of-the-three-kings-1440__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,SaMAM_2250,SaMAM_2250,Seedream_repaired750,Seedream_repaired750,4,3,5,5,Preserves source structure well; moderate Early Renaissance style with clear arch framing but less painterly texture.,5,3,3,"Strongest Early Renaissance style with rich color, drapery, and compositional depth; some structural distortion and minor artifacts.",4,2,2,Stylized with muted tones and ghostly figures; significant structural loss and visible artifacts reduce fidelity.
Early_Renaissance__paolo-uccello_scene-adoration-of-the-three-kings-1440__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,5,5,5,Strong Impressionist brushwork and color blending; preserves source composition well; minimal artifacts.,4,4,3,Good stylistic match but slightly over-saturated; structure mostly intact; minor haloing around figures.,3,3,2,"Faint, washed-out style; significant loss of structural detail; noticeable smearing and ghosting artifacts."
Early_Renaissance__paolo-uccello_scene-adoration-of-the-three-kings-1440__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,5,5,5,"Perfectly captures minimalism with clean geometry, flat color, and simplified forms while preserving source structure and avoiding artifacts.",3,4,4,"Retains structure but applies a painterly, textured style that dilutes minimalism; minor artifacts from brush-like rendering.",2,3,3,Overly blurred and washed-out; loses structural clarity and minimalism’s crispness; significant softening artifacts.
Early_Renaissance__paolo-uccello_scene-adoration-of-the-three-kings-1440__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,SaMAM_2250,Seedream_repaired750,4,5,3,5,Strong Rococo ornamentation and color palette; structure is simplified but coherent; minimal artifacts.,4,5,3,Good structural fidelity to source; moderate Rococo styling; some smudging and edge artifacts.,3,2,2,Weak Rococo execution; heavy distortion and blur; significant loss of structure and detail.
Early_Renaissance__paolo-uccello_scene-adoration-of-the-three-kings-1440__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,SaMAM_2250,Seedream_repaired750,4,5,4,5,"Strong Ukiyo-e aesthetic with bold outlines, flat color blocks, and decorative framing; minimal artifacts; structure slightly softened but recognizable.",3,5,4,Preserves source structure well but style is muted and lacks classic Ukiyo-e traits like strong linework or woodblock texture; some smudging present.,2,3,3,"Very washed-out, low-contrast output; fails to convey Ukiyo-e style clearly; structural details blurred; noticeable noise and fading artifacts."
Early_Renaissance__piero-della-francesca_portrait-of-a-boy__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,SaMAM_2250,SaMAM_2250,Seedream_repaired750,Seedream_repaired750,4,2,5,5,Preserves source structure perfectly but lacks Renaissance stylistic elements; appears as a neutral render.,5,4,3,Strong Early Renaissance styling with chiaroscuro and fabric texture; slight over-sharpening on hair edges.,3,3,2,"Faint, washed-out style attempt; loses structural definition and introduces haze artifacts."
Early_Renaissance__piero-della-francesca_portrait-of-a-boy__to__Impressionism,Early_Renaissance,Impressionism,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,4,3,4,3,Moderate impressionistic brushwork; structure mostly preserved but background is overly dark and flat; some smudging artifacts.,5,5,5,Strong Impressionist texture with visible brushstrokes; excellent preservation of figure and clothing details; clean edges and no visible artifacts.,2,3,2,"Very soft, blurred effect lacking true Impressionist character; structure is distorted and washed out; significant haloing and loss of detail."
Early_Renaissance__piero-della-francesca_portrait-of-a-boy__to__Minimalism,Early_Renaissance,Minimalism,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,4,3,4,3,"Bold flat colors and simplified form align with minimalism, but lacks the clean geometric abstraction of target; minor color bleed at edges.",5,5,5,"Clean silhouette, muted palette, and absence of texture or detail strongly reflect minimalism while preserving source structure cleanly.",2,3,2,"Overly blurred and hazy; loses structural clarity and introduces significant artifacts, failing to convey intentional minimalism."
Early_Renaissance__piero-della-francesca_portrait-of-a-boy__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,SaMAM_2250,SaMAM_2250,4,5,3,3,Strong Rococo ornamentation and color palette; background and figure structure slightly distorted by decorative frame.,3,5,5,Excellent preservation of source structure and clean output; minimal Rococo styling applied — mostly darkened tones without ornamental detail.,2,4,2,Faint Rococo haze and soft glow; significant blur and loss of edge definition reduce both style clarity and structural fidelity.
Early_Renaissance__piero-della-francesca_portrait-of-a-boy__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,SaMAM_2250,SaMAM_2250,Seedream_repaired750,Seedream_repaired750,4,3,5,5,Preserves structure well but lacks strong Ukiyo-e stylistic markers; minimal artifacts.,5,4,3,Strong Ukiyo-e aesthetic with bold lines and color blocking; slight haloing around edges.,2,3,2,"Weak style transfer; blurry, low contrast, and visible noise/artifacts degrade quality."
Early_Renaissance__pietro-perugino_giovanni-colombini__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,4,3,4,3,Moderate Early Renaissance style; structure mostly preserved but slightly softened; minor color bleeding and edge smearing.,5,5,5,Strong Early Renaissance style match; excellent structure retention; clean edges and minimal artifacts.,4,3,4,Good stylistic emulation but over-smoothed; structure slightly blurred; some loss of fine detail and texture.
